ChecklistID,ServiceID,BodyPart,CheckItem
CHK00041,SRV177422,Mắt,Kiểm tra độ ẩm mắt
CHK00042,SRV177422,Hô hấp,Kiểm tra màu niêm mạc
CHK00043,SRV177422,Thân nhiệt,Theo dõi sốt
CHK00044,SRV177422,Chân,Kiểm tra sưng
CHK00045,SRV37833,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00046,SRV37833,Mắt,Kiểm tra phản xạ ánh sáng
CHK00047,SRV37833,Vết mổ,Kiểm tra độ liền da
CHK00048,SRV147940,Chân,Kiểm tra cử động
CHK00049,SRV147940,Vết mổ,Kiểm tra nhiễm trùng
CHK00050,SRV147940,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00051,SRV147940,Vùng bụng,Kiểm tra chướng bụng
CHK00052,SRV147940,Hô hấp,Đếm nhịp thở
CHK00053,SRV147940,Tim mạch,Kiểm tra mạch
CHK00054,SRV46174,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00055,SRV46174,Vùng bụng,Sờ nắn kiểm tra đau
CHK00056,SRV46174,Tim mạch,Đo nhịp tim
CHK00057,SRV46174,Mắt,Kiểm tra độ ẩm mắt
CHK00058,SRV46174,Vết mổ,Kiểm tra nhiễm trùng
CHK00059,SRV46174,Chân,Kiểm tra sưng
CHK00060,SRV125450,Mắt,Kiểm tra độ ẩm mắt
CHK00061,SRV125450,Vết mổ,Kiểm tra sưng tấy
CHK00062,SRV125450,Toàn thân,Kiểm tra nhịp thở
CHK00063,SRV168276,Hô hấp,Đếm nhịp thở
CHK00064,SRV168276,Toàn thân,Kiểm tra ăn uống
CHK00065,SRV168276,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00066,SRV168276,Vùng bụng,Kiểm tra chướng bụng
CHK00067,SRV168276,Tim mạch,Đo nhịp tim
CHK00068,SRV12758,Toàn thân,Kiểm tra đi vệ sinh
CHK00069,SRV12758,Hô hấp,Kiểm tra tiếng thở
CHK00070,SRV12758,Mắt,Kiểm tra phản xạ ánh sáng
CHK00071,SRV12758,Chân,Kiểm tra sưng
CHK00072,SRV12758,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00073,SRV124914,Vết mổ,Kiểm tra độ liền da
CHK00074,SRV124914,Tim mạch,Đo nhịp tim
CHK00075,SRV124914,Vùng bụng,Kiểm tra chướng bụng
CHK00076,SRV27558,Chân,Kiểm tra sưng
CHK00077,SRV27558,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00078,SRV27558,Vùng bụng,Kiểm tra chướng bụng
CHK00079,SRV27558,Mắt,Kiểm tra độ ẩm mắt
CHK00080,SRV27558,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00081,SRV5691,Vết mổ,Vệ sinh vết mổ
CHK00082,SRV5691,Chân,Kiểm tra cử động
CHK00083,SRV5691,Tim mạch,Kiểm tra mạch
CHK00084,SRV5691,Vùng bụng,Sờ nắn kiểm tra đau
CHK00085,SRV5691,Hô hấp,Kiểm tra tiếng thở
CHK00086,SRV5691,Thân nhiệt,Theo dõi sốt
CHK00087,SRV188403,Chân,Kiểm tra cử động
CHK00088,SRV188403,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00089,SRV188403,Vết mổ,Kiểm tra nhiễm trùng
CHK00090,SRV188403,Mắt,Kiểm tra phản xạ ánh sáng
CHK00091,SRV188403,Toàn thân,Kiểm tra ăn uống
CHK00092,SRV188403,Vùng bụng,Kiểm tra chướng bụng
CHK00093,SRV147887,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00094,SRV147887,Vết mổ,Kiểm tra độ liền da
CHK00095,SRV147887,Chân,Kiểm tra cử động
CHK00096,SRV147887,Vùng bụng,Kiểm tra chướng bụng
CHK00097,SRV101337,Chân,Kiểm tra tuần hoàn
CHK00098,SRV101337,Vùng bụng,Kiểm tra chướng bụng
CHK00099,SRV101337,Mắt,Kiểm tra độ ẩm mắt
CHK00100,SRV101337,Vết mổ,Kiểm tra độ liền da
CHK00101,SRV101337,Thân nhiệt,Theo dõi sốt
CHK00102,SRV154716,Chân,Kiểm tra tuần hoàn
CHK00103,SRV154716,Vùng bụng,Sờ nắn kiểm tra đau
CHK00104,SRV154716,Vết mổ,Kiểm tra rỉ dịch
CHK00105,SRV154716,Mắt,Kiểm tra phản xạ ánh sáng
CHK00106,SRV89909,Chân,Kiểm tra sưng
CHK00107,SRV89909,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00108,SRV89909,Vùng bụng,Sờ nắn kiểm tra đau
CHK00109,SRV89909,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00110,SRV89909,Hô hấp,Kiểm tra màu niêm mạc
CHK00111,SRV70782,Toàn thân,Kiểm tra ăn uống
CHK00112,SRV70782,Chân,Kiểm tra tuần hoàn
CHK00113,SRV70782,Vết mổ,Kiểm tra sưng tấy
CHK00114,SRV158910,Tim mạch,Đo nhịp tim
CHK00115,SRV158910,Mắt,Kiểm tra độ ẩm mắt
CHK00116,SRV158910,Chân,Kiểm tra tuần hoàn
CHK00117,SRV158910,Vùng bụng,Kiểm tra chướng bụng
CHK00118,SRV158910,Hô hấp,Đếm nhịp thở
CHK00119,SRV59413,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00120,SRV59413,Hô hấp,Kiểm tra màu niêm mạc
CHK00121,SRV59413,Vùng bụng,Sờ nắn kiểm tra đau
CHK00122,SRV57419,Chân,Kiểm tra cử động
CHK00123,SRV57419,Mắt,Kiểm tra độ ẩm mắt
CHK00124,SRV57419,Toàn thân,Đánh giá mức độ đau
CHK00125,SRV57419,Hô hấp,Đếm nhịp thở
CHK00126,SRV57419,Tim mạch,Đo nhịp tim
CHK00127,SRV57419,Thân nhiệt,Theo dõi sốt
CHK00128,SRV15246,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00129,SRV15246,Hô hấp,Kiểm tra màu niêm mạc
CHK00130,SRV15246,Vết mổ,Kiểm tra sưng tấy
CHK00131,SRV15246,Mắt,Kiểm tra phản xạ ánh sáng
CHK00132,SRV15246,Tim mạch,Kiểm tra mạch
CHK00133,SRV136817,Hô hấp,Kiểm tra tiếng thở
CHK00134,SRV136817,Vùng bụng,Sờ nắn kiểm tra đau
CHK00135,SRV136817,Chân,Kiểm tra tuần hoàn
CHK00136,SRV136817,Vết mổ,Kiểm tra rỉ dịch
CHK00137,SRV180012,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00138,SRV180012,Tim mạch,Kiểm tra mạch
CHK00139,SRV180012,Vết mổ,Kiểm tra độ liền da
CHK00140,SRV180012,Chân,Kiểm tra cử động
CHK00141,SRV88277,Tim mạch,Đo nhịp tim
CHK00142,SRV88277,Hô hấp,Đếm nhịp thở
CHK00143,SRV88277,Mắt,Kiểm tra độ ẩm mắt
CHK00144,SRV88277,Chân,Kiểm tra cử động
CHK00145,SRV88277,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00146,SRV88277,Vùng bụng,Kiểm tra chướng bụng
CHK00147,SRV95540,Mắt,Kiểm tra độ ẩm mắt
CHK00148,SRV95540,Toàn thân,Kiểm tra ăn uống
CHK00149,SRV95540,Tim mạch,Đo nhịp tim
CHK00150,SRV95540,Vết mổ,Vệ sinh vết mổ
CHK00151,SRV95540,Thân nhiệt,Theo dõi sốt
CHK00152,SRV112718,Chân,Kiểm tra sưng
CHK00153,SRV112718,Vùng bụng,Sờ nắn kiểm tra đau
CHK00154,SRV112718,Tim mạch,Đo nhịp tim
CHK00155,SRV112718,Thân nhiệt,Theo dõi sốt
CHK00156,SRV112718,Toàn thân,Đánh giá mức độ đau
CHK00157,SRV112718,Hô hấp,Kiểm tra tiếng thở
CHK00158,SRV147398,Mắt,Kiểm tra phản xạ ánh sáng
CHK00159,SRV147398,Toàn thân,Đánh giá mức độ đau
CHK00160,SRV147398,Tim mạch,Kiểm tra mạch
CHK00161,SRV147398,Chân,Kiểm tra cử động
CHK00162,SRV147398,Vùng bụng,Sờ nắn kiểm tra đau
CHK00163,SRV147398,Vết mổ,Kiểm tra nhiễm trùng
CHK00164,SRV119058,Mắt,Kiểm tra phản xạ ánh sáng
CHK00165,SRV119058,Tim mạch,Kiểm tra mạch
CHK00166,SRV119058,Vùng bụng,Kiểm tra chướng bụng
CHK00167,SRV119058,Vết mổ,Kiểm tra rỉ dịch
CHK00168,SRV119058,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00169,SRV119058,Hô hấp,Kiểm tra màu niêm mạc
CHK00170,SRV28888,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00171,SRV28888,Vùng bụng,Sờ nắn kiểm tra đau
CHK00172,SRV28888,Mắt,Kiểm tra độ ẩm mắt
CHK00173,SRV28888,Vết mổ,Vệ sinh vết mổ
CHK00174,SRV28888,Chân,Kiểm tra cử động
CHK00175,SRV115680,Chân,Kiểm tra tuần hoàn
CHK00176,SRV115680,Toàn thân,Kiểm tra ăn uống
CHK00177,SRV115680,Vết mổ,Kiểm tra rỉ dịch
CHK00178,SRV162378,Mắt,Kiểm tra độ ẩm mắt
CHK00179,SRV162378,Toàn thân,Kiểm tra đi vệ sinh
CHK00180,SRV162378,Chân,Kiểm tra cử động
CHK00181,SRV162378,Vết mổ,Vệ sinh vết mổ
CHK00182,SRV143342,Toàn thân,Đánh giá mức độ đau
CHK00183,SRV143342,Chân,Kiểm tra tuần hoàn
CHK00184,SRV143342,Mắt,Kiểm tra độ ẩm mắt
CHK00185,SRV143342,Tim mạch,Kiểm tra mạch
CHK00186,SRV64271,Thân nhiệt,Theo dõi sốt
CHK00187,SRV64271,Tim mạch,Kiểm tra mạch
CHK00188,SRV64271,Toàn thân,Kiểm tra đi vệ sinh
CHK00189,SRV144799,Mắt,Kiểm tra phản xạ ánh sáng
CHK00190,SRV144799,Toàn thân,Kiểm tra nhịp thở
CHK00191,SRV144799,Chân,Kiểm tra tuần hoàn
CHK00192,SRV144799,Vết mổ,Kiểm tra nhiễm trùng
CHK00193,SRV144799,Hô hấp,Kiểm tra tiếng thở
CHK00194,SRV50510,Mắt,Kiểm tra độ ẩm mắt
CHK00195,SRV50510,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00196,SRV50510,Vết mổ,Kiểm tra độ liền da
CHK00197,SRV50510,Tim mạch,Kiểm tra mạch
CHK00198,SRV107407,Tim mạch,Kiểm tra mạch
CHK00199,SRV107407,Vùng bụng,Sờ nắn kiểm tra đau
CHK00200,SRV107407,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00201,SRV107407,Vết mổ,Vệ sinh vết mổ
CHK00202,SRV107407,Thân nhiệt,Theo dõi sốt
CHK00203,SRV107407,Hô hấp,Đếm nhịp thở
CHK00204,SRV198188,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00205,SRV198188,Hô hấp,Đếm nhịp thở
CHK00206,SRV198188,Chân,Kiểm tra sưng
CHK00207,SRV198188,Mắt,Kiểm tra độ ẩm mắt
CHK00208,SRV198188,Tim mạch,Kiểm tra mạch
CHK00209,SRV193159,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00210,SRV193159,Chân,Kiểm tra sưng
CHK00211,SRV193159,Vết mổ,Kiểm tra độ liền da
CHK00212,SRV193159,Thân nhiệt,Theo dõi sốt
CHK00213,SRV198807,Chân,Kiểm tra sưng
CHK00214,SRV198807,Hô hấp,Đếm nhịp thở
CHK00215,SRV198807,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00216,SRV135243,Tim mạch,Đo nhịp tim
CHK00217,SRV135243,Mắt,Kiểm tra độ ẩm mắt
CHK00218,SRV135243,Toàn thân,Kiểm tra ăn uống
CHK00219,SRV135243,Chân,Kiểm tra cử động
CHK00220,SRV135243,Vết mổ,Kiểm tra nhiễm trùng
CHK00221,SRV63896,Mắt,Kiểm tra độ ẩm mắt
CHK00222,SRV63896,Vùng bụng,Kiểm tra chướng bụng
CHK00223,SRV63896,Chân,Kiểm tra cử động
CHK00224,SRV63896,Tim mạch,Kiểm tra mạch
CHK00225,SRV63896,Toàn thân,Kiểm tra ăn uống
CHK00226,SRV186117,Hô hấp,Đếm nhịp thở
CHK00227,SRV186117,Tim mạch,Đo nhịp tim
CHK00228,SRV186117,Vết mổ,Kiểm tra nhiễm trùng
CHK00229,SRV186117,Toàn thân,Kiểm tra ăn uống
CHK00230,SRV186117,Vùng bụng,Kiểm tra chướng bụng
CHK00231,SRV186117,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00232,SRV111097,Hô hấp,Kiểm tra tiếng thở
CHK00233,SRV111097,Toàn thân,Kiểm tra đi vệ sinh
CHK00234,SRV111097,Tim mạch,Đo nhịp tim
CHK00235,SRV111097,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00236,SRV73435,Mắt,Kiểm tra phản xạ ánh sáng
CHK00237,SRV73435,Chân,Kiểm tra sưng
CHK00238,SRV73435,Vùng bụng,Sờ nắn kiểm tra đau
CHK00239,SRV128387,Tim mạch,Kiểm tra mạch
CHK00240,SRV128387,Hô hấp,Đếm nhịp thở
CHK00241,SRV128387,Chân,Kiểm tra tuần hoàn
CHK00242,SRV35675,Hô hấp,Đếm nhịp thở
CHK00243,SRV35675,Chân,Kiểm tra cử động
CHK00244,SRV35675,Vùng bụng,Kiểm tra chướng bụng
CHK00245,SRV35675,Vết mổ,Kiểm tra nhiễm trùng
CHK00246,SRV35675,Mắt,Kiểm tra phản xạ ánh sáng
CHK00247,SRV35675,Toàn thân,Kiểm tra đi vệ sinh
CHK00248,SRV7233,Chân,Kiểm tra cử động
CHK00249,SRV7233,Tim mạch,Kiểm tra mạch
CHK00250,SRV7233,Vết mổ,Kiểm tra độ liền da
CHK00251,SRV7233,Vùng bụng,Kiểm tra chướng bụng
CHK00252,SRV7233,Hô hấp,Đếm nhịp thở
CHK00253,SRV7233,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00254,SRV71114,Mắt,Kiểm tra độ ẩm mắt
CHK00255,SRV71114,Chân,Kiểm tra tuần hoàn
CHK00256,SRV71114,Vùng bụng,Sờ nắn kiểm tra đau
CHK00257,SRV71114,Vết mổ,Kiểm tra rỉ dịch
CHK00258,SRV71114,Toàn thân,Kiểm tra ăn uống
CHK00259,SRV55578,Vết mổ,Vệ sinh vết mổ
CHK00260,SRV55578,Thân nhiệt,Theo dõi sốt
CHK00261,SRV55578,Vùng bụng,Kiểm tra chướng bụng
CHK00262,SRV112836,Tim mạch,Đo nhịp tim
CHK00263,SRV112836,Hô hấp,Đếm nhịp thở
CHK00264,SRV112836,Vùng bụng,Kiểm tra chướng bụng
CHK00265,SRV112836,Chân,Kiểm tra tuần hoàn
CHK00266,SRV140619,Hô hấp,Kiểm tra tiếng thở
CHK00267,SRV140619,Thân nhiệt,Theo dõi sốt
CHK00268,SRV140619,Tim mạch,Kiểm tra mạch
CHK00269,SRV72221,Tim mạch,Kiểm tra mạch
CHK00270,SRV72221,Vùng bụng,Kiểm tra chướng bụng
CHK00271,SRV72221,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00272,SRV72221,Toàn thân,Kiểm tra nhịp thở
CHK00273,SRV105842,Toàn thân,Đánh giá mức độ đau
CHK00274,SRV105842,Chân,Kiểm tra cử động
CHK00275,SRV105842,Tim mạch,Đo nhịp tim
CHK00276,SRV105842,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00277,SRV105842,Hô hấp,Kiểm tra tiếng thở
CHK00278,SRV146800,Mắt,Kiểm tra phản xạ ánh sáng
CHK00279,SRV146800,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00280,SRV146800,Vùng bụng,Kiểm tra chướng bụng
CHK00281,SRV146800,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00282,SRV146800,Chân,Kiểm tra cử động
CHK00283,SRV146800,Hô hấp,Kiểm tra tiếng thở
CHK00284,SRV102803,Hô hấp,Kiểm tra tiếng thở
CHK00285,SRV102803,Chân,Kiểm tra sưng
CHK00286,SRV102803,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00287,SRV102803,Mắt,Kiểm tra độ ẩm mắt
CHK00288,SRV179127,Vết mổ,Kiểm tra nhiễm trùng
CHK00289,SRV179127,Chân,Kiểm tra cử động
CHK00290,SRV179127,Vùng bụng,Kiểm tra chướng bụng
CHK00291,SRV131182,Toàn thân,Kiểm tra nhịp thở
CHK00292,SRV131182,Hô hấp,Kiểm tra màu niêm mạc
CHK00293,SRV131182,Chân,Kiểm tra cử động
CHK00294,SRV131182,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00295,SRV134539,Thân nhiệt,Theo dõi sốt
CHK00296,SRV134539,Chân,Kiểm tra sưng
CHK00297,SRV134539,Hô hấp,Đếm nhịp thở
CHK00298,SRV134539,Vùng bụng,Kiểm tra chướng bụng
CHK00299,SRV71129,Hô hấp,Kiểm tra màu niêm mạc
CHK00300,SRV71129,Toàn thân,Kiểm tra đi vệ sinh
CHK00301,SRV71129,Thân nhiệt,Theo dõi sốt
CHK00302,SRV123581,Mắt,Kiểm tra phản xạ ánh sáng
CHK00303,SRV123581,Chân,Kiểm tra tuần hoàn
CHK00304,SRV123581,Vùng bụng,Kiểm tra chướng bụng
CHK00305,SRV123581,Tim mạch,Kiểm tra mạch
CHK00306,SRV123581,Hô hấp,Kiểm tra màu niêm mạc
CHK00307,SRV45255,Chân,Kiểm tra tuần hoàn
CHK00308,SRV45255,Toàn thân,Đánh giá mức độ đau
CHK00309,SRV45255,Hô hấp,Kiểm tra tiếng thở
CHK00310,SRV182349,Hô hấp,Kiểm tra màu niêm mạc
CHK00311,SRV182349,Toàn thân,Kiểm tra nhịp thở
CHK00312,SRV182349,Chân,Kiểm tra cử động
CHK00313,SRV182349,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00314,SRV182349,Vết mổ,Kiểm tra nhiễm trùng
CHK00315,SRV182349,Vùng bụng,Kiểm tra chướng bụng
CHK00316,SRV190021,Vùng bụng,Kiểm tra chướng bụng
CHK00317,SRV190021,Hô hấp,Đếm nhịp thở
CHK00318,SRV190021,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00319,SRV190021,Mắt,Kiểm tra phản xạ ánh sáng
CHK00320,SRV151517,Chân,Kiểm tra tuần hoàn
CHK00321,SRV151517,Thân nhiệt,Theo dõi sốt
CHK00322,SRV151517,Mắt,Kiểm tra độ ẩm mắt
CHK00323,SRV18846,Vùng bụng,Kiểm tra chướng bụng
CHK00324,SRV18846,Chân,Kiểm tra sưng
CHK00325,SRV18846,Thân nhiệt,Theo dõi sốt
CHK00326,SRV18846,Toàn thân,Kiểm tra ăn uống
CHK00327,SRV18846,Mắt,Kiểm tra độ ẩm mắt
CHK00328,SRV53094,Vết mổ,Kiểm tra rỉ dịch
CHK00329,SRV53094,Toàn thân,Kiểm tra nhịp thở
CHK00330,SRV53094,Vùng bụng,Sờ nắn kiểm tra đau
CHK00331,SRV53094,Mắt,Kiểm tra độ ẩm mắt
CHK00332,SRV53094,Hô hấp,Đếm nhịp thở
CHK00333,SRV53094,Tim mạch,Kiểm tra mạch
CHK00334,SRV119100,Thân nhiệt,Theo dõi sốt
CHK00335,SRV119100,Chân,Kiểm tra sưng
CHK00336,SRV119100,Vùng bụng,Sờ nắn kiểm tra đau
CHK00337,SRV119100,Mắt,Kiểm tra độ ẩm mắt
CHK00338,SRV119100,Vết mổ,Kiểm tra nhiễm trùng
CHK00339,SRV77413,Tim mạch,Đo nhịp tim
CHK00340,SRV77413,Hô hấp,Đếm nhịp thở
CHK00341,SRV77413,Vết mổ,Vệ sinh vết mổ
CHK00342,SRV77413,Chân,Kiểm tra sưng
CHK00343,SRV77413,Vùng bụng,Kiểm tra chướng bụng
CHK00344,SRV77413,Thân nhiệt,Theo dõi sốt
CHK00345,SRV63406,Mắt,Kiểm tra độ ẩm mắt
CHK00346,SRV63406,Hô hấp,Kiểm tra tiếng thở
CHK00347,SRV63406,Tim mạch,Kiểm tra mạch
CHK00348,SRV63406,Vùng bụng,Sờ nắn kiểm tra đau
CHK00349,SRV78602,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00350,SRV78602,Hô hấp,Kiểm tra màu niêm mạc
CHK00351,SRV78602,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00352,SRV78602,Chân,Kiểm tra cử động
CHK00353,SRV101016,Vùng bụng,Kiểm tra chướng bụng
CHK00354,SRV101016,Toàn thân,Kiểm tra phản xạ tỉnh táo
CHK00355,SRV101016,Vết mổ,Kiểm tra rỉ dịch
CHK00356,SRV101016,Hô hấp,Kiểm tra tiếng thở
CHK00357,SRV149335,Mắt,Kiểm tra phản xạ ánh sáng
CHK00358,SRV149335,Chân,Kiểm tra tuần hoàn
CHK00359,SRV149335,Tim mạch,Kiểm tra mạch
CHK00360,SRV149335,Hô hấp,Kiểm tra tiếng thở
CHK00361,SRV147039,Hô hấp,Đếm nhịp thở
CHK00362,SRV147039,Chân,Kiểm tra sưng
CHK00363,SRV147039,Tim mạch,Kiểm tra mạch
CHK00364,SRV169406,Mắt,Kiểm tra phản xạ ánh sáng
CHK00365,SRV169406,Thân nhiệt,Theo dõi sốt
CHK00366,SRV169406,Hô hấp,Kiểm tra màu niêm mạc
CHK00367,SRV169406,Chân,Kiểm tra sưng
CHK00368,SRV169406,Vùng bụng,Sờ nắn kiểm tra đau
CHK00369,SRV153270,Vùng bụng,Sờ nắn kiểm tra đau
CHK00370,SRV153270,Hô hấp,Kiểm tra tiếng thở
CHK00371,SRV153270,Vết mổ,Vệ sinh vết mổ
CHK00372,SRV153270,Mắt,Kiểm tra độ ẩm mắt
CHK00373,SRV76457,Mắt,Kiểm tra phản xạ ánh sáng
CHK00374,SRV76457,Chân,Kiểm tra sưng
CHK00375,SRV76457,Hô hấp,Kiểm tra màu niêm mạc
CHK00376,SRV76457,Vùng bụng,Sờ nắn kiểm tra đau
CHK00377,SRV8033,Vết mổ,Vệ sinh vết mổ
CHK00378,SRV8033,Thân nhiệt,Theo dõi sốt
CHK00379,SRV8033,Hô hấp,Kiểm tra tiếng thở
CHK00380,SRV8033,Tim mạch,Kiểm tra mạch
CHK00381,SRV8033,Vùng bụng,Kiểm tra chướng bụng
CHK00382,SRV159509,Vùng bụng,Kiểm tra chướng bụng
CHK00383,SRV159509,Vết mổ,Vệ sinh vết mổ
CHK00384,SRV159509,Chân,Kiểm tra sưng
CHK00385,SRV44085,Tim mạch,Đo nhịp tim
CHK00386,SRV44085,Mắt,Kiểm tra phản xạ ánh sáng
CHK00387,SRV44085,Chân,Kiểm tra tuần hoàn
CHK00388,SRV44085,Vết mổ,Kiểm tra độ liền da
CHK00389,SRV174242,Thân nhiệt,Theo dõi sốt
CHK00390,SRV174242,Mắt,Kiểm tra độ ẩm mắt
CHK00391,SRV174242,Chân,Kiểm tra tuần hoàn
CHK00392,SRV174242,Tim mạch,Đo nhịp tim
CHK00393,SRV174242,Toàn thân,Kiểm tra nhịp thở
CHK00394,SRV85908,Chân,Kiểm tra tuần hoàn
CHK00395,SRV85908,Hô hấp,Kiểm tra tiếng thở
CHK00396,SRV85908,Mắt,Kiểm tra độ ẩm mắt
CHK00397,SRV85908,Vùng bụng,Sờ nắn kiểm tra đau
CHK00398,SRV85908,Tim mạch,Đo nhịp tim
CHK00399,SRV85908,Thân nhiệt,Đo nhiệt độ cơ thể
CHK00400,SRV145610,Tim mạch,Kiểm tra mạch
CHK00401,SRV145610,Mắt,Kiểm tra độ ẩm mắt
CHK00402,SRV145610,Chân,Kiểm tra sưng
CHK00403,SRV145610,Toàn thân,Kiểm tra đi vệ sinh
CHK00404,SRV74054,Hô hấp,Đếm nhịp thở
CHK00405,SRV74054,Vết mổ,Kiểm tra rỉ dịch
CHK00406,SRV74054,Toàn thân,Kiểm tra ăn uống
CHK00407,SRV194568,Hô hấp,Kiểm tra màu niêm mạc
CHK00408,SRV194568,Toàn thân,Kiểm tra nhịp thở
CHK00409,SRV194568,Vùng bụng,Kiểm tra chướng bụng
CHK00410,SRV43962,Tim mạch,Đo nhịp tim
CHK00411,SRV43962,Vết mổ,Kiểm tra rỉ dịch
CHK00412,SRV43962,Toàn thân,Đánh giá mức độ đau
CHK00413,SRV43962,Hô hấp,Đếm nhịp thở
CHK00414,SRV43962,Thân nhiệt,Theo dõi sốt
CHK00415,SRV43962,Mắt,Kiểm tra độ ẩm mắt
CHK00416,SRV196509,Vết mổ,Kiểm tra nhiễm trùng
CHK00417,SRV196509,Vùng bụng,Kiểm tra chướng bụng
CHK00418,SRV196509,Mắt,Kiểm tra phản xạ ánh sáng
CHK00419,SRV196509,Tim mạch,Đo nhịp tim
CHK00420,SRV196509,Hô hấp,Kiểm tra màu niêm mạc
CHK00421,SRV188528,Thân nhiệt,Theo dõi sốt
CHK00422,SRV188528,Hô hấp,Kiểm tra tiếng thở
CHK00423,SRV188528,Toàn thân,Kiểm tra đi vệ sinh
CHK00424,SRV45201,Toàn thân,Kiểm tra nhịp thở
CHK00425,SRV45201,Mắt,Kiểm tra phản xạ ánh sáng
CHK00426,SRV45201,Tim mạch,Kiểm tra mạch
