MonitorID,SurgeryID,NurseID,CheckTime,Status,Note
MON000022,SRV77041,E0155,2024-01-03 10:20:02,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000023,SRV60035,E0242,2021-12-29 16:46:54,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000024,SRV89909,E0181,2022-04-06 16:59:04,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000025,SRV100276,E0227,2024-08-27 20:02:19,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000026,SRV2379,E0161,2023-04-10 19:37:56,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000027,SRV119506,E0164,2023-08-02 02:47:27,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000028,SRV88463,E0189,2021-05-12 19:25:29,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000029,SRV102777,E0222,2022-01-03 19:24:13,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000030,SRV66684,E0140,2023-05-16 15:41:32,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000031,SRV159456,E0198,2024-10-09 12:24:27,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000032,SRV57370,E0261,2023-06-20 14:02:41,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000033,SRV51327,E0214,2022-07-15 20:34:41,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000034,SRV141316,E0173,2024-07-26 10:08:02,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000035,SRV94608,E0195,2023-05-31 19:20:26,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000036,SRV146810,E0267,2024-07-10 01:32:28,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000037,SRV197425,E0211,2023-10-29 19:19:53,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000038,SRV111436,E0154,2022-02-18 20:39:18,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000039,SRV69367,E0269,2024-05-07 08:33:19,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000040,SRV195037,E0158,2023-08-22 16:25:41,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000041,SRV116059,E0246,2022-03-05 13:07:50,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000042,SRV43047,E0167,2022-04-21 19:28:35,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000043,SRV24973,E0249,2024-04-01 18:25:05,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000044,SRV68897,E0175,2024-07-29 22:45:30,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000045,SRV104497,E0219,2023-03-03 12:36:10,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000046,SRV67860,E0227,2024-11-16 04:01:08,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000047,SRV60106,E0191,2022-01-25 05:02:48,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000048,SRV191174,E0228,2024-07-26 07:51:37,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000049,SRV37160,E0176,2022-04-13 05:47:16,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000050,SRV197713,E0139,2023-02-02 00:46:44,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000051,SRV37640,E0134,2023-01-31 22:23:13,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000052,SRV55461,E0149,2022-02-19 18:20:45,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000053,SRV45713,E0205,2022-11-28 01:23:04,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000054,SRV64015,E0240,2024-07-05 06:38:48,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000055,SRV161859,E0268,2021-04-06 17:58:57,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000056,SRV6386,E0250,2023-03-31 08:02:11,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000057,SRV102205,E0144,2024-09-14 03:29:57,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000058,SRV98681,E0192,2022-10-06 16:18:20,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000059,SRV107479,E0152,2021-04-26 06:11:10,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000060,SRV66067,E0153,2024-02-27 05:56:58,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000061,SRV60035,E0269,2022-11-11 06:00:20,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000062,SRV13280,E0161,2021-01-10 18:40:04,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000063,SRV2779,E0260,2023-11-20 18:27:21,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000064,SRV10767,E0178,2023-06-26 10:52:39,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000065,SRV117995,E0169,2023-01-02 14:03:50,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000066,SRV60071,E0146,2024-09-02 22:36:39,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000067,SRV31076,E0174,2021-09-29 22:17:37,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000068,SRV158112,E0134,2021-12-07 12:15:55,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000069,SRV101262,E0224,2022-02-06 04:15:33,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000070,SRV136214,E0226,2021-01-11 07:26:34,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000071,SRV26229,E0228,2022-03-20 15:24:23,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000072,SRV179129,E0139,2021-07-16 22:09:20,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000073,SRV103208,E0170,2022-05-30 00:55:13,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000074,SRV114423,E0205,2024-01-14 20:48:37,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000075,SRV131260,E0181,2024-12-25 05:20:55,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000076,SRV101515,E0265,2023-06-26 14:02:30,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000077,SRV148010,E0261,2021-08-16 21:06:55,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000078,SRV109267,E0213,2022-11-15 09:42:12,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000079,SRV141103,E0243,2021-05-29 23:58:15,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000080,SRV114535,E0153,2023-11-12 11:56:14,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000081,SRV34866,E0139,2021-08-21 05:58:58,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000082,SRV107666,E0136,2021-04-26 11:58:02,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000083,SRV195973,E0167,2022-12-23 14:06:00,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000084,SRV114049,E0162,2024-02-18 14:49:58,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000085,SRV41327,E0160,2022-09-15 11:39:18,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000086,SRV108735,E0265,2022-05-08 04:59:09,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000087,SRV87153,E0218,2024-05-04 20:37:56,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000088,SRV113724,E0121,2022-11-24 17:34:25,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000089,SRV27322,E0224,2021-02-14 01:26:54,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000090,SRV57672,E0240,2024-05-26 19:37:23,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000091,SRV78422,E0148,2023-03-22 04:44:58,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000092,SRV120723,E0152,2024-05-13 12:03:36,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000093,SRV70886,E0187,2021-04-05 14:21:54,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000094,SRV143381,E0139,2022-12-16 19:55:32,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000095,SRV88081,E0214,2021-04-01 11:48:45,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000096,SRV113050,E0133,2022-07-13 21:48:29,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000097,SRV8253,E0246,2022-10-25 23:53:20,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000098,SRV157144,E0261,2022-10-28 03:12:33,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000099,SRV66802,E0235,2022-04-02 23:17:35,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000100,SRV99498,E0193,2022-03-25 01:17:26,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000101,SRV60978,E0200,2024-04-01 02:36:22,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000102,SRV143188,E0198,2024-04-11 12:46:05,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000103,SRV111026,E0165,2021-04-20 01:21:42,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000104,SRV118860,E0155,2023-07-01 22:22:35,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000105,SRV166443,E0181,2022-11-15 02:52:27,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000106,SRV110194,E0150,2022-04-28 06:44:39,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000107,SRV39994,E0249,2024-09-23 01:50:27,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000108,SRV131033,E0172,2021-01-30 04:37:59,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000109,SRV127982,E0255,2021-12-20 03:33:38,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000110,SRV121572,E0205,2023-06-11 11:48:52,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000111,SRV17932,E0215,2023-04-29 01:36:41,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000112,SRV123172,E0183,2021-12-29 11:18:13,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000113,SRV108218,E0255,2022-02-01 11:04:28,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000114,SRV25655,E0187,2023-06-03 23:11:38,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000115,SRV56527,E0242,2022-03-17 00:22:39,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000116,SRV137852,E0255,2021-12-16 09:24:48,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000117,SRV8479,E0197,2023-10-08 15:54:03,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000118,SRV83916,E0253,2024-04-01 06:08:30,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000119,SRV4422,E0128,2022-12-09 03:03:51,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000120,SRV39437,E0212,2024-04-03 11:44:28,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000121,SRV199978,E0256,2024-06-01 08:00:27,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000122,SRV11387,E0171,2022-07-20 07:46:58,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000123,SRV114033,E0264,2021-11-01 04:08:41,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000124,SRV64450,E0130,2023-03-15 02:13:45,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000125,SRV16829,E0184,2021-04-19 20:49:08,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000126,SRV96826,E0267,2022-09-06 08:31:15,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000127,SRV24292,E0196,2021-06-04 17:23:38,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000128,SRV11767,E0204,2022-05-21 05:12:31,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000129,SRV15302,E0146,2023-11-25 19:22:10,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000130,SRV147598,E0146,2021-03-18 16:26:25,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000131,SRV185434,E0186,2021-07-29 11:47:45,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000132,SRV98301,E0213,2023-01-10 01:14:38,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000133,SRV26401,E0261,2024-04-11 08:44:36,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000134,SRV170744,E0238,2024-01-29 16:31:31,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000135,SRV138005,E0215,2023-05-25 11:16:05,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000136,SRV193717,E0131,2023-06-02 11:19:06,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000137,SRV139536,E0172,2024-12-12 10:52:03,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000138,SRV109959,E0128,2022-04-21 04:11:24,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000139,SRV152184,E0157,2024-05-31 09:17:20,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000140,SRV0663,E0270,2024-03-02 03:14:40,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000141,SRV117838,E0245,2022-06-14 00:12:09,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000142,SRV52545,E0136,2022-12-27 10:16:48,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000143,SRV62564,E0269,2021-03-29 18:23:48,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000144,SRV199482,E0159,2023-05-07 04:37:57,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000145,SRV66639,E0152,2023-11-15 01:32:16,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000146,SRV189753,E0201,2022-09-01 12:56:26,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000147,SRV6298,E0270,2021-01-31 20:01:44,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000148,SRV132606,E0192,2021-06-07 22:58:27,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000149,SRV74099,E0130,2022-06-25 06:14:28,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000150,SRV14890,E0261,2021-05-19 18:15:07,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000151,SRV191744,E0176,2023-04-29 13:49:00,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000152,SRV64448,E0214,2022-03-12 15:57:20,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000153,SRV38364,E0175,2023-04-29 15:05:50,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000154,SRV59397,E0204,2022-08-07 06:51:07,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000155,SRV133660,E0178,2021-03-31 07:31:13,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000156,SRV126227,E0158,2024-12-23 22:24:44,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000157,SRV29647,E0208,2021-08-29 13:15:28,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000158,SRV46509,E0200,2023-04-07 01:51:56,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000159,SRV28714,E0196,2023-10-11 22:23:50,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000160,SRV120032,E0268,2021-11-20 01:29:42,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000161,SRV26619,E0240,2021-02-04 19:25:33,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000162,SRV197036,E0242,2021-07-21 06:49:34,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000163,SRV124535,E0206,2022-11-24 08:14:00,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000164,SRV68687,E0254,2024-12-25 08:48:11,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000165,SRV83694,E0233,2021-07-14 23:23:14,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000166,SRV148046,E0209,2022-11-19 06:28:44,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000167,SRV115482,E0228,2024-05-12 20:06:15,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000168,SRV189260,E0159,2024-05-06 02:53:37,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000169,SRV23919,E0260,2024-07-06 14:50:16,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000170,SRV42603,E0128,2021-03-19 13:45:35,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000171,SRV146248,E0143,2021-10-27 13:09:50,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000172,SRV100752,E0253,2023-03-09 11:11:10,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000173,SRV122062,E0199,2021-12-21 06:55:08,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000174,SRV88203,E0149,2024-07-11 03:14:13,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000175,SRV36215,E0248,2022-06-13 21:23:34,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000176,SRV86587,E0147,2024-05-11 14:04:12,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000177,SRV123144,E0234,2023-06-25 15:47:47,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000178,SRV194565,E0190,2021-02-15 19:57:24,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000179,SRV66530,E0225,2023-06-05 15:44:44,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000180,SRV2698,E0130,2023-11-21 00:21:24,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000181,SRV12008,E0173,2022-07-17 01:55:10,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000182,SRV166255,E0150,2023-05-13 00:44:00,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000183,SRV177270,E0200,2023-11-28 01:13:47,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000184,SRV20503,E0236,2023-11-14 17:10:49,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000185,SRV26751,E0153,2023-01-16 17:53:22,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000186,SRV145100,E0176,2022-11-26 23:07:50,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000187,SRV83621,E0135,2022-08-17 15:23:26,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000188,SRV183955,E0247,2021-11-14 21:04:39,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000189,SRV41956,E0169,2023-10-05 04:39:07,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000190,SRV17053,E0204,2021-10-05 15:49:39,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000191,SRV171687,E0220,2024-11-17 00:54:45,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000192,SRV108890,E0175,2024-11-29 03:31:01,Hơi mệt,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000193,SRV187427,E0269,2024-04-12 16:55:37,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000194,SRV1555,E0165,2021-09-11 04:36:34,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000195,SRV78390,E0202,2024-05-27 16:08:54,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000196,SRV130041,E0178,2022-05-12 10:57:30,Ổn,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000197,SRV195367,E0194,2024-04-02 16:28:32,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
MON000198,SRV12536,E0255,2021-09-20 15:35:36,Cần theo dõi thêm,"Kiểm tra dấu hiệu sinh tồn, tình trạng vết mổ."
