EID,PetID,ExaminationDate,Symptoms,Diagnoses,FollowUpDate
SRV8537,PET100967,2022-03-04 07:04:48,Chảy máu cam liên tục - nước tiểu đỏ,Virus Parvovirus (parvo) - nguy hiểm,2022-03-07
SRV14723,PET118896,2021-11-19 22:45:03,Bụng căng như quả bóng - đau nhiều,Xuất huyết nội bộ - cấp cứu,2021-12-16
SRV115724,PET17073,2022-11-02 11:49:50,Tê liệt mặt - miệng méo,Tổn thương thần kinh ngoại biên,2022-11-07
SRV181279,PET108654,2021-07-06 12:31:40,Liệt chi sau - không đứng được,Viêm tụy cấp (Pancreatitis),2021-07-14
SRV97535,PET112435,2023-01-29 23:38:09,Chảy máu cam liên tục - nước tiểu đỏ,Thiếu máu do sốc mất máu hoặc ký sinh,2023-02-28
SRV148990,PET90596,2023-06-30 03:22:13,Tê liệt mặt - miệng méo,Viêm dạ dày ruột cấp do vi khuẩn,2023-07-28
SRV61248,PET03899,2021-03-11 00:36:29,Lờ đờ - mất sinh lực,Viêm đường hô hấp cấp tính,2021-03-15
SRV148227,PET82693,2023-02-08 21:42:36,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-03-07
SRV73832,PET92529,2021-01-20 16:40:42,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Xuất huyết nội bộ - cấp cứu,2021-02-07
SRV53566,PET56117,2021-05-12 15:36:10,Liệt chi sau - không đứng được,Bệnh nha chu giai đoạn cuối,2021-05-15
SRV109555,PET53864,2023-07-21 01:34:28,Tê liệt mặt - miệng méo,Viêm tai ngoài do nấm Malassezia,2023-08-11
SRV165876,PET32118,2023-09-30 09:01:55,Ho kéo dài - khó thở - chảy nước mũi,Bệnh đĩa đệm (bệnh IVDD),2023-10-26
SRV149077,PET114889,2024-01-27 09:52:30,Tê liệt mặt - miệng méo,Viêm tai ngoài do nấm Malassezia,2024-01-28
SRV28876,PET53976,2023-09-20 10:07:58,Ngứa dữ dội - chảy máu tai từ gãi,Bệnh đĩa đệm (bệnh IVDD),2023-10-13
SRV182761,PET30029,2021-05-18 17:46:09,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Chấn thương cột sống lưng thắt lưng,2021-06-10
SRV190966,PET30158,2021-05-07 16:39:22,Tê liệt mặt - miệng méo,Suy thận cấp - cần xét nghiệm ngay,2021-05-12
SRV127959,PET64166,2023-12-15 17:36:16,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Virus Parvovirus (parvo) - nguy hiểm,2024-01-06
SRV186857,PET00603,2021-12-29 01:03:56,Lờ đờ - mất sinh lực,Viêm tụy cấp (Pancreatitis),2022-01-03
SRV152734,PET64497,2023-03-26 06:01:28,Tê liệt mặt - miệng méo,Viêm tai ngoài do nấm Malassezia,2023-03-31
SRV119697,PET92513,2021-04-05 11:57:27,Chảy máu cam liên tục - nước tiểu đỏ,Bệnh nha chu giai đoạn cuối,2021-04-27
SRV0616,PET113130,2024-08-01 04:53:24,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Virus Parvovirus (parvo) - nguy hiểm,2024-08-05
SRV108619,PET98639,2024-08-23 17:10:43,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Tắc đường tiêu hóa hoặc xoắn dạ dày,2024-09-04
SRV24743,PET11535,2023-06-22 16:37:01,Liệt chi sau - không đứng được,Suy thận cấp - cần xét nghiệm ngay,2023-07-12
SRV17781,PET08637,2023-11-12 06:57:55,Hôi miệng kinh khủng - nướu sưng tấy,Nhiễm trùng vết mổ sau phẫu thuật,2023-11-22
SRV53682,PET53505,2024-07-24 01:32:57,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm dạ dày ruột cấp do vi khuẩn,2024-08-19
SRV125310,PET64804,2022-09-19 19:43:38,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh nha chu giai đoạn cuối,2022-10-08
SRV35299,PET27122,2022-01-28 03:25:12,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Virus Parvovirus (parvo) - nguy hiểm,2022-02-02
SRV156226,PET83568,2024-04-06 21:03:58,Tê liệt mặt - miệng méo,Viêm dạ dày ruột cấp do vi khuẩn,2024-04-12
SRV36073,PET62025,2023-05-28 10:58:55,Chảy máu cam liên tục - nước tiểu đỏ,Virus Parvovirus (parvo) - nguy hiểm,2023-06-26
SRV72771,PET89415,2023-03-02 18:05:34,Ho kéo dài - khó thở - chảy nước mũi,Viêm tụy cấp (Pancreatitis),2023-03-04
SRV121732,PET43376,2021-11-03 14:12:09,Ho kéo dài - khó thở - chảy nước mũi,Bệnh nha chu giai đoạn cuối,2021-11-20
SRV167539,PET105814,2024-07-14 02:47:08,Tê liệt mặt - miệng méo,Viêm đường hô hấp cấp tính,2024-07-21
SRV136206,PET18261,2022-04-02 14:43:43,Mắt đỏ - phù nề - khó mở mắt,Bệnh nha chu giai đoạn cuối,2022-04-18
SRV144969,PET90736,2021-06-06 21:56:36,Lờ đờ - mất sinh lực,Xuất huyết nội bộ - cấp cứu,2021-06-10
SRV194404,PET46240,2021-05-25 04:47:04,Ngứa dữ dội - chảy máu tai từ gãi,Nhiễm trùng vết mổ sau phẫu thuật,2021-06-11
SRV97019,PET72051,2021-10-04 03:46:50,Hôi miệng kinh khủng - nướu sưng tấy,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-10-23
SRV95016,PET85289,2021-09-02 03:41:31,Ho kéo dài - khó thở - chảy nước mũi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-09-17
SRV49892,PET98320,2024-02-28 18:25:44,Tê liệt mặt - miệng méo,Tắc đường tiêu hóa hoặc xoắn dạ dày,2024-03-07
SRV89300,PET38940,2021-03-29 22:25:48,Liệt chi sau - không đứng được,Nhiễm trùng vết mổ sau phẫu thuật,2021-03-31
SRV194369,PET85309,2023-05-09 10:19:09,Ngứa dữ dội - chảy máu tai từ gãi,Suy thận cấp - cần xét nghiệm ngay,2023-05-25
SRV80434,PET64820,2022-06-17 06:37:11,Bụng căng như quả bóng - đau nhiều,Tổn thương thần kinh ngoại biên,2022-06-25
SRV145163,PET09185,2023-11-02 20:39:57,Ho kéo dài - khó thở - chảy nước mũi,Viêm tai ngoài do nấm Malassezia,2023-11-03
SRV1302,PET22943,2023-05-18 18:26:59,Liệt chi sau - không đứng được,Virus Parvovirus (parvo) - nguy hiểm,2023-05-19
SRV10815,PET115082,2021-06-05 16:31:11,Chảy máu cam liên tục - nước tiểu đỏ,Viêm tụy cấp (Pancreatitis),2021-06-19
SRV60591,PET47881,2024-12-15 18:08:39,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2024-12-16
SRV70415,PET99321,2023-09-02 04:43:20,Ngứa dữ dội - chảy máu tai từ gãi,Nhiễm trùng vết mổ sau phẫu thuật,2023-09-17
SRV62999,PET06313,2023-03-06 06:01:39,Mắt đỏ - phù nề - khó mở mắt,Xuất huyết nội bộ - cấp cứu,2023-03-22
SRV73982,PET99648,2021-03-08 02:40:26,Lờ đờ - mất sinh lực,Bệnh đĩa đệm (bệnh IVDD),2021-03-10
SRV179838,PET107436,2023-12-15 00:43:25,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Bệnh đĩa đệm (bệnh IVDD),2023-12-26
SRV181480,PET82740,2023-08-05 05:44:08,Chảy máu cam liên tục - nước tiểu đỏ,Bệnh đĩa đệm (bệnh IVDD),2023-08-08
SRV55894,PET28829,2021-03-17 23:10:04,Liệt chi sau - không đứng được,Viêm dạ dày ruột cấp do vi khuẩn,2021-03-26
SRV128107,PET69581,2022-06-18 14:08:06,Ho kéo dài - khó thở - chảy nước mũi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-07-16
SRV165290,PET116021,2023-03-03 13:40:41,Chảy máu cam liên tục - nước tiểu đỏ,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-03-13
SRV61966,PET57335,2024-02-10 12:23:03,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2024-02-19
SRV189764,PET51066,2022-02-02 06:18:33,Bụng căng như quả bóng - đau nhiều,Viêm dạ dày ruột cấp do vi khuẩn,2022-02-08
SRV52115,PET32252,2023-11-30 01:01:35,Hôi miệng kinh khủng - nướu sưng tấy,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-12-11
SRV41224,PET105934,2021-04-27 08:31:58,Bụng căng như quả bóng - đau nhiều,Chấn thương cột sống lưng thắt lưng,2021-05-05
SRV40810,PET54521,2023-11-04 02:40:29,Ngứa dữ dội - chảy máu tai từ gãi,Suy thận cấp - cần xét nghiệm ngay,2023-12-03
SRV96953,PET32040,2021-08-20 05:17:41,Ho kéo dài - khó thở - chảy nước mũi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-09-08
SRV105190,PET83247,2024-07-19 13:46:24,Bụng căng như quả bóng - đau nhiều,Nhiễm trùng vết mổ sau phẫu thuật,2024-08-01
SRV68660,PET105526,2023-04-20 10:01:15,Mắt đỏ - phù nề - khó mở mắt,Nhiễm trùng vết mổ sau phẫu thuật,2023-05-16
SRV13117,PET05460,2024-10-18 10:09:25,Liệt chi sau - không đứng được,Xuất huyết nội bộ - cấp cứu,2024-10-27
SRV166169,PET71230,2021-07-03 14:13:18,Liệt chi sau - không đứng được,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-07-09
SRV146563,PET61127,2024-03-26 00:02:06,Ngứa dữ dội - chảy máu tai từ gãi,Suy thận cấp - cần xét nghiệm ngay,2024-04-18
SRV18880,PET04884,2024-01-02 06:30:59,Ho kéo dài - khó thở - chảy nước mũi,Viêm dạ dày ruột cấp do vi khuẩn,2024-01-11
SRV135789,PET89215,2023-10-10 13:38:13,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Thiếu máu do sốc mất máu hoặc ký sinh,2023-11-05
SRV92258,PET52536,2023-03-07 11:30:22,Ho kéo dài - khó thở - chảy nước mũi,Suy thận cấp - cần xét nghiệm ngay,2023-03-20
SRV148244,PET09824,2022-11-29 04:40:34,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Tổn thương thần kinh ngoại biên,2022-12-07
SRV171192,PET108587,2022-09-26 07:05:22,Liệt chi sau - không đứng được,Tổn thương thần kinh ngoại biên,2022-10-06
SRV159426,PET31663,2022-09-14 04:42:34,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Chấn thương cột sống lưng thắt lưng,2022-09-30
SRV110282,PET35014,2023-12-10 21:31:32,Mắt đỏ - phù nề - khó mở mắt,Viêm mống mắt - cần chỉ định nhanh,2024-01-08
SRV43804,PET111914,2023-05-13 01:31:41,Ho kéo dài - khó thở - chảy nước mũi,Viêm tụy cấp (Pancreatitis),2023-05-16
SRV3796,PET116290,2021-03-02 04:39:54,Ngứa dữ dội - chảy máu tai từ gãi,Tắc đường tiêu hóa hoặc xoắn dạ dày,2021-03-22
SRV99689,PET91859,2024-10-05 18:01:46,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm mống mắt - cần chỉ định nhanh,2024-10-07
SRV190235,PET97378,2021-05-12 17:53:20,Tê liệt mặt - miệng méo,Viêm mống mắt - cần chỉ định nhanh,2021-05-21
SRV158368,PET04647,2021-01-07 10:06:59,Tê liệt mặt - miệng méo,Suy thận cấp - cần xét nghiệm ngay,2021-01-14
SRV123644,PET60063,2024-01-05 19:37:10,Lờ đờ - mất sinh lực,Xuất huyết nội bộ - cấp cứu,2024-01-26
SRV52840,PET31526,2024-12-19 23:49:41,Ngứa dữ dội - chảy máu tai từ gãi,Chấn thương cột sống lưng thắt lưng,2024-12-30
SRV70008,PET46910,2024-01-20 04:51:39,Ngứa dữ dội - chảy máu tai từ gãi,Viêm mống mắt - cần chỉ định nhanh,2024-02-01
SRV171934,PET99945,2021-09-29 00:41:37,Mắt đỏ - phù nề - khó mở mắt,Nhiễm trùng vết mổ sau phẫu thuật,2021-09-30
SRV154965,PET19557,2024-12-14 16:04:26,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Bệnh đĩa đệm (bệnh IVDD),2024-12-29
SRV55669,PET59632,2023-12-11 08:29:26,Tê liệt mặt - miệng méo,Thiếu máu do sốc mất máu hoặc ký sinh,2023-12-12
SRV60120,PET39195,2023-11-30 19:44:48,Mắt đỏ - phù nề - khó mở mắt,Bệnh nha chu giai đoạn cuối,2023-12-07
SRV84229,PET66311,2023-11-17 22:11:28,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-11-30
SRV163091,PET86133,2022-01-11 03:00:33,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm tụy cấp (Pancreatitis),2022-02-03
SRV28211,PET99109,2021-05-10 22:59:33,Bụng căng như quả bóng - đau nhiều,Viêm mống mắt - cần chỉ định nhanh,2021-05-16
SRV71412,PET50182,2024-02-29 16:33:29,Liệt chi sau - không đứng được,Tổn thương thần kinh ngoại biên,2024-03-12
SRV2898,PET112554,2022-07-11 04:37:48,Chảy máu cam liên tục - nước tiểu đỏ,Tắc đường tiêu hóa hoặc xoắn dạ dày,2022-07-27
SRV107046,PET13786,2024-10-02 16:16:43,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Tổn thương thần kinh ngoại biên,2024-10-23
SRV86858,PET86479,2024-08-07 01:50:58,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tai ngoài do nấm Malassezia,2024-08-10
SRV65841,PET07612,2022-01-01 23:50:59,Lờ đờ - mất sinh lực,Tổn thương thần kinh ngoại biên,2022-01-10
SRV125448,PET00285,2024-04-07 03:39:14,Tê liệt mặt - miệng méo,Xuất huyết nội bộ - cấp cứu,2024-05-04
SRV153494,PET107557,2022-08-01 07:00:49,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Nhiễm trùng vết mổ sau phẫu thuật,2022-08-16
SRV54244,PET23269,2022-04-17 23:49:25,Tê liệt mặt - miệng méo,Viêm đường hô hấp cấp tính,2022-04-20
SRV35005,PET10842,2022-06-01 17:53:12,Hôi miệng kinh khủng - nướu sưng tấy,Thiếu máu do sốc mất máu hoặc ký sinh,2022-06-02
SRV38026,PET87860,2024-07-17 20:54:21,Ho kéo dài - khó thở - chảy nước mũi,Chấn thương cột sống lưng thắt lưng,2024-08-03
SRV93806,PET26374,2024-12-25 19:06:37,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Bệnh nha chu giai đoạn cuối,2025-01-09
SRV46311,PET16466,2021-09-21 18:33:26,Ngứa dữ dội - chảy máu tai từ gãi,Tổn thương thần kinh ngoại biên,2021-10-04
SRV96934,PET29204,2021-01-07 21:21:27,Liệt chi sau - không đứng được,Virus Parvovirus (parvo) - nguy hiểm,2021-02-01
SRV158808,PET36882,2021-09-19 18:41:01,Bụng căng như quả bóng - đau nhiều,Viêm tai ngoài do nấm Malassezia,2021-09-27
SRV4856,PET52162,2023-01-17 06:07:59,Chảy máu cam liên tục - nước tiểu đỏ,Bệnh đĩa đệm (bệnh IVDD),2023-02-04
SRV130960,PET33893,2023-05-03 16:18:08,Chảy máu cam liên tục - nước tiểu đỏ,Suy thận cấp - cần xét nghiệm ngay,2023-05-29
SRV184848,PET110259,2023-12-06 17:40:04,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Tổn thương thần kinh ngoại biên,2023-12-08
SRV147963,PET62083,2022-09-04 06:20:15,Liệt chi sau - không đứng được,Viêm mống mắt - cần chỉ định nhanh,2022-10-04
SRV176018,PET16334,2024-10-29 04:01:10,Ho kéo dài - khó thở - chảy nước mũi,Viêm tai ngoài do nấm Malassezia,2024-11-14
SRV149517,PET01851,2022-12-04 00:36:50,Mắt đỏ - phù nề - khó mở mắt,Virus Parvovirus (parvo) - nguy hiểm,2022-12-23
SRV110006,PET74046,2021-05-29 08:34:55,Liệt chi sau - không đứng được,Virus Parvovirus (parvo) - nguy hiểm,2021-06-16
SRV123087,PET00494,2021-12-12 14:44:39,Ho kéo dài - khó thở - chảy nước mũi,Suy thận cấp - cần xét nghiệm ngay,2022-01-10
SRV70452,PET02286,2022-12-14 03:03:40,Ngứa dữ dội - chảy máu tai từ gãi,Chấn thương cột sống lưng thắt lưng,2023-01-03
SRV19219,PET35552,2022-07-28 16:40:04,Mắt đỏ - phù nề - khó mở mắt,Virus Parvovirus (parvo) - nguy hiểm,2022-08-18
SRV70052,PET09893,2021-06-05 09:47:13,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm đường hô hấp cấp tính,2021-06-09
SRV166489,PET97094,2022-02-15 07:48:25,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Nhiễm trùng vết mổ sau phẫu thuật,2022-03-09
SRV115085,PET78446,2021-06-02 05:09:26,Hôi miệng kinh khủng - nướu sưng tấy,Chấn thương cột sống lưng thắt lưng,2021-06-30
SRV115857,PET105670,2023-12-20 04:58:53,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2024-01-16
SRV27335,PET41057,2023-08-16 09:46:32,Hôi miệng kinh khủng - nướu sưng tấy,Viêm dạ dày ruột cấp do vi khuẩn,2023-09-04
SRV199386,PET104760,2023-05-11 08:17:59,Tê liệt mặt - miệng méo,Bệnh nha chu giai đoạn cuối,2023-05-25
SRV20057,PET99332,2021-05-20 03:11:04,Mắt đỏ - phù nề - khó mở mắt,Tổn thương thần kinh ngoại biên,2021-06-08
SRV79223,PET71014,2024-03-19 05:04:41,Chảy máu cam liên tục - nước tiểu đỏ,Tổn thương thần kinh ngoại biên,2024-04-14
SRV33221,PET36753,2021-10-05 19:47:18,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Nhiễm trùng vết mổ sau phẫu thuật,2021-10-23
SRV33698,PET43515,2023-05-19 11:49:30,Mắt đỏ - phù nề - khó mở mắt,Viêm đường hô hấp cấp tính,2023-06-17
SRV131381,PET11861,2024-03-23 23:35:07,Tê liệt mặt - miệng méo,Tắc đường tiêu hóa hoặc xoắn dạ dày,2024-03-31
SRV59678,PET09727,2023-12-13 09:21:27,Chảy máu cam liên tục - nước tiểu đỏ,Nhiễm trùng vết mổ sau phẫu thuật,2023-12-19
SRV195670,PET73290,2022-09-09 14:28:33,Liệt chi sau - không đứng được,Suy thận cấp - cần xét nghiệm ngay,2022-09-18
SRV144252,PET12682,2024-05-14 18:06:54,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm dạ dày ruột cấp do vi khuẩn,2024-06-06
SRV72538,PET50271,2022-09-19 14:30:03,Liệt chi sau - không đứng được,Bệnh đĩa đệm (bệnh IVDD),2022-09-24
SRV102054,PET83812,2023-11-14 04:19:31,Tê liệt mặt - miệng méo,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-12-05
SRV67082,PET96815,2024-04-13 04:12:58,Chảy máu cam liên tục - nước tiểu đỏ,Viêm đường hô hấp cấp tính,2024-04-14
SRV151563,PET37054,2024-12-26 12:50:06,Chảy máu cam liên tục - nước tiểu đỏ,Chấn thương cột sống lưng thắt lưng,2025-01-23
SRV98477,PET103629,2024-01-25 06:26:26,Tê liệt mặt - miệng méo,Viêm mống mắt - cần chỉ định nhanh,2024-02-03
SRV194580,PET34638,2022-12-14 08:43:43,Hôi miệng kinh khủng - nướu sưng tấy,Viêm đường hô hấp cấp tính,2022-12-29
SRV137131,PET106387,2022-10-14 10:24:16,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Thiếu máu do sốc mất máu hoặc ký sinh,2022-11-06
SRV170032,PET43232,2024-04-27 20:23:52,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Thiếu máu do sốc mất máu hoặc ký sinh,2024-05-02
SRV4493,PET94636,2024-03-13 20:36:16,Tê liệt mặt - miệng méo,Xuất huyết nội bộ - cấp cứu,2024-03-18
SRV27229,PET98095,2022-03-29 05:27:16,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Viêm tai ngoài do nấm Malassezia,2022-04-10
SRV63737,PET61276,2022-10-11 00:59:27,Tê liệt mặt - miệng méo,Viêm dạ dày ruột cấp do vi khuẩn,2022-10-25
SRV68223,PET116712,2021-06-17 15:03:25,Tê liệt mặt - miệng méo,Viêm tụy cấp (Pancreatitis),2021-06-21
SRV133801,PET35635,2023-09-22 22:48:48,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Tắc đường tiêu hóa hoặc xoắn dạ dày,2023-09-29
SRV87069,PET105094,2022-07-03 10:37:53,Liệt chi sau - không đứng được,Bệnh nha chu giai đoạn cuối,2022-07-14
SRV57154,PET115549,2022-04-14 19:27:14,Chảy máu cam liên tục - nước tiểu đỏ,Xuất huyết nội bộ - cấp cứu,2022-04-15
SRV37842,PET110876,2021-11-28 01:27:09,Ho kéo dài - khó thở - chảy nước mũi,Thiếu máu do sốc mất máu hoặc ký sinh,2021-12-11
SRV138302,PET04749,2021-09-18 08:23:00,Tê liệt mặt - miệng méo,Viêm tụy cấp (Pancreatitis),2021-10-12
SRV153654,PET07018,2021-03-04 19:59:22,Bụng căng như quả bóng - đau nhiều,Chấn thương cột sống lưng thắt lưng,2021-03-27
SRV57273,PET35275,2024-09-11 18:48:18,Ngứa dữ dội - chảy máu tai từ gãi,Virus Parvovirus (parvo) - nguy hiểm,2024-10-11
SRV133079,PET115102,2024-09-21 02:18:58,Vết mổ sưng - chảy máu - sốc nhiễm trùng,Viêm dạ dày ruột cấp do vi khuẩn,2024-09-23
SRV66611,PET47095,2024-08-12 22:33:56,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm mống mắt - cần chỉ định nhanh,2024-08-14
SRV158245,PET89193,2024-02-15 00:06:40,Bụng căng như quả bóng - đau nhiều,Viêm tai ngoài do nấm Malassezia,2024-02-16
SRV89751,PET119219,2021-08-17 22:33:05,Mắt đỏ - phù nề - khó mở mắt,Suy thận cấp - cần xét nghiệm ngay,2021-09-10
SRV11799,PET107805,2021-10-14 22:14:20,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh nha chu giai đoạn cuối,2021-10-19
SRV108425,PET91685,2023-10-09 02:01:34,Ngứa dữ dội - chảy máu tai từ gãi,Tổn thương thần kinh ngoại biên,2023-10-21
SRV158744,PET74817,2023-02-23 04:47:55,Liệt chi sau - không đứng được,Nhiễm trùng vết mổ sau phẫu thuật,2023-03-04
SRV57608,PET19708,2023-01-12 15:04:42,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh đĩa đệm (bệnh IVDD),2023-01-21
SRV46732,PET70689,2023-10-19 17:04:59,Bụng căng như quả bóng - đau nhiều,Chấn thương cột sống lưng thắt lưng,2023-10-24
SRV117069,PET111173,2021-07-02 15:02:05,Tê liệt mặt - miệng méo,Thiếu máu do sốc mất máu hoặc ký sinh,2021-07-14
SRV185346,PET97222,2023-06-10 05:48:05,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Chấn thương cột sống lưng thắt lưng,2023-07-04
SRV66644,PET73127,2024-11-08 12:43:37,Lờ đờ - mất sinh lực,Viêm tai ngoài do nấm Malassezia,2024-11-23
SRV142167,PET100768,2023-12-09 15:01:47,Liệt chi sau - không đứng được,Viêm tai ngoài do nấm Malassezia,2024-01-07
SRV57590,PET106137,2022-08-02 06:51:10,Tiêu chảy nặng - nôn - bỏ ăn hoàn toàn,Tổn thương thần kinh ngoại biên,2022-08-17
SRV143231,PET71395,2023-05-01 15:25:01,Sốt cao (38-39°C) - bỏ ăn - mệt mỏi,Viêm dạ dày ruột cấp do vi khuẩn,2023-05-22
SRV99347,PET103850,2022-12-26 17:03:40,Ngứa dữ dội - chảy máu tai từ gãi,Nhiễm trùng vết mổ sau phẫu thuật,2023-01-18
SRV35089,PET80760,2024-08-07 22:08:37,Lờ đờ - mất sinh lực,Viêm đường hô hấp cấp tính,2024-08-09
SRV181297,PET20608,2023-02-27 07:41:43,Hôi miệng kinh khủng - nướu sưng tấy,Bệnh đĩa đệm (bệnh IVDD),2023-03-24
SRV72809,PET11472,2023-11-26 02:50:59,Mắt đỏ - phù nề - khó mở mắt,Viêm tai ngoài do nấm Malassezia,2023-12-02
SRV36349,PET17760,2021-02-01 19:15:12,Ngứa dữ dội - chảy máu tai từ gãi,Xuất huyết nội bộ - cấp cứu,2021-02-27
SRV110552,PET107318,2022-12-05 07:13:18,Ho kéo dài - khó thở - chảy nước mũi,Tổn thương thần kinh ngoại biên,2022-12-20
SRV118849,PET111640,2023-03-30 00:16:00,Liệt chi sau - không đứng được,Viêm đường hô hấp cấp tính,2023-04-26
SRV3846,PET33040,2023-08-18 18:48:29,Ho kéo dài - khó thở - chảy nước mũi,Nhiễm trùng vết mổ sau phẫu thuật,2023-08-23
SRV116777,PET33725,2021-02-04 20:53:14,Ngứa dữ dội - chảy máu tai từ gãi,Viêm tai ngoài do nấm Malassezia,2021-02-19
SRV180109,PET84195,2024-08-28 21:59:08,Tê liệt mặt - miệng méo,Suy thận cấp - cần xét nghiệm ngay,2024-09-16
