ServiceID,ServiceName,ServiceDescription,DID
SRV0020,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0098
SRV0021,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0011
SRV0022,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0065
SRV0023,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0106
SRV0024,Siêu âm chẩn đoán,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0098
SRV0025,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0075
SRV0026,Phẫu thuật nội soi,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0090
SRV0027,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0082
SRV0028,Xét nghiệm máu,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0109
SRV0029,Tiêm phòng cho thỏ,Tiêm vắc - xin phòng bệnh theo lịch,E0023
SRV0030,Siêu âm chẩn đoán,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0006
SRV0031,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0038
SRV0032,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0097
SRV0033,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0031
SRV0034,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0102
SRV0035,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0070
SRV0036,Phẫu thuật nha khoa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0091
SRV0037,Khám sau phẫu thuật,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0107
SRV0038,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0094
SRV0039,Phẫu thuật xương khớp,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0065
SRV0040,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0056
SRV0041,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0089
SRV0042,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0061
SRV0043,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0028
SRV0044,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0064
SRV0045,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0089
SRV0046,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0013
SRV0047,Khám sau phẫu thuật,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0076
SRV0048,Khám thai cho thú cưng,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0048
SRV0049,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0080
SRV0050,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0045
SRV0051,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0082
SRV0052,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0004
SRV0053,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0007
SRV0054,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0078
SRV0055,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0106
SRV0056,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0057
SRV0057,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0113
SRV0058,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0082
SRV0059,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0013
SRV0060,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0001
SRV0061,Phẫu thuật nha khoa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0031
SRV0062,Khám nội khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0027
SRV0063,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0051
SRV0064,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0075
SRV0065,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0058
SRV0066,Phẫu thuật triệt sản cái,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0062
SRV0067,Phẫu thuật tai,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0020
SRV0068,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0095
SRV0069,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0032
SRV0070,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0006
SRV0071,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0058
SRV0072,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0043
SRV0073,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0023
SRV0074,Phẫu thuật triệt sản cái,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0030
SRV0075,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0053
SRV0076,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0107
SRV0077,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0107
SRV0078,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0042
SRV0079,Tiêm vắc-xin phòng dại,Tiêm vắc - xin phòng bệnh theo lịch,E0074
SRV0080,Tiêm vắc-xin Parvo,Tiêm vắc - xin phòng bệnh theo lịch,E0017
SRV0081,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0003
SRV0082,Phẫu thuật mắt,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0043
SRV0083,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0116
SRV0084,Xét nghiệm máu,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0014
SRV0085,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0089
SRV0086,Khám xương khớp,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0038
SRV0087,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0067
SRV0088,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0003
SRV0089,Khám xương khớp,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0063
SRV0090,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0047
SRV0091,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0005
SRV0092,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0006
SRV0093,Phẫu thuật cắt bỏ u,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0055
SRV0094,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0097
SRV0095,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0109
SRV0096,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0071
SRV0097,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0042
SRV0098,Khám thai cho thú cưng,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0071
SRV0099,Phẫu thuật mắt,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0040
SRV0100,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0034
SRV0101,Phẫu thuật mắt,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0019
SRV0102,Xét nghiệm máu,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0093
SRV0103,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0112
SRV0104,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0070
SRV0105,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0034
SRV0106,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0086
SRV0107,Phẫu thuật cắt bỏ u,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0061
SRV0108,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0060
SRV0109,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0111
SRV0110,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0082
SRV0111,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0003
SRV0112,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0100
SRV0113,Khám mắt thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0073
SRV0114,Phẫu thuật tiêu hóa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0104
SRV0115,Phẫu thuật xương khớp,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0010
SRV0116,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0101
SRV0117,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0098
SRV0118,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0042
SRV0119,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0019
SRV0120,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0045
SRV0121,Khám nội khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0022
SRV0122,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0095
SRV0123,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0031
SRV0124,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0052
SRV0125,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0077
SRV0126,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0028
SRV0127,Tiêm vắc-xin phòng dại,Tiêm vắc - xin phòng bệnh theo lịch,E0035
SRV0128,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0055
SRV0129,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0111
SRV0130,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0112
SRV0131,Khám nha khoa thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0026
SRV0132,Phẫu thuật tiêu hóa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0110
SRV0133,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0050
SRV0134,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0102
SRV0135,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0016
SRV0136,Tiêm phòng cho thỏ,Tiêm vắc - xin phòng bệnh theo lịch,E0112
SRV0137,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0011
SRV0138,Khám nội khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0098
SRV0139,Tiêm phòng cho thỏ,Tiêm vắc - xin phòng bệnh theo lịch,E0062
SRV0140,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0112
SRV0141,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0069
SRV0142,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0102
SRV0143,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0093
SRV0144,Khám tổng quát cơ bản,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0046
SRV0145,Phẫu thuật mắt,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0070
SRV0146,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0046
SRV0147,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0066
SRV0148,Phẫu thuật nội soi,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0062
SRV0149,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0096
SRV0150,Tiêm phòng cho thỏ,Tiêm vắc - xin phòng bệnh theo lịch,E0048
SRV0151,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0067
SRV0152,Phẫu thuật triệt sản cái,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0025
SRV0153,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0102
SRV0154,Khám sau phẫu thuật,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0013
SRV0155,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0049
SRV0156,Khám mắt thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0043
SRV0157,Phẫu thuật cắt bỏ u,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0045
SRV0158,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0008
SRV0159,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0093
SRV0160,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0029
SRV0161,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0039
SRV0162,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0097
SRV0163,Phẫu thuật triệt sản cái,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0009
SRV0164,Siêu âm chẩn đoán,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0106
SRV0165,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0062
SRV0166,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0081
SRV0167,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0088
SRV0168,Tiêm vắc-xin 5 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0009
SRV0169,Khám nội khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0105
SRV0170,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0094
SRV0171,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0103
SRV0172,Phẫu thuật tiêu hóa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0014
SRV0173,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0062
SRV0174,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0106
SRV0175,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0090
SRV0176,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0072
SRV0177,Khám tổng quát cơ bản,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0001
SRV0178,Khám xương khớp,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0047
SRV0179,Phẫu thuật chỉnh hình,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0114
SRV0180,Khám nội khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0019
SRV0181,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0036
SRV0182,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0082
SRV0183,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0053
SRV0184,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0050
SRV0185,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0010
SRV0186,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0099
SRV0187,Phẫu thuật tiêu hóa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0036
SRV0188,Phẫu thuật triệt sản cái,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0090
SRV0189,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0100
SRV0190,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0032
SRV0191,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0091
SRV0192,Tiêm vắc-xin Leukemia mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0038
SRV0193,Phẫu thuật nha khoa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0002
SRV0194,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0050
SRV0195,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0080
SRV0196,Phẫu thuật nội soi,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0092
SRV0197,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0115
SRV0198,Khám nha khoa thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0040
SRV0199,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0020
SRV0200,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0072
SRV0201,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0115
SRV0202,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0042
SRV0203,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0010
SRV0204,Tiêm vắc-xin 4 bệnh mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0112
SRV0205,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0109
SRV0206,Chụp X-quang,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0057
SRV0207,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0049
SRV0208,Khám chẩn đoán bệnh,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0069
SRV0209,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0027
SRV0210,Khám tim mạch,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0082
SRV0211,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0062
SRV0212,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0051
SRV0213,Siêu âm chẩn đoán,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0093
SRV0214,Khám ngoại khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0056
SRV0215,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0089
SRV0216,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0093
SRV0217,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0030
SRV0218,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0102
SRV0219,Tiêm vắc-xin Care,Tiêm vắc - xin phòng bệnh theo lịch,E0082
SRV0220,Gói tiêm phòng đầy đủ cho mèo,Gói tiêm phòng đầy đủ với ưu đãi,E0069
SRV0221,Khám tim mạch,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0099
SRV0222,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0089
SRV0223,Khám thai cho thú cưng,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0063
SRV0224,Phẫu thuật mắt,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0007
SRV0225,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0025
SRV0226,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0072
SRV0227,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0080
SRV0228,Phẫu thuật cấp cứu,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0041
SRV0229,Khám da liễu thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0118
SRV0230,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0070
SRV0231,Khám tổng quát cơ bản,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0031
SRV0232,Tiêm vắc-xin FIP mèo,Tiêm vắc - xin phòng bệnh theo lịch,E0045
SRV0233,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0001
SRV0234,Tiêm vắc-xin Parvo,Tiêm vắc - xin phòng bệnh theo lịch,E0105
SRV0235,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0022
SRV0236,Tiêm vắc-xin phòng dại,Tiêm vắc - xin phòng bệnh theo lịch,E0032
SRV0237,Tiêm vắc-xin Parvo,Tiêm vắc - xin phòng bệnh theo lịch,E0054
SRV0238,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0044
SRV0239,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0015
SRV0240,Khám sau phẫu thuật,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0011
SRV0241,Khám mắt thú y,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0095
SRV0242,Tiêm vắc-xin phòng dại,Tiêm vắc - xin phòng bệnh theo lịch,E0041
SRV0243,Phẫu thuật xương khớp,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0018
SRV0244,Phẫu thuật tai,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0022
SRV0245,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0110
SRV0246,Phẫu thuật mổ đẻ,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0053
SRV0247,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0096
SRV0248,Khám sàng lọc định kỳ,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0100
SRV0249,Tiêm nhắc lại hàng năm,Tiêm vắc - xin phòng bệnh theo lịch,E0039
SRV0250,Phẫu thuật tiêu hóa,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0005
SRV0251,Gói tiêm phòng hàng năm,Gói tiêm phòng đầy đủ với ưu đãi,E0057
SRV0252,Tiêm vắc-xin 7 bệnh chó,Tiêm vắc - xin phòng bệnh theo lịch,E0025
SRV0253,Gói tiêm phòng đầy đủ cho chó,Gói tiêm phòng đầy đủ với ưu đãi,E0041
SRV0254,Gói tiêm phòng cho mèo con,Gói tiêm phòng đầy đủ với ưu đãi,E0077
SRV0255,Phẫu thuật cắt bỏ u,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0008
SRV0256,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0021
SRV0257,Phẫu thuật triệt sản đực,Phẫu thuật chuyên khoa với trang thiết bị hiện đại,E0037
SRV0258,Gói tiêm phòng nâng cao Premium,Gói tiêm phòng đầy đủ với ưu đãi,E0114
SRV0259,Khám ngoại khoa,Khám sức khỏe tổng thể - kiểm tra thể trạng thú cưng,E0040
SRV0260,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0028
SRV0261,Gói tiêm phòng cơ bản cho chó con,Gói tiêm phòng đầy đủ với ưu đãi,E0016
