VaccineID,VaccineName,ExpiryDate,ProductionDate,VaccineType,Manufacturer,SideEffects
VAC0052,Bordetella,2022-11-06,2021-05-30,Hỗn hợp,Pfizer,Sốt cao - mất ăn trong vài ngày
VAC0053,Feline Calicivirus,2025-01-14,2023-04-05,Vi khuẩn,Elanco,Phát ban nhẹ tại vị trí tiêm
VAC0054,FELV (Feline Leukemia Virus),2022-09-19,2020-06-14,Recombinant,MSD,Sốt cao - mất ăn trong vài ngày
VAC0055,Bordetella,2024-04-26,2022-07-24,Vi khuẩn,Boehringer Ingelheim,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0056,Rabies,2023-04-15,2021-12-05,Virus,Boehringer Ingelheim,Sưng hạch bạch huyết tạm thời
VAC0057,DHP(Distemper - Hepatitis- Parvovirus),2023-09-07,2021-10-21,Live attenuated,MSD,Sưng hạch bạch huyết tạm thời
VAC0058,FIP (Feline Infectious Peritonitis),2022-01-02,2021-04-18,Live attenuated,Boehringer Ingelheim,Không có tác dụng phụ đáng kể
VAC0059,Leptospirosis,2024-02-27,2022-03-07,Recombinant,Elanco,Sưng hạch bạch huyết tạm thời
VAC0060,Chlamydia,2023-07-15,2022-05-17,Hỗn hợp,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0061,Bordetella,2022-03-29,2020-02-19,Virus,Merck,Sốt cao - mất ăn trong vài ngày
VAC0062,Rabies,2023-10-20,2022-05-03,Recombinant,Pfizer,Sốt nhẹ - sưng vùng tiêm
VAC0063,Leptospirosis,2022-01-31,2021-02-17,Hỗn hợp,Boehringer Ingelheim,Sưng hạch bạch huyết tạm thời
VAC0064,Bordetella,2021-03-21,2020-02-11,Recombinant,MSD,Sốt nhẹ - sưng vùng tiêm
VAC0065,Feline Calicivirus,2022-06-26,2020-11-16,Recombinant,Ceva,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0066,Feline Panleukopenia,2022-06-19,2020-09-16,Vi khuẩn,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0067,DHP(Distemper - Hepatitis- Parvovirus),2024-09-29,2023-08-20,Live attenuated,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0068,Chlamydia,2025-08-22,2023-09-09,Virus,Zoetis,Sưng hạch bạch huyết tạm thời
VAC0069,Giardia Vaccine,2022-06-02,2020-02-13,Virus,Elanco,Sưng hạch bạch huyết tạm thời
VAC0070,DHP(Distemper - Hepatitis- Parvovirus),2021-08-25,2021-02-03,Recombinant,Zoetis,Phản ứng dị ứng nặng (rất hiếm)
VAC0071,Feline Calicivirus,2024-05-10,2023-11-05,Live attenuated,Merck,Sốt cao - mất ăn trong vài ngày
VAC0072,Feline Calicivirus,2025-04-06,2023-03-08,Hỗn hợp,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0073,FELV (Feline Leukemia Virus),2023-06-21,2022-07-26,Recombinant,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0074,Leptospirosis,2021-06-17,2020-02-18,Hỗn hợp,Ceva,Phản ứng dị ứng nặng (rất hiếm)
VAC0075,DHP(Distemper - Hepatitis- Parvovirus),2025-10-07,2023-12-10,Virus,Merck,Không có tác dụng phụ đáng kể
VAC0076,Chlamydia,2022-03-21,2020-12-12,Live attenuated,Pfizer,Phản ứng dị ứng nặng (rất hiếm)
VAC0077,DHP(Distemper - Hepatitis- Parvovirus),2025-04-03,2023-12-22,Recombinant,MSD,Phát ban nhẹ tại vị trí tiêm
VAC0078,Feline Leukemia,2023-10-10,2022-12-20,Live attenuated,Ceva,Phát ban nhẹ tại vị trí tiêm
VAC0079,FIP (Feline Infectious Peritonitis),2023-11-24,2021-11-19,Hỗn hợp,MSD,Sốt cao - mất ăn trong vài ngày
VAC0080,Feline Leukemia,2023-01-16,2022-07-13,Vi khuẩn,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0081,FIP (Feline Infectious Peritonitis),2023-11-25,2021-06-19,Recombinant,Boehringer Ingelheim,Phát ban nhẹ tại vị trí tiêm
VAC0082,Chlamydia,2023-05-28,2022-06-15,Vi khuẩn,Merck,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0083,Chlamydia,2022-01-31,2020-07-03,Vi khuẩn,Elanco,Sưng hạch bạch huyết tạm thời
VAC0084,Rabies,2023-09-13,2023-01-30,Virus,Ceva,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0085,FIP (Feline Infectious Peritonitis),2022-07-03,2021-10-27,Vi khuẩn,Elanco,Không có tác dụng phụ đáng kể
VAC0086,Leptospirosis,2021-02-10,2020-05-03,Live attenuated,Boehringer Ingelheim,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0087,DHP(Distemper - Hepatitis- Parvovirus),2022-08-02,2021-12-04,Recombinant,Boehringer Ingelheim,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0088,Chlamydia,2023-08-08,2021-08-25,Recombinant,Pfizer,Sốt nhẹ - sưng vùng tiêm
VAC0089,Rabies,2026-04-16,2023-11-26,Live attenuated,Merck,Sốt nhẹ - sưng vùng tiêm
VAC0090,Feline Panleukopenia,2022-03-08,2020-12-27,Live attenuated,Virbac,Sốt nhẹ - sưng vùng tiêm
VAC0091,Bordetella,2025-12-27,2023-07-16,Vi khuẩn,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0092,FELV (Feline Leukemia Virus),2022-05-25,2021-02-25,Live attenuated,Virbac,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0093,FELV (Feline Leukemia Virus),2024-05-04,2022-10-08,Hỗn hợp,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0094,FIP (Feline Infectious Peritonitis),2022-10-07,2020-11-12,Recombinant,MSD,Phát ban nhẹ tại vị trí tiêm
VAC0095,Rabies,2023-04-22,2022-05-21,Recombinant,Virbac,Phát ban nhẹ tại vị trí tiêm
VAC0096,Feline Panleukopenia,2024-09-26,2022-07-04,Live attenuated,MSD,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0097,Rabies,2021-10-29,2021-01-09,Recombinant,Elanco,Sưng hạch bạch huyết tạm thời
VAC0098,Feline Panleukopenia,2023-08-14,2022-04-18,Vi khuẩn,Ceva,Sưng hạch bạch huyết tạm thời
VAC0099,Feline Leukemia,2022-04-23,2020-02-23,Hỗn hợp,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0100,FIP (Feline Infectious Peritonitis),2024-09-06,2022-05-07,Virus,Zoetis,Sưng hạch bạch huyết tạm thời
VAC0101,Rabies,2023-12-31,2022-10-06,Recombinant,Ceva,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0102,Giardia Vaccine,2022-05-28,2020-03-01,Vi khuẩn,Zoetis,Phản ứng dị ứng nặng (rất hiếm)
VAC0103,Leptospirosis,2021-12-12,2020-08-29,Hỗn hợp,MSD,Phát ban nhẹ tại vị trí tiêm
VAC0104,Feline Leukemia,2024-11-19,2023-12-01,Live attenuated,Merck,Không có tác dụng phụ đáng kể
VAC0105,FELV (Feline Leukemia Virus),2025-01-05,2023-09-16,Recombinant,MSD,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0106,DHP(Distemper - Hepatitis- Parvovirus),2025-06-30,2023-04-24,Live attenuated,Elanco,Không có tác dụng phụ đáng kể
VAC0107,Feline Leukemia,2022-12-08,2022-04-08,Vi khuẩn,Virbac,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0108,Feline Calicivirus,2023-09-29,2022-08-09,Recombinant,Elanco,Sốt nhẹ - sưng vùng tiêm
VAC0109,Rabies,2025-01-20,2023-10-06,Live attenuated,Elanco,Sốt cao - mất ăn trong vài ngày
VAC0110,Feline Leukemia,2021-07-14,2020-03-26,Virus,Virbac,Phản ứng dị ứng nặng (rất hiếm)
VAC0111,Leptospirosis,2024-06-11,2022-08-13,Hỗn hợp,Zoetis,Sốt nhẹ - sưng vùng tiêm
VAC0112,Feline Herpesvirus,2025-09-05,2023-10-18,Virus,Boehringer Ingelheim,Sưng hạch bạch huyết tạm thời
VAC0113,FELV (Feline Leukemia Virus),2022-01-24,2020-12-13,Virus,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0114,Giardia Vaccine,2023-04-14,2022-07-10,Hỗn hợp,Zoetis,Mệt mỏi - quanh quẩn trong 24 giờ
VAC0115,Chlamydia,2021-09-07,2021-02-26,Virus,MSD,Sốt nhẹ - sưng vùng tiêm
VAC0116,FELV (Feline Leukemia Virus),2022-03-17,2020-09-28,Recombinant,Elanco,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0117,Feline Panleukopenia,2021-05-05,2020-09-11,Virus,Elanco,Phản ứng dị ứng nặng (rất hiếm)
VAC0118,Feline Herpesvirus,2026-01-25,2023-10-29,Hỗn hợp,Merck,Sưng hạch bạch huyết tạm thời
VAC0119,Rabies,2022-06-09,2021-05-31,Hỗn hợp,Pfizer,Sưng hạch bạch huyết tạm thời
VAC0120,FIP (Feline Infectious Peritonitis),2022-11-27,2022-05-07,Vi khuẩn,Elanco,Sưng hạch bạch huyết tạm thời
