DrugID,DrugName,DrugType
DRG0107,Oxytetracycline,Kháng sinh
DRG0108,Methylprednisolone,Chống viêm
DRG0109,Vitamin E,Vitamin
DRG0110,Vitamin A+D,Vitamin
DRG0111,Propranolol,Tim mạch
DRG0112,Carprofen,Giảm đau
DRG0113,Dipyrone,Giảm đau
DRG0114,Digoxin,Tim mạch
DRG0115,Amoxicillin,Kháng sinh
DRG0116,Omeprazole,Tiêu hoá
DRG0117,Amoxicillin,Kháng sinh
DRG0118,Meloxicam,Giảm đau
DRG0119,Metoclopramide,Tiêu hoá
DRG0120,Oxytetracycline,Kháng sinh
DRG0121,Omeprazole,Tiêu hoá
DRG0122,Prednisone,Chống viêm
DRG0123,Loperamide,Tiêu hoá
DRG0124,Digoxin,Tim mạch
DRG0125,Ketamine,Thần kinh
DRG0126,Theophylline,Hô hấp
DRG0127,Carprofen,Giảm đau
DRG0128,Trimethoprim,Kháng sinh
DRG0129,Gentamycin,Kháng sinh
DRG0130,Diazepam,Thần kinh
DRG0131,Phenobarbital,Thần kinh
DRG0132,Bromhexine,Hô hấp
DRG0133,Taurine,Vitamin
DRG0134,Doxapram,Hô hấp
DRG0135,Vitamin A+D,Vitamin
DRG0136,Vitamin A+D,Vitamin
DRG0137,Dipyrone,Giảm đau
DRG0138,Dipyrone,Giảm đau
DRG0139,Betamethasone,Chống viêm
DRG0140,Enrofloxacin,Kháng sinh
DRG0141,Vitamin A+D,Vitamin
DRG0142,Salbutamol,Hô hấp
DRG0143,Ketamine,Thần kinh
DRG0144,Ranitidine,Tiêu hoá
DRG0145,Phenylbutazone,Giảm đau
DRG0146,Meloxicam,Giảm đau
DRG0147,Ranitidine,Tiêu hoá
DRG0148,Amoxicillin,Kháng sinh
DRG0149,Betamethasone,Chống viêm
DRG0150,Captopril,Tim mạch
DRG0151,Trimethoprim,Kháng sinh
DRG0152,Ranitidine,Tiêu hoá
DRG0153,Phenylbutazone,Giảm đau
DRG0154,Bisacodyl,Tiêu hoá
DRG0155,Furosemide,Tim mạch
DRG0156,Vitamin C,Vitamin
DRG0157,Midazolam,Thần kinh
DRG0158,Vitamin E,Vitamin
DRG0159,Vitamin C,Vitamin
DRG0160,Carprofen,Giảm đau
DRG0161,Bisacodyl,Tiêu hoá
DRG0162,Prednisone,Chống viêm
DRG0163,Captopril,Tim mạch
DRG0164,Salbutamol,Hô hấp
DRG0165,Salbutamol,Hô hấp
DRG0166,Paracetamol,Giảm đau
DRG0167,Salbutamol,Hô hấp
DRG0168,Meloxicam,Giảm đau
DRG0169,Dipyrone,Giảm đau
DRG0170,Hydrocortisone,Chống viêm
DRG0171,Dexamethasone,Chống viêm
DRG0172,Gentamycin,Kháng sinh
DRG0173,Vitamin E,Vitamin
DRG0174,Spironolactone,Tim mạch
DRG0175,Theophylline,Hô hấp
DRG0176,Meloxicam,Giảm đau
DRG0177,Propofol,Thần kinh
DRG0178,Methylprednisolone,Chống viêm
DRG0179,Phenobarbital,Thần kinh
DRG0180,Phenobarbital,Thần kinh
DRG0181,Metoclopramide,Tiêu hoá
DRG0182,Salbutamol,Hô hấp
DRG0183,Trimethoprim,Kháng sinh
DRG0184,Vitamin B Complex,Vitamin
DRG0185,Vitamin B Complex,Vitamin
DRG0186,Trimethoprim,Kháng sinh
DRG0187,Prednisone,Chống viêm
DRG0188,Trimethoprim,Kháng sinh
DRG0189,Phenobarbital,Thần kinh
DRG0190,Vitamin C,Vitamin
DRG0191,Diazepam,Thần kinh
DRG0192,Bromhexine,Hô hấp
DRG0193,Theophylline,Hô hấp
DRG0194,Metoclopramide,Tiêu hoá
DRG0195,Metoclopramide,Tiêu hoá
DRG0196,Trimethoprim,Kháng sinh
DRG0197,Gentamycin,Kháng sinh
DRG0198,Furosemide,Tim mạch
DRG0199,Furosemide,Tim mạch
DRG0200,Amoxicillin,Kháng sinh
DRG0201,Trimethoprim,Kháng sinh
DRG0202,Dexamethasone,Chống viêm
DRG0203,Oxytetracycline,Kháng sinh
DRG0204,Gentamycin,Kháng sinh
DRG0205,Vitamin A+D,Vitamin
DRG0206,Spironolactone,Tim mạch
DRG0207,Ranitidine,Tiêu hoá
DRG0208,Diazepam,Thần kinh
DRG0209,Paracetamol,Giảm đau
DRG0210,Hydrocortisone,Chống viêm
DRG0211,Gentamycin,Kháng sinh
DRG0212,Enrofloxacin,Kháng sinh
DRG0213,Doxapram,Hô hấp
DRG0214,Midazolam,Thần kinh
DRG0215,Codeine,Hô hấp
DRG0216,Doxapram,Hô hấp
DRG0217,Theophylline,Hô hấp
DRG0218,Codeine,Hô hấp
DRG0219,Methylprednisolone,Chống viêm
DRG0220,Carprofen,Giảm đau
DRG0221,Vitamin C,Vitamin
DRG0222,Vitamin C,Vitamin
DRG0223,Paracetamol,Giảm đau
DRG0224,Salbutamol,Hô hấp
DRG0225,Furosemide,Tim mạch
DRG0226,Codeine,Hô hấp
DRG0227,Amoxicillin,Kháng sinh
DRG0228,Spironolactone,Tim mạch
DRG0229,Captopril,Tim mạch
DRG0230,Vitamin A+D,Vitamin
DRG0231,Salbutamol,Hô hấp
DRG0232,Ranitidine,Tiêu hoá
DRG0233,Dipyrone,Giảm đau
DRG0234,Bisacodyl,Tiêu hoá
DRG0235,Salbutamol,Hô hấp
DRG0236,Digoxin,Tim mạch
DRG0237,Vitamin C,Vitamin
DRG0238,Ketamine,Thần kinh
DRG0239,Doxapram,Hô hấp
DRG0240,Vitamin A+D,Vitamin
DRG0241,Enrofloxacin,Kháng sinh
DRG0242,Theophylline,Hô hấp
DRG0243,Captopril,Tim mạch
DRG0244,Gentamycin,Kháng sinh
DRG0245,Ranitidine,Tiêu hoá
DRG0246,Furosemide,Tim mạch
DRG0247,Diazepam,Thần kinh
DRG0248,Hydrocortisone,Chống viêm
DRG0249,Ranitidine,Tiêu hoá
DRG0250,Bisacodyl,Tiêu hoá
DRG0251,Salbutamol,Hô hấp
DRG0252,Theophylline,Hô hấp
DRG0253,Loperamide,Tiêu hoá
DRG0254,Dipyrone,Giảm đau
DRG0255,Carprofen,Giảm đau
DRG0256,Gentamycin,Kháng sinh
DRG0257,Ketamine,Thần kinh
DRG0258,Oxytetracycline,Kháng sinh
DRG0259,Phenobarbital,Thần kinh
DRG0260,Propofol,Thần kinh
DRG0261,Codeine,Hô hấp
DRG0262,Diazepam,Thần kinh
DRG0263,Theophylline,Hô hấp
DRG0264,Dexamethasone,Chống viêm
DRG0265,Midazolam,Thần kinh
DRG0266,Vitamin B Complex,Vitamin
DRG0267,Bromhexine,Hô hấp
DRG0268,Methylprednisolone,Chống viêm
DRG0269,Meloxicam,Giảm đau
DRG0270,Doxapram,Hô hấp
DRG0271,Dipyrone,Giảm đau
DRG0272,Bromhexine,Hô hấp
DRG0273,Prednisone,Chống viêm
DRG0274,Paracetamol,Giảm đau
DRG0275,Hydrocortisone,Chống viêm
DRG0276,Paracetamol,Giảm đau
DRG0277,Meloxicam,Giảm đau
DRG0278,Trimethoprim,Kháng sinh
DRG0279,Betamethasone,Chống viêm
DRG0280,Betamethasone,Chống viêm
DRG0281,Oxytetracycline,Kháng sinh
DRG0282,Codeine,Hô hấp
DRG0283,Hydrocortisone,Chống viêm
DRG0284,Bromhexine,Hô hấp
DRG0285,Dexamethasone,Chống viêm
DRG0286,Salbutamol,Hô hấp
DRG0287,Vitamin C,Vitamin
DRG0288,Phenobarbital,Thần kinh
DRG0289,Hydrocortisone,Chống viêm
DRG0290,Dipyrone,Giảm đau
DRG0291,Dipyrone,Giảm đau
DRG0292,Codeine,Hô hấp
DRG0293,Betamethasone,Chống viêm
DRG0294,Vitamin E,Vitamin
DRG0295,Hydrocortisone,Chống viêm
DRG0296,Taurine,Vitamin
DRG0297,Codeine,Hô hấp
DRG0298,Dipyrone,Giảm đau
DRG0299,Phenobarbital,Thần kinh
DRG0300,Dexamethasone,Chống viêm
