InvoiceID,OrderID,OrderServiceID,CustomerID,CID,CardID,CreatedDate,CreatedTime,TotalPrice,PaymentMoney,PaymentTypeID
INV000047,ORD035313,ORS088819,CUS48958,E0474,CARD48296,2024-04-01,18:00:00,1599463,1599463,PM01
INV000048,ORD002427,ORS068963,CUS34584,E0289,CARD14051,2022-06-23,11:00:00,980551,980551,PM04
INV000049,ORD044836,ORS075456,CUS13020,E0429,CARD41398,2023-04-25,11:00:00,657619,657619,PM03
INV000050,ORD029470,ORS017934,CUS31557,E0369,CARD01988,2023-05-07,14:00:00,1634973,1634973,PM04
INV000051,ORD042515,ORS021109,CUS19776,E0349,CARD34725,2023-07-10,11:00:00,579678,579678,PM02
INV000052,ORD090959,ORS068134,CUS25957,E0490,CARD04743,2023-01-29,18:00:00,113467,113467,PM02
INV000053,ORD009212,ORS006278,CUS79747,E0447,CARD02343,2024-10-10,08:00:00,478606,478606,PM01
INV000054,ORD078745,ORS044313,CUS15040,E0438,CARD31585,2022-08-10,08:00:00,2080782,2080782,PM02
INV000055,ORD044489,ORS070841,CUS55257,E0474,CARD38225,2023-08-14,08:00:00,336387,336387,PM03
INV000056,ORD025957,ORS035184,CUS38547,E0369,CARD41947,2022-08-13,18:00:00,1322373,1322373,PM01
INV000057,ORD036621,ORS021069,CUS43584,E0413,CARD21539,2024-06-24,08:00:00,2617916,2617916,PM01
INV000058,ORD024600,ORS062326,CUS42423,E0479,CARD37507,2022-03-23,11:00:00,1650441,1650441,PM02
INV000059,ORD074941,ORS089366,CUS29518,E0378,CARD01555,2023-01-14,08:00:00,2166481,2166481,PM01
INV000060,ORD053068,ORS021421,CUS34419,E0396,CARD41989,2024-09-13,08:00:00,387679,387679,PM02
INV000061,ORD035543,ORS056071,CUS62376,E0490,CARD40519,2024-11-15,08:00:00,1290124,1290124,PM02
INV000062,ORD037012,ORS010225,CUS64565,E0431,CARD46007,2022-12-25,11:00:00,2781820,2781820,PM01
INV000063,ORD053188,ORS032609,CUS55261,E0458,CARD47910,2024-08-26,14:00:00,224794,224794,PM03
INV000064,ORD013075,ORS045231,CUS45357,E0474,CARD12957,2023-07-24,14:00:00,220853,220853,PM01
INV000065,ORD067976,ORS013339,CUS30646,E0368,CARD20331,2023-04-02,18:00:00,859049,859049,PM02
INV000066,ORD014067,ORS053383,CUS46960,E0330,CARD23807,2022-11-02,11:00:00,1412032,1412032,PM03
INV000067,ORD032223,ORS051618,CUS34770,E0397,CARD45849,2022-04-10,18:00:00,1056291,1056291,PM01
INV000068,ORD087329,ORS061101,CUS09686,E0438,CARD00935,2022-01-27,18:00:00,635372,635372,PM01
INV000069,ORD091100,ORS033431,CUS30382,E0413,CARD28320,2024-01-04,14:00:00,874763,874763,PM03
INV000070,ORD097989,ORS049262,CUS30336,E0409,CARD35823,2023-01-05,18:00:00,1351830,1351830,PM03
INV000071,ORD089158,ORS086296,CUS61330,E0431,CARD06676,2023-09-06,18:00:00,621014,621014,PM01
INV000072,ORD017238,ORS059679,CUS60287,E0349,CARD19968,2022-07-31,11:00:00,141829,141829,PM03
INV000073,ORD051000,ORS078313,CUS09667,E0398,CARD01774,2024-03-06,08:00:00,1482486,1482486,PM03
INV000074,ORD060108,ORS038008,CUS74555,E0295,CARD17592,2023-01-25,08:00:00,1869397,1869397,PM04
INV000075,ORD084950,ORS006193,CUS33562,E0396,CARD37870,2022-06-10,14:00:00,1989842,1989842,PM01
INV000076,ORD052066,ORS008732,CUS30267,E0477,CARD27434,2024-03-21,11:00:00,2985270,2985270,PM03
INV000077,ORD048132,ORS023462,CUS57814,E0367,CARD14142,2023-03-25,08:00:00,1039985,1039985,PM03
INV000078,ORD030804,ORS050015,CUS36168,E0407,CARD39419,2022-12-31,14:00:00,1410841,1410841,PM02
INV000079,ORD046091,ORS079832,CUS14342,E0460,CARD22613,2022-08-14,14:00:00,1014539,1014539,PM02
INV000080,ORD097089,ORS011191,CUS03364,E0363,CARD07604,2022-12-05,14:00:00,1471284,1471284,PM02
INV000081,ORD038335,ORS005665,CUS59775,E0299,CARD15489,2024-08-04,11:00:00,369858,369858,PM02
INV000082,ORD013652,ORS018414,CUS30875,E0433,CARD09853,2024-10-01,14:00:00,2892216,2892216,PM02
INV000083,ORD050271,ORS086923,CUS05899,E0458,CARD06540,2023-05-05,08:00:00,1085961,1085961,PM02
INV000084,ORD098677,ORS079497,CUS00459,E0319,CARD24681,2024-10-04,11:00:00,2561424,2561424,PM01
INV000085,ORD033648,ORS031310,CUS38000,E0321,CARD25255,2022-02-19,08:00:00,315667,315667,PM02
INV000086,ORD077138,ORS079592,CUS01661,E0277,CARD28550,2022-03-25,11:00:00,2556935,2556935,PM02
INV000087,ORD090805,ORS068443,CUS51096,E0433,CARD27328,2023-10-21,08:00:00,413097,413097,PM01
INV000088,ORD076107,ORS016024,CUS03427,E0303,CARD10937,2023-03-13,14:00:00,614668,614668,PM04
INV000089,ORD038006,ORS046407,CUS20924,E0478,CARD10900,2024-03-15,11:00:00,1855805,1855805,PM02
INV000090,ORD041992,ORS012030,CUS39846,E0367,CARD19154,2024-06-23,08:00:00,1151862,1151862,PM01
INV000091,ORD032083,ORS058878,CUS46634,E0303,CARD29154,2024-07-31,11:00:00,1493477,1493477,PM03
INV000092,ORD051900,ORS059900,CUS39437,E0369,CARD29653,2022-09-21,14:00:00,1060631,1060631,PM01
INV000093,ORD074454,ORS027845,CUS44586,E0374,CARD12880,2023-12-22,11:00:00,2032034,2032034,PM01
INV000094,ORD095105,ORS013705,CUS29226,E0398,CARD19484,2024-03-17,08:00:00,1403179,1403179,PM03
INV000095,ORD033610,ORS061076,CUS17858,E0458,CARD28697,2022-05-15,11:00:00,2922634,2922634,PM03
INV000096,ORD013324,ORS071996,CUS15387,E0295,CARD09858,2024-10-06,08:00:00,2500498,2500498,PM02
INV000097,ORD099970,ORS080642,CUS50818,E0314,CARD35837,2023-03-05,08:00:00,152651,152651,PM01
INV000098,ORD075655,ORS050349,CUS25101,E0458,CARD35042,2024-01-30,11:00:00,499969,499969,PM04
INV000099,ORD054748,ORS025058,CUS13737,E0349,CARD36963,2023-04-15,08:00:00,1307911,1307911,PM02
INV000100,ORD010157,ORS002115,CUS00554,E0478,CARD49455,2024-07-14,18:00:00,1645792,1645792,PM01
INV000101,ORD001362,ORS085952,CUS19284,E0474,CARD42181,2023-03-22,18:00:00,1824612,1824612,PM04
INV000102,ORD001547,ORS011188,CUS21193,E0447,CARD02094,2024-12-27,11:00:00,104005,104005,PM01
INV000103,ORD031917,ORS006596,CUS42201,E0406,CARD04496,2024-04-25,18:00:00,2858838,2858838,PM01
INV000104,ORD055915,ORS059423,CUS27384,E0338,CARD01759,2023-07-15,14:00:00,2028838,2028838,PM03
INV000105,ORD063715,ORS046051,CUS55165,E0319,CARD44710,2024-09-29,11:00:00,2204626,2204626,PM04
INV000106,ORD009259,ORS085432,CUS13313,E0443,CARD00781,2024-10-22,14:00:00,444459,444459,PM04
INV000107,ORD046326,ORS085875,CUS28594,E0478,CARD14111,2024-02-14,08:00:00,2058768,2058768,PM03
INV000108,ORD069386,ORS086164,CUS70157,E0460,CARD24946,2023-10-23,11:00:00,200129,200129,PM03
INV000109,ORD055857,ORS063147,CUS29640,E0367,CARD05097,2024-06-24,18:00:00,2230027,2230027,PM01
INV000110,ORD084800,ORS090466,CUS66457,E0433,CARD29980,2024-03-20,18:00:00,411209,411209,PM03
INV000111,ORD025563,ORS031115,CUS03013,E0468,CARD06225,2023-09-15,14:00:00,2984695,2984695,PM01
INV000112,ORD061015,ORS049397,CUS02663,E0478,CARD22641,2024-06-22,08:00:00,1030083,1030083,PM03
INV000113,ORD087212,ORS028353,CUS74740,E0286,CARD14955,2022-02-12,14:00:00,2939742,2939742,PM03
INV000114,ORD050086,ORS079184,CUS52428,E0338,CARD15310,2024-12-24,18:00:00,572104,572104,PM03
INV000115,ORD015229,ORS082154,CUS26037,E0423,CARD14091,2022-09-29,18:00:00,381492,381492,PM02
INV000116,ORD004908,ORS011035,CUS00587,E0319,CARD35919,2023-10-18,14:00:00,1459278,1459278,PM01
INV000117,ORD016248,ORS049357,CUS79227,E0352,CARD43968,2023-11-08,14:00:00,1674050,1674050,PM04
INV000118,ORD018325,ORS056487,CUS66634,E0304,CARD33272,2024-11-26,14:00:00,1801406,1801406,PM03
INV000119,ORD093990,ORS020302,CUS55851,E0277,CARD47379,2022-02-05,08:00:00,2546638,2546638,PM01
INV000120,ORD006955,ORS046053,CUS67729,E0295,CARD16316,2022-10-07,18:00:00,487623,487623,PM02
INV000121,ORD099207,ORS046655,CUS36997,E0457,CARD09728,2024-07-11,11:00:00,961623,961623,PM01
INV000122,ORD066850,ORS071795,CUS59653,E0465,CARD02763,2024-10-07,18:00:00,422799,422799,PM03
INV000123,ORD057399,ORS078299,CUS07869,E0321,CARD06819,2022-03-14,08:00:00,1150170,1150170,PM02
INV000124,ORD039713,ORS035017,CUS01277,E0295,CARD44143,2022-02-08,14:00:00,2004732,2004732,PM02
INV000125,ORD004199,ORS010409,CUS03961,E0472,CARD46269,2024-10-03,08:00:00,2807802,2807802,PM01
INV000126,ORD076226,ORS055165,CUS03958,E0447,CARD10614,2023-07-25,11:00:00,524702,524702,PM03
INV000127,ORD007412,ORS095629,CUS21544,E0410,CARD47801,2024-01-20,18:00:00,2000000,2000000,PM04
INV000128,ORD016372,ORS011298,CUS32239,E0464,CARD25766,2024-10-01,11:00:00,452656,452656,PM02
INV000129,ORD022928,ORS018234,CUS23021,E0317,CARD03991,2024-06-07,11:00:00,2453387,2453387,PM02
INV000130,ORD048728,ORS079932,CUS74845,E0457,CARD40131,2022-07-16,18:00:00,2971715,2971715,PM04
INV000131,ORD093668,ORS031628,CUS16294,E0479,CARD13258,2022-03-18,11:00:00,1315164,1315164,PM03
INV000132,ORD052452,ORS010360,CUS67674,E0464,CARD05779,2022-09-26,08:00:00,2999727,2999727,PM03
INV000133,ORD058420,ORS029077,CUS16529,E0447,CARD44586,2022-01-30,14:00:00,961907,961907,PM02
INV000134,ORD045616,ORS032347,CUS47530,E0443,CARD13419,2023-03-17,11:00:00,307906,307906,PM03
INV000135,ORD091231,ORS072163,CUS71426,E0286,CARD00362,2024-06-02,14:00:00,1003097,1003097,PM01
INV000136,ORD094911,ORS035439,CUS33802,E0398,CARD09507,2024-12-11,11:00:00,1647650,1647650,PM03
INV000137,ORD044622,ORS024372,CUS47676,E0369,CARD44641,2022-07-18,11:00:00,2710452,2710452,PM03
INV000138,ORD064038,ORS052861,CUS66212,E0430,CARD46839,2024-05-19,11:00:00,2978359,2978359,PM01
INV000139,ORD064309,ORS045165,CUS41988,E0291,CARD32752,2024-11-19,08:00:00,2095839,2095839,PM01
INV000140,ORD073560,ORS094487,CUS19514,E0393,CARD10947,2024-12-12,18:00:00,478799,478799,PM04
INV000141,ORD096549,ORS008775,CUS40649,E0303,CARD48011,2022-06-19,18:00:00,1487283,1487283,PM02
INV000142,ORD052510,ORS027664,CUS48141,E0409,CARD22464,2024-05-09,14:00:00,2168181,2168181,PM01
INV000143,ORD066920,ORS008798,CUS44548,E0465,CARD09154,2024-07-11,18:00:00,2973097,2973097,PM01
INV000144,ORD015480,ORS068809,CUS31093,E0408,CARD10181,2023-01-07,08:00:00,2290792,2290792,PM03
INV000145,ORD099738,ORS089013,CUS02710,E0369,CARD26084,2023-07-11,18:00:00,509392,509392,PM04
INV000146,ORD068410,ORS088169,CUS49032,E0438,CARD04182,2023-12-08,08:00:00,324674,324674,PM01
INV000147,ORD086921,ORS052233,CUS62440,E0374,CARD48637,2024-08-15,14:00:00,1801843,1801843,PM01
INV000148,ORD041976,ORS064677,CUS29631,E0349,CARD17295,2022-03-15,14:00:00,2771176,2771176,PM04
INV000149,ORD013161,ORS017616,CUS41671,E0428,CARD13175,2022-02-09,08:00:00,776770,776770,PM02
INV000150,ORD043259,ORS047017,CUS20111,E0430,CARD32383,2022-03-30,11:00:00,875258,875258,PM01
INV000151,ORD083837,ORS097666,CUS67510,E0289,CARD02168,2022-03-04,08:00:00,348310,348310,PM03
INV000152,ORD031968,ORS012390,CUS19241,E0472,CARD27449,2024-10-18,11:00:00,1568257,1568257,PM04
INV000153,ORD077818,ORS086528,CUS49110,E0431,CARD04413,2022-05-10,18:00:00,2118318,2118318,PM04
INV000154,ORD012510,ORS002767,CUS06840,E0395,CARD34526,2022-04-10,14:00:00,139087,139087,PM02
INV000155,ORD055807,ORS064137,CUS32329,E0378,CARD02195,2022-03-18,14:00:00,2187673,2187673,PM03
INV000156,ORD040531,ORS083495,CUS32030,E0464,CARD07097,2023-03-30,08:00:00,1691303,1691303,PM01
INV000157,ORD036366,ORS007797,CUS39752,E0379,CARD03850,2022-03-28,11:00:00,1714568,1714568,PM04
INV000158,ORD066807,ORS058135,CUS00186,E0490,CARD40726,2023-03-03,11:00:00,1430521,1430521,PM04
INV000159,ORD090362,ORS006204,CUS34870,E0363,CARD03983,2023-04-20,18:00:00,1382380,1382380,PM02
INV000160,ORD051131,ORS071070,CUS75048,E0431,CARD40923,2023-07-01,08:00:00,1887363,1887363,PM02
INV000161,ORD025917,ORS003660,CUS12693,E0273,CARD34197,2024-10-15,11:00:00,590871,590871,PM03
INV000162,ORD004912,ORS013365,CUS77719,E0384,CARD08533,2022-06-05,14:00:00,2317542,2317542,PM01
INV000163,ORD014489,ORS034921,CUS47037,E0277,CARD29925,2024-05-17,18:00:00,2694568,2694568,PM04
INV000164,ORD065295,ORS068349,CUS56324,E0409,CARD16576,2024-09-06,08:00:00,1627117,1627117,PM02
INV000165,ORD058389,ORS068274,CUS09032,E0289,CARD10501,2022-10-25,18:00:00,761744,761744,PM02
INV000166,ORD005444,ORS031869,CUS32092,E0336,CARD22299,2023-07-15,08:00:00,2858930,2858930,PM02
INV000167,ORD078555,ORS068127,CUS39415,E0407,CARD35694,2024-10-01,08:00:00,2246173,2246173,PM01
INV000168,ORD097980,ORS088859,CUS20615,E0472,CARD35826,2022-08-30,18:00:00,666659,666659,PM04
INV000169,ORD058800,ORS056758,CUS54188,E0395,CARD17864,2023-12-11,18:00:00,2183076,2183076,PM03
INV000170,ORD028876,ORS085884,CUS59433,E0431,CARD02134,2022-06-19,08:00:00,2139250,2139250,PM04
INV000171,ORD079609,ORS057055,CUS08420,E0423,CARD29851,2024-09-17,11:00:00,763314,763314,PM02
INV000172,ORD027315,ORS083038,CUS45671,E0464,CARD02938,2023-03-02,08:00:00,1068391,1068391,PM01
INV000173,ORD097352,ORS034533,CUS17101,E0304,CARD00898,2022-07-16,14:00:00,1718465,1718465,PM02
INV000174,ORD064660,ORS041118,CUS31618,E0423,CARD20021,2024-11-16,14:00:00,2638805,2638805,PM04
INV000175,ORD028899,ORS068087,CUS78820,E0468,CARD41335,2024-03-28,18:00:00,1884499,1884499,PM01
INV000176,ORD032408,ORS078321,CUS71935,E0273,CARD22631,2024-05-21,14:00:00,1848062,1848062,PM03
INV000177,ORD030104,ORS077819,CUS34769,E0397,CARD19194,2024-08-14,18:00:00,2429680,2429680,PM02
INV000178,ORD043009,ORS037746,CUS66088,E0429,CARD45028,2022-10-05,08:00:00,889269,889269,PM01
INV000179,ORD095764,ORS053742,CUS17528,E0286,CARD26040,2024-04-27,08:00:00,1536735,1536735,PM01
INV000180,ORD025389,ORS030164,CUS30731,E0428,CARD31816,2023-12-25,11:00:00,2291970,2291970,PM04
INV000181,ORD076153,ORS039550,CUS52617,E0371,CARD33352,2022-05-22,08:00:00,2523088,2523088,PM01
INV000182,ORD077594,ORS023375,CUS69049,E0472,CARD10907,2022-07-22,11:00:00,407113,407113,PM01
INV000183,ORD066391,ORS089069,CUS33814,E0459,CARD45476,2023-11-02,18:00:00,998849,998849,PM03
INV000184,ORD039964,ORS099836,CUS77193,E0406,CARD15819,2022-11-20,11:00:00,150212,150212,PM02
INV000185,ORD002635,ORS028060,CUS42877,E0490,CARD47838,2022-01-27,08:00:00,1391975,1391975,PM02
INV000186,ORD051966,ORS082822,CUS72003,E0464,CARD30989,2023-12-01,14:00:00,523509,523509,PM04
INV000187,ORD013672,ORS083776,CUS52465,E0371,CARD12675,2022-12-08,14:00:00,970153,970153,PM03
INV000188,ORD044901,ORS030859,CUS36957,E0433,CARD48208,2022-06-06,11:00:00,1160270,1160270,PM04
INV000189,ORD001084,ORS035841,CUS71760,E0303,CARD43556,2022-02-05,14:00:00,2174015,2174015,PM03
INV000190,ORD019451,ORS022782,CUS16996,E0393,CARD12828,2023-05-14,14:00:00,380213,380213,PM03
INV000191,ORD086739,ORS085304,CUS28996,E0425,CARD03984,2022-11-20,08:00:00,2669127,2669127,PM01
INV000192,ORD028909,ORS063060,CUS04381,E0352,CARD16046,2023-07-21,08:00:00,505632,505632,PM03
INV000193,ORD053708,ORS019842,CUS43458,E0464,CARD16720,2023-10-06,14:00:00,2571482,2571482,PM01
INV000194,ORD035875,ORS066064,CUS46846,E0409,CARD01693,2024-09-19,11:00:00,2614402,2614402,PM02
INV000195,ORD044049,ORS036002,CUS05756,E0295,CARD25122,2024-11-24,11:00:00,2101506,2101506,PM02
INV000196,ORD096328,ORS000087,CUS35560,E0477,CARD02752,2023-04-14,08:00:00,2412081,2412081,PM01
INV000197,ORD039543,ORS073656,CUS57932,E0349,CARD17791,2022-02-11,11:00:00,1187780,1187780,PM01
INV000198,ORD057604,ORS080817,CUS69807,E0368,CARD36567,2022-07-11,18:00:00,2075478,2075478,PM03
INV000199,ORD099335,ORS038288,CUS28621,E0410,CARD45785,2023-01-28,14:00:00,2552040,2552040,PM02
INV000200,ORD082601,ORS027698,CUS33119,E0407,CARD10616,2023-03-28,11:00:00,929088,929088,PM04
INV000201,ORD059055,ORS089335,CUS18000,E0286,CARD15426,2023-04-10,08:00:00,2269174,2269174,PM03
INV000202,ORD089387,ORS011545,CUS23555,E0393,CARD30644,2024-07-07,08:00:00,1031385,1031385,PM03
INV000203,ORD080899,ORS006568,CUS01426,E0336,CARD11016,2023-05-26,14:00:00,2586600,2586600,PM02
INV000204,ORD062937,ORS062887,CUS50037,E0429,CARD01149,2024-06-14,14:00:00,1640348,1640348,PM04
INV000205,ORD006100,ORS087740,CUS37181,E0277,CARD27188,2023-02-19,08:00:00,265219,265219,PM03
INV000206,ORD051377,ORS026960,CUS10044,E0428,CARD11794,2022-10-02,11:00:00,176163,176163,PM04
INV000207,ORD040802,ORS073226,CUS75578,E0425,CARD08939,2024-11-05,11:00:00,511745,511745,PM01
INV000208,ORD066921,ORS072166,CUS51197,E0406,CARD08239,2024-03-18,11:00:00,1488322,1488322,PM01
INV000209,ORD081108,ORS084875,CUS27402,E0349,CARD34603,2023-02-23,11:00:00,1246923,1246923,PM04
INV000210,ORD055462,ORS021663,CUS30798,E0425,CARD48153,2022-10-28,18:00:00,1009406,1009406,PM01
INV000211,ORD032843,ORS088272,CUS42673,E0430,CARD17643,2023-09-21,11:00:00,2811608,2811608,PM03
INV000212,ORD067646,ORS052591,CUS32562,E0425,CARD48777,2024-07-13,11:00:00,2228731,2228731,PM02
INV000213,ORD011201,ORS022935,CUS03099,E0438,CARD20219,2022-08-24,11:00:00,881738,881738,PM01
INV000214,ORD025796,ORS045337,CUS08876,E0447,CARD21664,2023-12-26,08:00:00,1881872,1881872,PM03
INV000215,ORD074523,ORS058415,CUS69524,E0378,CARD22644,2022-09-23,08:00:00,295888,295888,PM01
INV000216,ORD055902,ORS023120,CUS43952,E0429,CARD39554,2024-05-29,18:00:00,2969104,2969104,PM02
INV000217,ORD064647,ORS073973,CUS74698,E0430,CARD21750,2022-08-15,11:00:00,2303447,2303447,PM03
INV000218,ORD069875,ORS051221,CUS44823,E0337,CARD35972,2024-08-29,18:00:00,142771,142771,PM02
INV000219,ORD074015,ORS090337,CUS63158,E0438,CARD17801,2023-03-29,08:00:00,757728,757728,PM01
INV000220,ORD032858,ORS098097,CUS11365,E0337,CARD10494,2022-11-23,08:00:00,1034046,1034046,PM01
INV000221,ORD003898,ORS047906,CUS55771,E0443,CARD07084,2022-10-13,08:00:00,627754,627754,PM03
INV000222,ORD091641,ORS003654,CUS49676,E0401,CARD02779,2024-08-04,11:00:00,1109813,1109813,PM04
INV000223,ORD069580,ORS086643,CUS05642,E0317,CARD07531,2022-01-16,14:00:00,918031,918031,PM02
INV000224,ORD060869,ORS073595,CUS63916,E0273,CARD29842,2024-04-13,11:00:00,685683,685683,PM01
INV000225,ORD088776,ORS078576,CUS49002,E0423,CARD49645,2024-08-21,08:00:00,2992928,2992928,PM03
INV000226,ORD042795,ORS060117,CUS42379,E0409,CARD39930,2023-09-27,14:00:00,2647277,2647277,PM04
INV000227,ORD015138,ORS026730,CUS18193,E0464,CARD48131,2023-11-02,11:00:00,2839766,2839766,PM03
INV000228,ORD049615,ORS031675,CUS79545,E0368,CARD41121,2022-07-13,11:00:00,799538,799538,PM03
INV000229,ORD031862,ORS043332,CUS13685,E0378,CARD26239,2022-06-18,11:00:00,1480449,1480449,PM02
INV000230,ORD017450,ORS020511,CUS51616,E0307,CARD39313,2024-02-20,18:00:00,973355,973355,PM01
INV000231,ORD091267,ORS085392,CUS12617,E0289,CARD04270,2023-01-26,11:00:00,2558251,2558251,PM01
INV000232,ORD094229,ORS074132,CUS71732,E0472,CARD46509,2024-10-29,11:00:00,2458544,2458544,PM01
INV000233,ORD006454,ORS040939,CUS20056,E0371,CARD04287,2023-04-14,11:00:00,1376176,1376176,PM03
INV000234,ORD090640,ORS048433,CUS36710,E0396,CARD26418,2022-01-22,18:00:00,1461157,1461157,PM04
INV000235,ORD061828,ORS054067,CUS74675,E0336,CARD35452,2023-03-01,14:00:00,1067044,1067044,PM02
INV000236,ORD089854,ORS051157,CUS00607,E0393,CARD31798,2024-06-28,11:00:00,2793558,2793558,PM02
INV000237,ORD091370,ORS001895,CUS40581,E0464,CARD23413,2023-05-27,18:00:00,1045814,1045814,PM03
INV000238,ORD013004,ORS013505,CUS40399,E0295,CARD06444,2024-12-12,18:00:00,2346140,2346140,PM04
INV000239,ORD088496,ORS027497,CUS12668,E0277,CARD20009,2024-04-25,14:00:00,1207293,1207293,PM01
INV000240,ORD078134,ORS044993,CUS59025,E0367,CARD43242,2024-10-03,08:00:00,1377196,1377196,PM04
INV000241,ORD015994,ORS092883,CUS71833,E0395,CARD06686,2022-03-29,11:00:00,1631631,1631631,PM02
