SurgeryID,PetID,PrescriptionID,SurgeryStatus,SurgeryType,AnesthesiaType,SurgeryDate,DiagnosisNote
SRV193635,PET119546,PRSC079900,Đã thực hiện,Thiến,Gây tê,2023-02-10 17:17:09,Phẫu thuật theo chỉ định bác sĩ
SRV48472,PET15639,PRSC057378,Đang theo dõi,Mổ u,Gây mê toàn thân,2021-03-16 03:50:06,Phẫu thuật theo chỉ định bác sĩ
SRV178466,PET101499,PRSC019393,Đang theo dõi,Nội soi,Gây mê toàn thân,2021-04-17 06:06:55,Phẫu thuật theo chỉ định bác sĩ
SRV74564,PET62662,PRSC079377,Đã thực hiện,Mổ u,Gây tê,2023-02-08 09:26:40,Phẫu thuật theo chỉ định bác sĩ
SRV34534,PET119147,PRSC028510,Đang theo dõi,Thiến,Gây tê,2021-04-17 00:00:13,Phẫu thuật theo chỉ định bác sĩ
SRV18718,PET83206,PRSC041912,Đang theo dõi,Thiến,Gây tê,2022-08-25 00:45:43,Phẫu thuật theo chỉ định bác sĩ
SRV174419,PET48662,PRSC005291,Đang theo dõi,Nội soi,Gây tê,2022-02-11 21:57:39,Phẫu thuật theo chỉ định bác sĩ
SRV36724,PET43292,PRSC026157,Đã thực hiện,Nội soi,Gây tê,2024-10-08 09:26:01,Phẫu thuật theo chỉ định bác sĩ
SRV83856,PET84270,PRSC078370,Đang theo dõi,Mổ u,Gây tê,2023-11-08 13:08:23,Phẫu thuật theo chỉ định bác sĩ
SRV137713,PET43103,PRSC055839,Đã thực hiện,Mổ u,Gây mê toàn thân,2022-11-01 04:28:46,Phẫu thuật theo chỉ định bác sĩ
SRV45395,PET30750,PRSC002597,Đã thực hiện,Nội soi,Gây mê toàn thân,2021-05-27 01:36:51,Phẫu thuật theo chỉ định bác sĩ
SRV48270,PET32244,PRSC015876,Đang theo dõi,Mổ u,Gây tê,2023-04-25 18:23:46,Phẫu thuật theo chỉ định bác sĩ
SRV33563,PET50775,PRSC028396,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-08-09 20:17:49,Phẫu thuật theo chỉ định bác sĩ
SRV188734,PET53675,PRSC006406,Đang theo dõi,Thiến,Gây tê,2022-01-27 20:18:20,Phẫu thuật theo chỉ định bác sĩ
SRV30513,PET28878,PRSC030662,Đã thực hiện,Mổ u,Gây tê,2024-10-05 00:27:40,Phẫu thuật theo chỉ định bác sĩ
SRV76633,PET44364,PRSC057037,Đã thực hiện,Thiến,Gây tê,2024-04-01 12:10:37,Phẫu thuật theo chỉ định bác sĩ
SRV39817,PET24948,PRSC023781,Đã thực hiện,Thiến,Gây tê,2024-05-08 21:01:52,Phẫu thuật theo chỉ định bác sĩ
SRV183724,PET91726,PRSC079976,Đã thực hiện,Mổ u,Gây tê,2022-07-17 12:00:59,Phẫu thuật theo chỉ định bác sĩ
SRV168484,PET32204,PRSC003114,Đang theo dõi,Nội soi,Gây mê toàn thân,2021-08-22 08:29:42,Phẫu thuật theo chỉ định bác sĩ
SRV115379,PET111833,PRSC016973,Đang theo dõi,Thiến,Gây tê,2021-12-07 19:03:44,Phẫu thuật theo chỉ định bác sĩ
SRV109246,PET33761,PRSC053494,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2022-12-27 09:30:00,Phẫu thuật theo chỉ định bác sĩ
SRV116781,PET107724,PRSC026839,Đã thực hiện,Nội soi,Gây mê toàn thân,2022-01-04 14:39:21,Phẫu thuật theo chỉ định bác sĩ
SRV43099,PET40520,PRSC050279,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2024-03-24 23:55:10,Phẫu thuật theo chỉ định bác sĩ
SRV161676,PET102388,PRSC065833,Đã thực hiện,Nội soi,Gây tê,2021-03-29 00:33:20,Phẫu thuật theo chỉ định bác sĩ
SRV64458,PET11916,PRSC050503,Đã thực hiện,Nội soi,Gây tê,2022-12-12 04:38:43,Phẫu thuật theo chỉ định bác sĩ
SRV48116,PET111873,PRSC000952,Đang theo dõi,Mổ bụng,Gây mê toàn thân,2022-03-22 09:40:34,Phẫu thuật theo chỉ định bác sĩ
SRV198795,PET113420,PRSC029593,Đã thực hiện,Mổ u,Gây tê,2023-04-14 20:26:44,Phẫu thuật theo chỉ định bác sĩ
