VID,PetID,VaccineID,VaccinationDate,Dosage
SRV6180,PET02695,VAC0101,2021-04-07 23:07:59,1ml/kg
SRV62583,PET84235,VAC0008,2021-07-25 08:07:15,1ml/kg
SRV174523,PET115168,VAC0051,2023-02-25 23:25:07,1ml/kg
SRV184519,PET61229,VAC0092,2021-05-19 07:43:55,1ml/kg
SRV6733,PET42111,VAC0116,2024-08-17 11:19:41,1ml/kg
SRV35259,PET02146,VAC0006,2022-04-20 02:26:36,1ml/kg
SRV50324,PET59408,VAC0016,2024-12-28 09:30:59,1ml/kg
SRV37233,PET111027,VAC0072,2024-09-13 08:05:20,1ml/kg
SRV196504,PET05336,VAC0070,2022-08-22 10:41:12,1ml/kg
SRV151058,PET44863,VAC0075,2024-01-14 05:22:46,1ml/kg
SRV166303,PET78472,VAC0074,2022-10-05 05:32:52,1ml/kg
SRV174994,PET24119,VAC0047,2021-07-25 12:06:15,1ml/kg
SRV161434,PET40894,VAC0013,2021-11-20 07:46:38,1ml/kg
SRV76131,PET92916,VAC0056,2022-03-11 03:15:25,1ml/kg
SRV154337,PET106753,VAC0057,2022-05-13 18:03:38,1ml/kg
SRV167688,PET119407,VAC0031,2024-10-15 06:08:51,1ml/kg
SRV118175,PET101024,VAC0083,2021-06-09 23:16:27,1ml/kg
SRV36452,PET82397,VAC0028,2021-01-29 21:01:46,1ml/kg
SRV158904,PET119561,VAC0053,2023-09-19 10:30:35,1ml/kg
SRV174360,PET48137,VAC0090,2024-05-02 21:42:12,1ml/kg
SRV79537,PET05770,VAC0103,2021-10-25 06:28:36,1ml/kg
SRV30281,PET93859,VAC0032,2024-07-31 01:48:31,1ml/kg
SRV87250,PET114875,VAC0080,2022-11-07 10:00:33,1ml/kg
SRV196640,PET102265,VAC0021,2024-07-21 02:55:54,1ml/kg
SRV172314,PET76380,VAC0052,2024-10-24 22:26:52,1ml/kg
SRV109702,PET110883,VAC0033,2024-10-01 05:12:01,1ml/kg
SRV31376,PET113437,VAC0084,2024-06-11 02:41:30,1ml/kg
SRV2614,PET119860,VAC0107,2022-12-21 22:13:25,1ml/kg
SRV110032,PET93479,VAC0069,2023-10-08 04:30:55,1ml/kg
SRV85382,PET37537,VAC0030,2021-10-09 12:17:43,1ml/kg
SRV163013,PET42821,VAC0020,2021-12-25 21:11:44,1ml/kg
SRV185754,PET102267,VAC0101,2024-09-13 06:03:18,1ml/kg
SRV18227,PET77465,VAC0046,2024-12-16 12:41:32,1ml/kg
SRV38766,PET19338,VAC0034,2021-07-21 14:38:43,1ml/kg
SRV78834,PET109227,VAC0041,2024-12-03 13:28:52,1ml/kg
SRV53214,PET49127,VAC0111,2022-07-23 08:07:56,1ml/kg
SRV181558,PET87252,VAC0092,2021-10-06 17:48:43,1ml/kg
SRV195128,PET40743,VAC0036,2022-04-10 23:35:28,1ml/kg
SRV93689,PET113863,VAC0061,2022-11-19 04:30:45,1ml/kg
SRV12604,PET21891,VAC0061,2023-10-29 12:35:00,1ml/kg
SRV39664,PET102411,VAC0078,2023-12-18 17:45:08,1ml/kg
SRV156092,PET31396,VAC0110,2024-04-28 18:44:06,1ml/kg
SRV79139,PET53302,VAC0035,2024-08-16 09:48:50,1ml/kg
SRV50917,PET90439,VAC0110,2024-08-08 20:24:47,1ml/kg
SRV94548,PET69088,VAC0035,2023-06-02 07:07:49,1ml/kg
SRV146190,PET15339,VAC0048,2021-11-04 11:50:17,1ml/kg
SRV115470,PET19757,VAC0070,2023-05-23 09:23:11,1ml/kg
SRV61148,PET33783,VAC0033,2021-06-09 10:52:14,1ml/kg
SRV41444,PET22727,VAC0087,2022-05-14 22:41:58,1ml/kg
SRV94871,PET115544,VAC0011,2024-11-07 15:17:46,1ml/kg
SRV22426,PET72999,VAC0106,2024-06-06 01:17:29,1ml/kg
SRV98011,PET112458,VAC0060,2021-09-09 12:17:41,1ml/kg
SRV71302,PET15305,VAC0112,2023-04-26 22:32:05,1ml/kg
SRV8375,PET38010,VAC0089,2023-05-12 11:13:57,1ml/kg
SRV181668,PET101177,VAC0036,2024-11-08 02:05:36,1ml/kg
SRV136599,PET06775,VAC0057,2022-06-15 17:41:21,1ml/kg
SRV46190,PET55338,VAC0038,2023-12-10 19:01:34,1ml/kg
SRV117432,PET112890,VAC0063,2023-08-30 07:42:24,1ml/kg
SRV149571,PET38754,VAC0003,2023-06-30 00:01:40,1ml/kg
SRV109132,PET62883,VAC0118,2021-03-01 20:03:28,1ml/kg
SRV173700,PET44916,VAC0006,2021-05-26 11:54:18,1ml/kg
SRV148750,PET111991,VAC0050,2024-05-15 00:54:28,1ml/kg
SRV125238,PET16287,VAC0061,2023-10-28 11:30:45,1ml/kg
SRV5968,PET76657,VAC0013,2023-08-04 17:35:17,1ml/kg
SRV98989,PET119170,VAC0051,2021-12-07 04:41:01,1ml/kg
SRV195750,PET30075,VAC0090,2021-11-03 05:07:01,1ml/kg
SRV34916,PET58775,VAC0108,2022-03-26 21:38:49,1ml/kg
SRV7656,PET25865,VAC0069,2023-01-20 23:47:28,1ml/kg
SRV100219,PET41982,VAC0054,2023-06-26 20:16:49,1ml/kg
SRV192776,PET118643,VAC0016,2024-04-20 23:50:24,1ml/kg
SRV126686,PET68592,VAC0024,2024-09-27 16:03:10,1ml/kg
SRV11917,PET31082,VAC0008,2021-08-22 11:32:27,1ml/kg
SRV115355,PET10196,VAC0106,2021-01-17 21:52:16,1ml/kg
SRV47950,PET14378,VAC0053,2022-03-20 16:15:18,1ml/kg
SRV133517,PET65448,VAC0068,2021-10-14 07:55:15,1ml/kg
SRV97369,PET37087,VAC0027,2024-07-08 17:43:51,1ml/kg
SRV139769,PET35328,VAC0018,2021-05-30 23:19:24,1ml/kg
SRV44571,PET116642,VAC0028,2022-10-10 20:16:22,1ml/kg
SRV51026,PET101479,VAC0062,2024-12-28 06:30:52,1ml/kg
SRV122367,PET110262,VAC0038,2024-06-25 13:44:28,1ml/kg
SRV151973,PET103027,VAC0077,2023-11-24 22:02:27,1ml/kg
SRV39663,PET22111,VAC0083,2023-11-15 16:27:53,1ml/kg
SRV21337,PET26366,VAC0025,2022-04-27 20:12:23,1ml/kg
SRV34418,PET13859,VAC0099,2023-08-05 21:41:05,1ml/kg
SRV0635,PET100530,VAC0041,2024-12-19 19:49:20,1ml/kg
SRV135956,PET61443,VAC0118,2024-09-12 21:14:54,1ml/kg
SRV107727,PET113319,VAC0073,2023-06-12 09:25:06,1ml/kg
SRV149464,PET62513,VAC0113,2021-04-07 10:48:36,1ml/kg
SRV165430,PET11092,VAC0094,2023-03-07 08:02:36,1ml/kg
SRV178516,PET16032,VAC0028,2023-07-31 13:50:22,1ml/kg
SRV94327,PET59465,VAC0091,2021-11-18 03:58:08,1ml/kg
SRV46321,PET49297,VAC0058,2021-09-21 02:43:09,1ml/kg
SRV65965,PET100226,VAC0013,2021-04-12 02:19:42,1ml/kg
SRV136126,PET104213,VAC0040,2022-03-07 19:34:46,1ml/kg
SRV196354,PET51987,VAC0087,2021-06-02 15:13:06,1ml/kg
SRV191589,PET77722,VAC0070,2021-03-28 12:19:07,1ml/kg
SRV116669,PET92474,VAC0021,2021-06-15 23:13:32,1ml/kg
SRV30112,PET98953,VAC0039,2023-04-20 12:08:09,1ml/kg
SRV96436,PET98061,VAC0027,2023-05-12 23:55:24,1ml/kg
SRV52311,PET35215,VAC0096,2022-08-01 15:44:06,1ml/kg
SRV8687,PET10743,VAC0043,2023-06-12 19:25:05,1ml/kg
SRV158248,PET16920,VAC0019,2021-05-20 12:18:58,1ml/kg
SRV26269,PET119278,VAC0115,2024-08-06 02:26:24,1ml/kg
SRV132970,PET101036,VAC0025,2024-08-16 01:21:45,1ml/kg
SRV178477,PET05490,VAC0052,2023-06-06 14:16:09,1ml/kg
SRV84899,PET06073,VAC0005,2023-11-20 10:57:38,1ml/kg
SRV17490,PET73051,VAC0006,2021-07-02 04:41:36,1ml/kg
SRV82882,PET51421,VAC0087,2024-01-01 20:18:56,1ml/kg
SRV162005,PET42591,VAC0081,2024-10-30 03:13:47,1ml/kg
SRV83277,PET94924,VAC0070,2024-07-07 12:36:17,1ml/kg
SRV2692,PET77581,VAC0065,2021-04-03 03:21:21,1ml/kg
SRV19741,PET42745,VAC0064,2024-04-17 16:09:26,1ml/kg
SRV108771,PET32849,VAC0071,2024-11-20 00:46:31,1ml/kg
SRV109682,PET63510,VAC0060,2023-02-23 19:59:36,1ml/kg
SRV10777,PET18284,VAC0048,2023-07-26 13:09:06,1ml/kg
SRV22788,PET28560,VAC0080,2021-04-11 05:42:52,1ml/kg
SRV154356,PET50994,VAC0032,2024-07-26 06:38:31,1ml/kg
SRV101987,PET31972,VAC0054,2023-08-10 22:32:34,1ml/kg
SRV199714,PET99252,VAC0091,2024-05-04 10:10:47,1ml/kg
SRV186609,PET71636,VAC0057,2022-07-04 20:18:09,1ml/kg
SRV90340,PET72135,VAC0052,2022-10-29 01:00:30,1ml/kg
SRV197864,PET87090,VAC0058,2023-09-25 13:56:31,1ml/kg
SRV107405,PET76004,VAC0072,2022-08-14 22:42:54,1ml/kg
SRV3699,PET42257,VAC0005,2022-12-11 08:25:59,1ml/kg
SRV18814,PET102255,VAC0073,2024-11-25 00:32:53,1ml/kg
SRV17721,PET56990,VAC0046,2024-06-15 05:59:03,1ml/kg
SRV9344,PET55402,VAC0003,2022-10-10 09:14:23,1ml/kg
SRV62781,PET67310,VAC0004,2021-06-10 23:00:41,1ml/kg
SRV22122,PET55911,VAC0045,2022-06-08 10:38:26,1ml/kg
SRV138222,PET09445,VAC0077,2022-01-11 04:01:27,1ml/kg
SRV153835,PET28705,VAC0019,2021-05-19 13:05:56,1ml/kg
SRV41088,PET99170,VAC0006,2023-06-29 09:36:46,1ml/kg
SRV194695,PET13300,VAC0002,2022-01-12 07:54:36,1ml/kg
SRV83976,PET11556,VAC0035,2023-09-27 20:25:31,1ml/kg
SRV156987,PET28681,VAC0030,2024-12-19 09:58:07,1ml/kg
SRV112334,PET75278,VAC0105,2022-10-09 16:07:22,1ml/kg
SRV198302,PET90976,VAC0002,2021-03-02 04:57:49,1ml/kg
SRV118683,PET117973,VAC0062,2022-01-31 08:37:07,1ml/kg
SRV150550,PET93200,VAC0074,2024-06-10 18:41:07,1ml/kg
SRV29723,PET99514,VAC0119,2023-09-14 07:22:34,1ml/kg
SRV4181,PET81284,VAC0090,2022-12-19 07:19:23,1ml/kg
SRV123682,PET98197,VAC0001,2021-05-24 15:10:06,1ml/kg
SRV136388,PET103019,VAC0093,2022-12-11 06:01:50,1ml/kg
SRV164304,PET116728,VAC0090,2024-08-28 10:21:48,1ml/kg
SRV92179,PET73222,VAC0030,2023-08-19 02:24:07,1ml/kg
SRV80217,PET62533,VAC0029,2022-01-07 04:59:56,1ml/kg
SRV128537,PET01635,VAC0044,2024-02-17 23:36:46,1ml/kg
SRV16667,PET107946,VAC0073,2022-12-04 05:52:52,1ml/kg
SRV116094,PET119792,VAC0005,2022-01-20 15:32:03,1ml/kg
SRV86009,PET22780,VAC0034,2022-10-20 22:02:33,1ml/kg
SRV37413,PET61722,VAC0005,2021-12-15 16:32:08,1ml/kg
SRV51138,PET115800,VAC0047,2022-08-24 22:01:31,1ml/kg
SRV10261,PET10763,VAC0049,2024-05-16 11:58:41,1ml/kg
SRV19567,PET69691,VAC0082,2021-07-16 19:37:58,1ml/kg
SRV44028,PET31403,VAC0033,2023-01-30 21:30:43,1ml/kg
SRV135209,PET10609,VAC0061,2024-10-25 21:25:20,1ml/kg
SRV123810,PET96986,VAC0065,2021-09-02 02:22:21,1ml/kg
SRV184030,PET44932,VAC0079,2024-10-28 18:11:14,1ml/kg
SRV164667,PET51089,VAC0038,2022-05-11 13:07:22,1ml/kg
SRV117522,PET37924,VAC0068,2024-07-02 07:14:04,1ml/kg
SRV179041,PET17598,VAC0022,2023-06-20 07:36:12,1ml/kg
SRV34089,PET88905,VAC0048,2023-01-03 23:54:25,1ml/kg
SRV152618,PET42560,VAC0033,2022-08-23 07:57:26,1ml/kg
SRV109709,PET99545,VAC0015,2023-11-12 02:54:02,1ml/kg
SRV11404,PET76873,VAC0072,2023-02-27 10:14:47,1ml/kg
SRV20458,PET115293,VAC0096,2022-08-08 11:51:23,1ml/kg
SRV77183,PET14383,VAC0006,2024-02-08 06:46:48,1ml/kg
SRV89933,PET118387,VAC0055,2021-11-19 20:59:41,1ml/kg
SRV199741,PET27066,VAC0009,2021-01-06 08:28:45,1ml/kg
SRV154173,PET02501,VAC0108,2024-11-27 01:57:24,1ml/kg
SRV189487,PET69574,VAC0097,2021-01-14 03:11:29,1ml/kg
SRV95676,PET70814,VAC0005,2024-11-11 18:22:33,1ml/kg
SRV82988,PET00438,VAC0026,2024-10-07 17:41:53,1ml/kg
SRV150971,PET63295,VAC0083,2021-03-04 20:31:22,1ml/kg
SRV128420,PET108849,VAC0049,2024-08-17 00:54:07,1ml/kg
SRV110635,PET87759,VAC0092,2021-03-14 14:38:18,1ml/kg
SRV170874,PET92304,VAC0020,2023-01-15 22:35:36,1ml/kg
SRV67840,PET15455,VAC0076,2021-05-13 05:26:23,1ml/kg
SRV133658,PET114848,VAC0030,2021-08-20 19:25:40,1ml/kg
SRV77909,PET54290,VAC0106,2023-01-13 22:51:39,1ml/kg
SRV45922,PET33628,VAC0105,2023-10-14 00:37:26,1ml/kg
SRV186038,PET49821,VAC0001,2024-05-14 14:32:32,1ml/kg
SRV22155,PET92853,VAC0055,2023-02-09 20:10:07,1ml/kg
SRV27975,PET111892,VAC0070,2024-01-29 04:16:09,1ml/kg
SRV113809,PET27224,VAC0102,2022-04-28 01:53:41,1ml/kg
SRV114404,PET66369,VAC0010,2023-03-05 08:44:22,1ml/kg
SRV91810,PET39987,VAC0076,2024-10-31 06:10:56,1ml/kg
SRV94732,PET13773,VAC0117,2024-03-31 02:31:46,1ml/kg
SRV137858,PET42366,VAC0034,2021-12-05 17:48:16,1ml/kg
SRV84645,PET118401,VAC0077,2021-09-06 21:30:46,1ml/kg
SRV120785,PET95025,VAC0120,2023-05-13 16:18:44,1ml/kg
SRV36222,PET58888,VAC0011,2024-03-18 00:02:25,1ml/kg
SRV29967,PET78849,VAC0119,2021-10-24 06:34:28,1ml/kg
SRV92424,PET26527,VAC0087,2024-08-28 17:56:03,1ml/kg
SRV190670,PET105639,VAC0033,2021-03-23 08:17:13,1ml/kg
SRV115853,PET96748,VAC0081,2022-08-31 18:16:46,1ml/kg
SRV121776,PET49404,VAC0014,2022-08-26 08:27:32,1ml/kg
SRV34636,PET54616,VAC0078,2022-11-20 08:57:52,1ml/kg
SRV178531,PET84596,VAC0060,2023-09-06 16:01:09,1ml/kg
SRV66144,PET71466,VAC0025,2022-08-18 01:23:44,1ml/kg
SRV158532,PET73130,VAC0054,2021-02-06 04:43:15,1ml/kg
SRV45785,PET67533,VAC0012,2021-05-31 00:59:32,1ml/kg
SRV127237,PET91266,VAC0067,2023-07-06 03:39:39,1ml/kg
SRV131011,PET58367,VAC0016,2021-01-03 08:02:25,1ml/kg
SRV24659,PET70538,VAC0099,2022-06-19 13:56:06,1ml/kg
SRV56628,PET58136,VAC0044,2024-04-02 20:44:29,1ml/kg
SRV5420,PET21448,VAC0023,2021-12-05 21:29:32,1ml/kg
SRV80896,PET114926,VAC0042,2022-02-17 23:59:26,1ml/kg
SRV13734,PET68297,VAC0021,2024-01-10 03:03:20,1ml/kg
SRV175537,PET85052,VAC0065,2023-09-05 03:20:41,1ml/kg
SRV115045,PET24076,VAC0120,2022-08-28 04:49:37,1ml/kg
SRV46497,PET50318,VAC0054,2022-06-05 21:25:38,1ml/kg
SRV16305,PET118838,VAC0120,2023-12-22 00:31:59,1ml/kg
SRV54609,PET34296,VAC0002,2021-05-18 19:48:57,1ml/kg
SRV76747,PET67685,VAC0080,2021-07-31 11:49:25,1ml/kg
SRV198614,PET119191,VAC0066,2024-03-23 13:05:02,1ml/kg
SRV70471,PET35499,VAC0021,2022-01-25 02:27:05,1ml/kg
SRV170947,PET71293,VAC0007,2022-09-25 11:27:18,1ml/kg
SRV89184,PET43184,VAC0089,2023-05-30 13:57:46,1ml/kg
SRV118647,PET82721,VAC0029,2024-10-11 13:36:23,1ml/kg
SRV155595,PET36186,VAC0059,2021-07-15 15:10:34,1ml/kg
SRV192945,PET90633,VAC0021,2024-09-17 04:14:16,1ml/kg
SRV150583,PET52292,VAC0076,2022-01-10 12:06:13,1ml/kg
SRV156243,PET17557,VAC0022,2024-01-18 19:39:43,1ml/kg
SRV184493,PET109403,VAC0115,2022-08-12 04:05:30,1ml/kg
SRV196540,PET67003,VAC0005,2022-01-18 19:15:55,1ml/kg
SRV111239,PET37601,VAC0054,2021-02-15 23:11:25,1ml/kg
SRV76927,PET62066,VAC0013,2022-12-07 20:12:00,1ml/kg
SRV150190,PET72390,VAC0106,2023-03-17 21:42:37,1ml/kg
SRV18709,PET97570,VAC0062,2023-05-18 04:50:53,1ml/kg
SRV63386,PET04519,VAC0057,2022-02-27 14:56:28,1ml/kg
SRV99806,PET82425,VAC0096,2021-06-05 05:24:59,1ml/kg
SRV120621,PET47527,VAC0064,2024-02-16 18:59:44,1ml/kg
SRV111872,PET33987,VAC0071,2023-09-05 04:33:35,1ml/kg
SRV39101,PET92401,VAC0032,2022-12-06 05:36:55,1ml/kg
SRV4890,PET50037,VAC0071,2024-10-01 10:01:30,1ml/kg
SRV8157,PET10246,VAC0057,2022-12-28 03:16:57,1ml/kg
SRV79581,PET31973,VAC0050,2021-06-03 22:58:50,1ml/kg
SRV192197,PET11370,VAC0098,2023-05-28 13:59:06,1ml/kg
SRV85100,PET58261,VAC0026,2023-12-15 16:40:15,1ml/kg
SRV168285,PET91044,VAC0034,2021-09-20 02:31:45,1ml/kg
SRV162659,PET84259,VAC0085,2022-04-19 04:30:58,1ml/kg
SRV19036,PET90946,VAC0070,2024-03-03 03:47:48,1ml/kg
SRV194264,PET63209,VAC0070,2024-04-17 18:41:10,1ml/kg
SRV83204,PET69701,VAC0035,2023-11-25 10:39:42,1ml/kg
SRV108396,PET83894,VAC0023,2021-09-24 23:53:05,1ml/kg
SRV159313,PET61190,VAC0050,2023-04-07 18:37:43,1ml/kg
SRV147119,PET47647,VAC0107,2021-04-19 09:40:19,1ml/kg
SRV78127,PET46770,VAC0045,2024-02-03 14:45:52,1ml/kg
SRV115057,PET87447,VAC0109,2021-11-30 23:45:54,1ml/kg
SRV155259,PET85429,VAC0039,2024-12-16 00:23:16,1ml/kg
SRV194347,PET63687,VAC0047,2023-10-18 21:59:13,1ml/kg
SRV66052,PET119799,VAC0081,2023-07-31 02:00:52,1ml/kg
SRV179139,PET90365,VAC0104,2022-08-13 13:27:43,1ml/kg
SRV29512,PET27794,VAC0010,2024-03-13 04:52:18,1ml/kg
SRV72365,PET32097,VAC0082,2022-10-11 05:18:41,1ml/kg
SRV60631,PET02670,VAC0056,2023-09-18 02:21:03,1ml/kg
SRV57986,PET34290,VAC0089,2022-03-11 23:17:59,1ml/kg
SRV165673,PET116507,VAC0115,2022-04-11 20:37:42,1ml/kg
SRV23726,PET102450,VAC0107,2023-09-22 21:45:33,1ml/kg
SRV132404,PET91758,VAC0011,2023-04-07 08:48:54,1ml/kg
SRV70596,PET83097,VAC0065,2023-09-29 05:51:52,1ml/kg
SRV58991,PET54337,VAC0046,2024-03-25 13:32:09,1ml/kg
SRV148323,PET55463,VAC0041,2021-06-16 09:12:47,1ml/kg
SRV121407,PET49037,VAC0105,2024-09-14 00:28:09,1ml/kg
SRV101624,PET98919,VAC0097,2024-03-02 07:25:45,1ml/kg
SRV147485,PET97114,VAC0106,2024-04-07 10:18:13,1ml/kg
SRV80875,PET54460,VAC0120,2021-09-23 01:16:20,1ml/kg
SRV86172,PET70281,VAC0063,2023-01-13 20:00:12,1ml/kg
SRV7089,PET98012,VAC0089,2021-10-14 01:15:33,1ml/kg
SRV107612,PET101774,VAC0049,2022-07-19 05:46:04,1ml/kg
SRV131206,PET99246,VAC0089,2022-11-21 15:56:39,1ml/kg
SRV35331,PET48450,VAC0084,2022-07-03 03:47:11,1ml/kg
SRV9743,PET27990,VAC0022,2023-05-02 07:39:25,1ml/kg
SRV57852,PET28734,VAC0031,2022-07-29 01:01:16,1ml/kg
SRV133956,PET28587,VAC0002,2021-08-21 12:50:15,1ml/kg
SRV57386,PET113583,VAC0054,2024-09-06 00:31:39,1ml/kg
SRV21121,PET74114,VAC0025,2021-10-15 06:01:11,1ml/kg
SRV112182,PET81169,VAC0002,2023-07-11 02:11:52,1ml/kg
SRV133183,PET35764,VAC0120,2024-01-21 15:34:30,1ml/kg
SRV156576,PET92698,VAC0097,2024-09-19 08:24:22,1ml/kg
SRV196778,PET48684,VAC0014,2024-03-25 06:31:35,1ml/kg
SRV185893,PET49329,VAC0089,2023-10-20 21:33:19,1ml/kg
SRV43191,PET104164,VAC0054,2021-09-08 17:22:22,1ml/kg
SRV55389,PET76057,VAC0006,2024-09-03 10:07:00,1ml/kg
SRV110361,PET57467,VAC0015,2024-05-27 01:47:37,1ml/kg
SRV12162,PET119035,VAC0085,2021-02-14 13:34:36,1ml/kg
SRV148696,PET37319,VAC0025,2021-08-27 02:09:20,1ml/kg
SRV74997,PET52176,VAC0093,2024-06-22 21:52:18,1ml/kg
SRV31486,PET70702,VAC0055,2021-08-07 02:12:27,1ml/kg
SRV86118,PET115058,VAC0089,2023-03-26 22:31:48,1ml/kg
SRV189388,PET61672,VAC0046,2022-10-17 00:36:39,1ml/kg
SRV74984,PET49397,VAC0011,2024-11-28 05:53:25,1ml/kg
SRV55454,PET59033,VAC0085,2022-10-27 00:43:17,1ml/kg
SRV11517,PET54134,VAC0043,2022-05-01 13:39:56,1ml/kg
SRV81078,PET66823,VAC0017,2024-06-27 13:51:22,1ml/kg
SRV87318,PET93498,VAC0042,2024-11-06 05:45:56,1ml/kg
SRV11706,PET38536,VAC0094,2021-05-08 06:22:06,1ml/kg
SRV22889,PET21812,VAC0105,2022-02-02 03:35:37,1ml/kg
SRV5705,PET92430,VAC0086,2021-01-08 13:03:02,1ml/kg
SRV37905,PET21791,VAC0006,2021-12-17 16:51:58,1ml/kg
SRV152933,PET29867,VAC0007,2021-12-18 10:38:36,1ml/kg
SRV68229,PET05591,VAC0109,2023-10-12 21:00:23,1ml/kg
SRV186136,PET06460,VAC0011,2023-06-07 23:29:10,1ml/kg
SRV130757,PET47004,VAC0091,2024-06-08 20:49:03,1ml/kg
SRV172821,PET74738,VAC0109,2021-11-28 02:58:23,1ml/kg
SRV192658,PET98091,VAC0028,2022-12-14 06:29:49,1ml/kg
SRV193240,PET04031,VAC0099,2023-06-21 09:53:23,1ml/kg
SRV156804,PET76385,VAC0009,2022-09-17 21:35:57,1ml/kg
SRV155279,PET65160,VAC0060,2023-06-08 20:48:43,1ml/kg
SRV104032,PET09438,VAC0086,2024-12-09 14:17:48,1ml/kg
SRV66981,PET96524,VAC0075,2024-10-24 02:08:48,1ml/kg
SRV27737,PET118925,VAC0037,2021-12-14 21:11:36,1ml/kg
SRV12293,PET07897,VAC0076,2024-07-12 11:47:32,1ml/kg
SRV87384,PET00014,VAC0094,2022-10-19 12:17:36,1ml/kg
SRV145990,PET91918,VAC0013,2023-04-13 01:12:36,1ml/kg
SRV134396,PET20014,VAC0072,2023-04-10 08:28:19,1ml/kg
SRV139330,PET84447,VAC0078,2022-01-21 01:13:03,1ml/kg
SRV105363,PET04435,VAC0091,2023-06-21 00:17:13,1ml/kg
SRV162794,PET63944,VAC0111,2021-01-21 08:26:41,1ml/kg
SRV24824,PET53653,VAC0077,2021-04-10 00:52:36,1ml/kg
SRV46877,PET69962,VAC0049,2023-06-09 09:54:04,1ml/kg
SRV173177,PET22392,VAC0051,2022-11-07 14:15:01,1ml/kg
SRV105025,PET14379,VAC0034,2022-07-01 06:01:12,1ml/kg
SRV98142,PET89698,VAC0056,2021-10-06 06:39:17,1ml/kg
SRV36285,PET03414,VAC0051,2022-05-10 17:36:55,1ml/kg
SRV15781,PET99177,VAC0120,2023-12-27 07:37:28,1ml/kg
SRV89966,PET106914,VAC0043,2022-05-08 12:24:56,1ml/kg
SRV196047,PET89843,VAC0068,2023-06-06 22:29:27,1ml/kg
SRV15011,PET32972,VAC0113,2022-03-30 20:31:37,1ml/kg
SRV71959,PET103502,VAC0076,2024-08-14 15:02:36,1ml/kg
SRV38158,PET100158,VAC0027,2022-08-08 16:30:13,1ml/kg
