TaskID,AssignmentID,TaskName,IsCompleted,CompletedTime
TSK00041,ASN00011,Kiểm tra sưng tấy,1,2022-11-10 01:02:49
TSK00042,ASN00011,Kiểm tra độ liền da,0,
TSK00043,ASN00011,Kiểm tra nhịp thở,1,2024-10-18 13:47:57
TSK00044,ASN00011,Đo nhiệt độ cơ thể,0,
TSK00045,ASN00012,Kiểm tra tuần hoàn,1,2024-04-21 14:22:10
TSK00046,ASN00012,Đánh giá mức độ đau,1,2021-12-09 04:02:27
TSK00047,ASN00012,Kiểm tra ăn uống,1,2022-08-16 02:32:24
TSK00048,ASN00012,Theo dõi sốt,0,
TSK00049,ASN00012,Kiểm tra độ liền da,1,2023-11-07 11:35:41
TSK00050,ASN00013,Kiểm tra rỉ dịch,1,2023-06-24 01:43:38
TSK00051,ASN00013,Đánh giá mức độ đau,1,2024-09-14 06:43:37
TSK00052,ASN00013,Kiểm tra sưng tấy,1,2021-11-14 13:46:22
TSK00053,ASN00013,Kiểm tra tuần hoàn,1,2024-12-11 12:27:25
TSK00054,ASN00014,Đánh giá mức độ đau,1,2022-12-21 00:40:57
TSK00055,ASN00014,Kiểm tra tuần hoàn,1,2024-08-19 02:09:56
TSK00056,ASN00014,Theo dõi sốt,1,2021-12-13 07:17:15
TSK00057,ASN00015,Kiểm tra phản xạ tỉnh táo,1,2023-11-24 08:00:37
TSK00058,ASN00015,Theo dõi sốt,1,2021-11-05 02:58:12
TSK00059,ASN00015,Kiểm tra rỉ dịch,1,2023-02-19 22:33:54
TSK00060,ASN00015,Kiểm tra nhịp thở,0,
TSK00061,ASN00015,Kiểm tra ăn uống,0,
TSK00062,ASN00016,Kiểm tra tuần hoàn,0,
TSK00063,ASN00016,Đánh giá mức độ đau,1,2023-10-14 16:06:51
TSK00064,ASN00016,Kiểm tra sưng tấy,1,2024-08-19 20:20:49
TSK00065,ASN00016,Kiểm tra rỉ dịch,0,
TSK00066,ASN00017,Kiểm tra độ liền da,1,2024-12-30 20:04:05
TSK00067,ASN00017,Kiểm tra nhịp thở,1,2023-09-05 07:24:13
TSK00068,ASN00017,Kiểm tra rỉ dịch,1,2022-04-05 05:45:45
TSK00069,ASN00018,Kiểm tra tuần hoàn,0,
TSK00070,ASN00018,Kiểm tra rỉ dịch,1,2021-01-03 03:17:52
TSK00071,ASN00018,Theo dõi sốt,1,2023-04-04 16:52:03
TSK00072,ASN00019,Theo dõi sốt,1,2021-07-30 05:17:36
TSK00073,ASN00019,Kiểm tra phản xạ tỉnh táo,0,
TSK00074,ASN00019,Kiểm tra sưng tấy,1,2022-02-25 23:44:56
TSK00075,ASN00019,Kiểm tra nhịp thở,1,2024-11-17 04:59:06
TSK00076,ASN00019,Đánh giá mức độ đau,1,2023-09-03 19:02:38
TSK00077,ASN00020,Kiểm tra đi vệ sinh,1,2021-12-30 12:41:47
TSK00078,ASN00020,Đánh giá mức độ đau,1,2021-08-10 00:00:47
TSK00079,ASN00020,Kiểm tra ăn uống,0,
TSK00080,ASN00020,Kiểm tra rỉ dịch,0,
TSK00081,ASN00021,Kiểm tra ăn uống,0,
TSK00082,ASN00021,Vệ sinh vết mổ,1,2023-01-09 04:39:21
TSK00083,ASN00021,Kiểm tra đi vệ sinh,1,2023-11-29 03:47:49
TSK00084,ASN00022,Kiểm tra đi vệ sinh,1,2022-06-25 23:10:28
TSK00085,ASN00022,Kiểm tra ăn uống,1,2022-03-02 03:23:35
TSK00086,ASN00022,Vệ sinh vết mổ,1,2022-07-26 21:53:36
TSK00087,ASN00022,Theo dõi sốt,1,2023-12-06 18:31:45
TSK00088,ASN00023,Kiểm tra đi vệ sinh,0,
TSK00089,ASN00023,Kiểm tra ăn uống,1,2022-10-14 15:51:23
TSK00090,ASN00023,Kiểm tra phản xạ tỉnh táo,1,2021-07-01 12:17:59
TSK00091,ASN00023,Vệ sinh vết mổ,0,
TSK00092,ASN00023,Đánh giá mức độ đau,1,2022-02-11 12:16:24
TSK00093,ASN00024,Kiểm tra đi vệ sinh,1,2022-01-15 11:31:42
TSK00094,ASN00024,Kiểm tra sưng tấy,1,2022-07-13 10:54:33
TSK00095,ASN00024,Kiểm tra độ liền da,1,2021-08-11 08:00:47
TSK00096,ASN00024,Kiểm tra nhịp thở,0,
TSK00097,ASN00024,Vệ sinh vết mổ,1,2023-10-17 19:03:27
TSK00098,ASN00025,Kiểm tra đi vệ sinh,1,2024-02-14 12:24:10
TSK00099,ASN00025,Đo nhiệt độ cơ thể,1,2023-10-13 20:48:22
TSK00100,ASN00025,Kiểm tra ăn uống,1,2022-12-14 03:44:42
TSK00101,ASN00026,Đánh giá mức độ đau,1,2022-04-24 23:29:28
TSK00102,ASN00026,Kiểm tra độ liền da,0,
TSK00103,ASN00026,Kiểm tra nhịp thở,0,
TSK00104,ASN00027,Kiểm tra phản xạ tỉnh táo,1,2021-11-29 11:36:22
TSK00105,ASN00027,Vệ sinh vết mổ,0,
TSK00106,ASN00027,Kiểm tra đi vệ sinh,1,2022-11-25 01:47:19
TSK00107,ASN00027,Kiểm tra độ liền da,1,2021-08-31 02:19:51
TSK00108,ASN00028,Kiểm tra nhịp thở,1,2023-01-21 23:27:14
TSK00109,ASN00028,Kiểm tra tuần hoàn,1,2023-02-14 20:23:13
TSK00110,ASN00028,Kiểm tra phản xạ tỉnh táo,0,
TSK00111,ASN00028,Kiểm tra độ liền da,0,
TSK00112,ASN00029,Vệ sinh vết mổ,1,2022-11-14 21:46:45
TSK00113,ASN00029,Kiểm tra ăn uống,1,2024-08-11 20:40:00
TSK00114,ASN00029,Kiểm tra đi vệ sinh,1,2022-11-02 17:52:27
TSK00115,ASN00029,Kiểm tra rỉ dịch,1,2022-08-26 16:25:10
TSK00116,ASN00029,Kiểm tra sưng tấy,0,
TSK00117,ASN00030,Kiểm tra tuần hoàn,0,
TSK00118,ASN00030,Kiểm tra ăn uống,1,2023-09-13 09:33:11
TSK00119,ASN00030,Đánh giá mức độ đau,1,2023-07-21 07:23:30
TSK00120,ASN00031,Kiểm tra độ liền da,1,2023-09-11 20:58:32
TSK00121,ASN00031,Kiểm tra rỉ dịch,1,2024-09-15 14:35:19
TSK00122,ASN00031,Kiểm tra tuần hoàn,1,2024-05-24 03:30:08
TSK00123,ASN00031,Kiểm tra sưng tấy,1,2024-05-16 23:05:47
TSK00124,ASN00031,Kiểm tra nhịp thở,1,2024-02-14 21:51:21
TSK00125,ASN00032,Kiểm tra độ liền da,1,2023-11-14 01:55:07
TSK00126,ASN00032,Theo dõi sốt,1,2023-02-22 15:16:44
TSK00127,ASN00032,Kiểm tra rỉ dịch,1,2024-04-05 12:24:14
TSK00128,ASN00033,Kiểm tra rỉ dịch,1,2023-09-05 14:42:29
TSK00129,ASN00033,Đánh giá mức độ đau,1,2022-02-15 07:03:37
TSK00130,ASN00033,Theo dõi sốt,0,
TSK00131,ASN00033,Kiểm tra tuần hoàn,1,2023-10-01 20:47:46
TSK00132,ASN00034,Theo dõi sốt,0,
TSK00133,ASN00034,Vệ sinh vết mổ,1,2022-10-20 16:32:51
TSK00134,ASN00034,Kiểm tra nhịp thở,0,
TSK00135,ASN00034,Kiểm tra tuần hoàn,1,2023-09-11 08:13:54
TSK00136,ASN00035,Kiểm tra nhịp thở,1,2024-11-07 03:20:44
TSK00137,ASN00035,Theo dõi sốt,1,2023-01-24 19:17:28
TSK00138,ASN00035,Kiểm tra phản xạ tỉnh táo,1,2024-08-28 19:24:37
TSK00139,ASN00035,Kiểm tra rỉ dịch,0,
TSK00140,ASN00035,Kiểm tra đi vệ sinh,1,2022-04-22 00:42:43
TSK00141,ASN00036,Kiểm tra rỉ dịch,1,2021-04-03 11:05:01
TSK00142,ASN00036,Kiểm tra nhịp thở,1,2023-06-03 12:48:35
TSK00143,ASN00036,Kiểm tra đi vệ sinh,1,2022-06-07 16:01:40
TSK00144,ASN00037,Theo dõi sốt,1,2024-10-17 22:33:11
TSK00145,ASN00037,Đo nhiệt độ cơ thể,1,2022-11-26 10:53:03
TSK00146,ASN00037,Kiểm tra sưng tấy,1,2024-07-31 05:52:45
TSK00147,ASN00037,Kiểm tra phản xạ tỉnh táo,0,
TSK00148,ASN00037,Kiểm tra tuần hoàn,1,2022-12-30 20:12:07
TSK00149,ASN00038,Kiểm tra đi vệ sinh,1,2024-04-02 04:50:51
TSK00150,ASN00038,Kiểm tra tuần hoàn,1,2022-10-19 10:01:00
TSK00151,ASN00038,Vệ sinh vết mổ,1,2022-01-25 21:33:08
TSK00152,ASN00039,Đánh giá mức độ đau,1,2024-05-26 08:24:28
TSK00153,ASN00039,Kiểm tra độ liền da,1,2023-10-01 23:01:47
TSK00154,ASN00039,Đo nhiệt độ cơ thể,1,2022-12-06 03:17:18
TSK00155,ASN00040,Kiểm tra nhịp thở,1,2024-09-01 15:04:09
TSK00156,ASN00040,Kiểm tra tuần hoàn,1,2022-10-25 00:51:21
TSK00157,ASN00040,Kiểm tra đi vệ sinh,0,
TSK00158,ASN00040,Vệ sinh vết mổ,1,2023-04-08 21:01:10
TSK00159,ASN00041,Đo nhiệt độ cơ thể,0,
TSK00160,ASN00041,Kiểm tra tuần hoàn,1,2023-07-13 05:56:10
TSK00161,ASN00041,Kiểm tra sưng tấy,1,2024-01-12 10:40:21
TSK00162,ASN00041,Vệ sinh vết mổ,0,
TSK00163,ASN00042,Vệ sinh vết mổ,1,2022-04-08 23:38:49
TSK00164,ASN00042,Đo nhiệt độ cơ thể,0,
TSK00165,ASN00042,Theo dõi sốt,1,2021-11-05 08:05:28
TSK00166,ASN00042,Kiểm tra tuần hoàn,0,
TSK00167,ASN00043,Kiểm tra tuần hoàn,0,
TSK00168,ASN00043,Kiểm tra ăn uống,1,2023-08-07 07:51:48
TSK00169,ASN00043,Đánh giá mức độ đau,1,2021-06-14 05:02:20
TSK00170,ASN00043,Kiểm tra độ liền da,1,2022-12-11 00:28:14
TSK00171,ASN00044,Kiểm tra phản xạ tỉnh táo,1,2023-10-14 10:07:47
TSK00172,ASN00044,Kiểm tra rỉ dịch,1,2021-04-27 09:20:59
TSK00173,ASN00044,Kiểm tra đi vệ sinh,1,2021-11-03 10:35:01
TSK00174,ASN00045,Kiểm tra ăn uống,0,
TSK00175,ASN00045,Kiểm tra phản xạ tỉnh táo,0,
TSK00176,ASN00045,Kiểm tra nhịp thở,1,2023-10-01 20:43:49
TSK00177,ASN00046,Kiểm tra tuần hoàn,1,2023-11-09 01:55:21
TSK00178,ASN00046,Đánh giá mức độ đau,1,2024-01-01 21:22:38
TSK00179,ASN00046,Kiểm tra ăn uống,1,2021-08-24 18:00:46
TSK00180,ASN00046,Theo dõi sốt,1,2024-07-21 01:45:15
TSK00181,ASN00046,Kiểm tra độ liền da,1,2024-04-26 03:36:52
TSK00182,ASN00047,Đánh giá mức độ đau,0,
TSK00183,ASN00047,Kiểm tra độ liền da,1,2023-03-11 21:36:46
TSK00184,ASN00047,Kiểm tra tuần hoàn,1,2024-08-05 06:36:34
TSK00185,ASN00047,Đo nhiệt độ cơ thể,1,2021-04-04 18:20:47
TSK00186,ASN00047,Kiểm tra sưng tấy,1,2023-05-06 00:53:53
TSK00187,ASN00048,Kiểm tra rỉ dịch,0,
TSK00188,ASN00048,Vệ sinh vết mổ,1,2022-03-09 12:46:28
TSK00189,ASN00048,Kiểm tra tuần hoàn,1,2024-10-24 23:19:18
TSK00190,ASN00049,Đo nhiệt độ cơ thể,1,2021-04-11 23:59:15
TSK00191,ASN00049,Theo dõi sốt,1,2023-06-16 05:14:51
TSK00192,ASN00049,Đánh giá mức độ đau,0,
TSK00193,ASN00049,Kiểm tra phản xạ tỉnh táo,1,2024-03-17 17:16:15
TSK00194,ASN00050,Kiểm tra tuần hoàn,1,2022-03-14 13:08:24
TSK00195,ASN00050,Kiểm tra rỉ dịch,0,
TSK00196,ASN00050,Kiểm tra ăn uống,0,
TSK00197,ASN00050,Theo dõi sốt,1,2021-08-07 03:31:05
TSK00198,ASN00051,Đánh giá mức độ đau,1,2022-01-11 12:24:13
TSK00199,ASN00051,Kiểm tra độ liền da,1,2024-08-22 18:35:52
TSK00200,ASN00051,Kiểm tra nhịp thở,0,
TSK00201,ASN00051,Kiểm tra sưng tấy,0,
TSK00202,ASN00051,Kiểm tra tuần hoàn,1,2022-03-26 23:00:23
TSK00203,ASN00052,Kiểm tra đi vệ sinh,0,
TSK00204,ASN00052,Vệ sinh vết mổ,0,
TSK00205,ASN00052,Theo dõi sốt,1,2021-08-30 16:34:05
TSK00206,ASN00053,Kiểm tra sưng tấy,0,
TSK00207,ASN00053,Kiểm tra đi vệ sinh,1,2021-01-21 08:45:40
TSK00208,ASN00053,Kiểm tra phản xạ tỉnh táo,0,
TSK00209,ASN00054,Đánh giá mức độ đau,0,
TSK00210,ASN00054,Kiểm tra ăn uống,1,2024-03-03 22:59:32
TSK00211,ASN00054,Đo nhiệt độ cơ thể,0,
TSK00212,ASN00054,Kiểm tra rỉ dịch,1,2023-07-20 18:45:31
TSK00213,ASN00054,Kiểm tra sưng tấy,1,2021-06-29 08:53:16
TSK00214,ASN00055,Kiểm tra rỉ dịch,1,2022-03-31 11:41:41
TSK00215,ASN00055,Vệ sinh vết mổ,1,2023-05-04 21:50:44
TSK00216,ASN00055,Đo nhiệt độ cơ thể,1,2023-12-29 02:39:04
TSK00217,ASN00056,Kiểm tra sưng tấy,0,
TSK00218,ASN00056,Kiểm tra đi vệ sinh,1,2023-04-12 13:36:56
TSK00219,ASN00056,Kiểm tra độ liền da,1,2021-08-03 03:44:44
TSK00220,ASN00057,Kiểm tra nhịp thở,1,2023-10-29 21:48:00
TSK00221,ASN00057,Kiểm tra tuần hoàn,1,2022-08-02 17:34:37
TSK00222,ASN00057,Kiểm tra rỉ dịch,0,
TSK00223,ASN00057,Kiểm tra đi vệ sinh,1,2022-01-25 05:57:33
TSK00224,ASN00058,Kiểm tra rỉ dịch,0,
TSK00225,ASN00058,Vệ sinh vết mổ,1,2021-09-09 03:37:23
TSK00226,ASN00058,Kiểm tra ăn uống,1,2023-12-01 13:18:27
TSK00227,ASN00059,Kiểm tra phản xạ tỉnh táo,0,
TSK00228,ASN00059,Kiểm tra rỉ dịch,0,
TSK00229,ASN00059,Kiểm tra tuần hoàn,1,2022-02-15 19:45:03
TSK00230,ASN00059,Kiểm tra ăn uống,0,
TSK00231,ASN00060,Kiểm tra phản xạ tỉnh táo,0,
TSK00232,ASN00060,Kiểm tra rỉ dịch,0,
TSK00233,ASN00060,Kiểm tra nhịp thở,1,2022-07-20 06:07:09
TSK00234,ASN00061,Vệ sinh vết mổ,0,
TSK00235,ASN00061,Kiểm tra đi vệ sinh,1,2023-09-02 14:30:41
TSK00236,ASN00061,Đánh giá mức độ đau,0,
TSK00237,ASN00062,Kiểm tra rỉ dịch,1,2022-11-13 22:30:01
TSK00238,ASN00062,Đo nhiệt độ cơ thể,1,2024-08-24 20:16:26
TSK00239,ASN00062,Theo dõi sốt,1,2023-06-30 15:37:04
TSK00240,ASN00063,Theo dõi sốt,1,2021-12-03 22:30:00
TSK00241,ASN00063,Kiểm tra độ liền da,0,
TSK00242,ASN00063,Vệ sinh vết mổ,0,
TSK00243,ASN00063,Đánh giá mức độ đau,1,2021-06-28 13:04:10
TSK00244,ASN00064,Vệ sinh vết mổ,0,
TSK00245,ASN00064,Kiểm tra phản xạ tỉnh táo,0,
TSK00246,ASN00064,Kiểm tra rỉ dịch,1,2021-01-17 01:50:23
TSK00247,ASN00065,Kiểm tra đi vệ sinh,1,2023-09-05 23:22:26
TSK00248,ASN00065,Kiểm tra rỉ dịch,1,2022-08-12 23:10:47
TSK00249,ASN00065,Kiểm tra tuần hoàn,1,2023-10-31 15:42:19
TSK00250,ASN00065,Đo nhiệt độ cơ thể,1,2023-03-30 02:51:40
TSK00251,ASN00065,Kiểm tra nhịp thở,1,2024-12-18 23:55:48
TSK00252,ASN00066,Kiểm tra đi vệ sinh,1,2023-06-25 03:07:27
TSK00253,ASN00066,Kiểm tra ăn uống,1,2022-03-29 11:16:43
TSK00254,ASN00066,Kiểm tra độ liền da,1,2024-07-16 14:03:00
TSK00255,ASN00067,Đánh giá mức độ đau,1,2024-08-09 23:32:15
TSK00256,ASN00067,Kiểm tra rỉ dịch,0,
TSK00257,ASN00067,Theo dõi sốt,1,2022-08-26 08:12:14
TSK00258,ASN00068,Kiểm tra tuần hoàn,1,2021-02-15 15:55:15
TSK00259,ASN00068,Kiểm tra rỉ dịch,0,
TSK00260,ASN00068,Kiểm tra độ liền da,1,2024-09-26 21:33:04
TSK00261,ASN00069,Kiểm tra độ liền da,1,2023-08-30 11:48:35
TSK00262,ASN00069,Kiểm tra tuần hoàn,1,2021-10-23 00:14:37
TSK00263,ASN00069,Kiểm tra nhịp thở,1,2021-07-07 21:50:21
TSK00264,ASN00070,Đo nhiệt độ cơ thể,0,
TSK00265,ASN00070,Kiểm tra nhịp thở,1,2024-07-10 18:41:31
TSK00266,ASN00070,Kiểm tra rỉ dịch,0,
TSK00267,ASN00070,Vệ sinh vết mổ,1,2023-01-24 03:43:16
TSK00268,ASN00071,Kiểm tra tuần hoàn,1,2022-05-10 02:51:39
TSK00269,ASN00071,Vệ sinh vết mổ,1,2024-08-23 13:30:46
TSK00270,ASN00071,Theo dõi sốt,0,
TSK00271,ASN00071,Đánh giá mức độ đau,1,2024-07-02 07:37:10
TSK00272,ASN00071,Kiểm tra đi vệ sinh,1,2024-06-20 22:02:24
TSK00273,ASN00072,Đo nhiệt độ cơ thể,1,2024-07-16 17:17:28
TSK00274,ASN00072,Kiểm tra rỉ dịch,1,2021-03-31 10:12:10
TSK00275,ASN00072,Kiểm tra nhịp thở,1,2021-03-13 04:01:38
TSK00276,ASN00072,Kiểm tra phản xạ tỉnh táo,1,2023-07-18 00:48:40
TSK00277,ASN00072,Đánh giá mức độ đau,1,2022-04-29 13:28:31
TSK00278,ASN00073,Kiểm tra phản xạ tỉnh táo,1,2022-06-07 16:23:09
TSK00279,ASN00073,Kiểm tra nhịp thở,1,2022-03-26 19:19:48
TSK00280,ASN00073,Theo dõi sốt,1,2024-11-05 17:48:45
TSK00281,ASN00073,Kiểm tra sưng tấy,1,2023-02-20 09:03:02
TSK00282,ASN00074,Kiểm tra đi vệ sinh,1,2024-10-25 10:39:47
TSK00283,ASN00074,Kiểm tra tuần hoàn,1,2022-04-15 15:36:33
TSK00284,ASN00074,Kiểm tra sưng tấy,1,2024-11-13 14:13:54
TSK00285,ASN00075,Kiểm tra sưng tấy,1,2022-06-05 22:53:36
TSK00286,ASN00075,Kiểm tra rỉ dịch,1,2024-08-03 10:41:12
TSK00287,ASN00075,Theo dõi sốt,1,2022-05-24 02:34:48
TSK00288,ASN00075,Kiểm tra đi vệ sinh,0,
TSK00289,ASN00075,Đánh giá mức độ đau,1,2021-10-22 05:36:56
TSK00290,ASN00076,Kiểm tra đi vệ sinh,1,2021-07-31 06:21:01
TSK00291,ASN00076,Vệ sinh vết mổ,0,
TSK00292,ASN00076,Theo dõi sốt,1,2021-02-23 07:17:01
TSK00293,ASN00076,Kiểm tra độ liền da,1,2021-03-15 05:06:11
TSK00294,ASN00077,Kiểm tra độ liền da,0,
TSK00295,ASN00077,Kiểm tra ăn uống,1,2021-12-31 14:47:31
TSK00296,ASN00077,Kiểm tra rỉ dịch,0,
TSK00297,ASN00078,Kiểm tra ăn uống,1,2024-08-24 04:08:35
TSK00298,ASN00078,Kiểm tra nhịp thở,1,2022-10-10 23:32:53
TSK00299,ASN00078,Đo nhiệt độ cơ thể,0,
TSK00300,ASN00078,Kiểm tra đi vệ sinh,1,2023-12-23 12:46:15
TSK00301,ASN00079,Kiểm tra rỉ dịch,1,2021-12-29 21:58:56
TSK00302,ASN00079,Vệ sinh vết mổ,1,2024-08-21 13:07:08
TSK00303,ASN00079,Kiểm tra phản xạ tỉnh táo,1,2024-10-25 22:48:14
TSK00304,ASN00079,Theo dõi sốt,0,
TSK00305,ASN00079,Đánh giá mức độ đau,0,
TSK00306,ASN00080,Theo dõi sốt,0,
TSK00307,ASN00080,Kiểm tra độ liền da,0,
TSK00308,ASN00080,Kiểm tra phản xạ tỉnh táo,0,
TSK00309,ASN00081,Đo nhiệt độ cơ thể,0,
TSK00310,ASN00081,Đánh giá mức độ đau,1,2021-11-17 15:09:47
TSK00311,ASN00081,Kiểm tra sưng tấy,1,2021-05-19 01:45:23
TSK00312,ASN00081,Kiểm tra tuần hoàn,1,2021-04-14 17:19:49
TSK00313,ASN00081,Kiểm tra rỉ dịch,0,
TSK00314,ASN00082,Kiểm tra độ liền da,1,2021-11-22 12:28:06
TSK00315,ASN00082,Theo dõi sốt,1,2021-04-15 16:06:53
TSK00316,ASN00082,Đánh giá mức độ đau,0,
TSK00317,ASN00082,Kiểm tra sưng tấy,1,2022-09-28 07:00:39
TSK00318,ASN00083,Kiểm tra đi vệ sinh,0,
TSK00319,ASN00083,Theo dõi sốt,1,2024-08-12 01:58:48
TSK00320,ASN00083,Đo nhiệt độ cơ thể,0,
TSK00321,ASN00083,Kiểm tra phản xạ tỉnh táo,1,2022-06-22 18:29:10
TSK00322,ASN00084,Kiểm tra rỉ dịch,1,2023-04-23 22:42:59
TSK00323,ASN00084,Kiểm tra phản xạ tỉnh táo,0,
TSK00324,ASN00084,Kiểm tra sưng tấy,0,
TSK00325,ASN00085,Kiểm tra tuần hoàn,1,2024-08-12 18:40:53
TSK00326,ASN00085,Kiểm tra ăn uống,1,2022-12-25 14:29:42
TSK00327,ASN00085,Kiểm tra phản xạ tỉnh táo,1,2023-02-15 09:53:13
TSK00328,ASN00086,Kiểm tra phản xạ tỉnh táo,1,2023-09-22 11:33:03
TSK00329,ASN00086,Kiểm tra độ liền da,0,
TSK00330,ASN00086,Đo nhiệt độ cơ thể,1,2023-03-21 18:12:06
TSK00331,ASN00087,Theo dõi sốt,0,
TSK00332,ASN00087,Đánh giá mức độ đau,0,
TSK00333,ASN00087,Kiểm tra phản xạ tỉnh táo,0,
TSK00334,ASN00087,Kiểm tra sưng tấy,0,
TSK00335,ASN00087,Kiểm tra ăn uống,0,
TSK00336,ASN00088,Đo nhiệt độ cơ thể,1,2021-09-18 21:29:16
TSK00337,ASN00088,Kiểm tra phản xạ tỉnh táo,1,2023-01-10 03:13:14
TSK00338,ASN00088,Kiểm tra đi vệ sinh,0,
TSK00339,ASN00089,Kiểm tra đi vệ sinh,0,
TSK00340,ASN00089,Vệ sinh vết mổ,1,2024-12-22 09:23:35
TSK00341,ASN00089,Đánh giá mức độ đau,0,
TSK00342,ASN00089,Kiểm tra rỉ dịch,1,2021-12-25 15:20:47
TSK00343,ASN00090,Vệ sinh vết mổ,1,2023-09-08 12:41:20
TSK00344,ASN00090,Theo dõi sốt,0,
TSK00345,ASN00090,Kiểm tra tuần hoàn,0,
TSK00346,ASN00091,Kiểm tra nhịp thở,0,
TSK00347,ASN00091,Kiểm tra ăn uống,1,2022-09-03 15:34:46
TSK00348,ASN00091,Đánh giá mức độ đau,0,
TSK00349,ASN00092,Đo nhiệt độ cơ thể,0,
TSK00350,ASN00092,Kiểm tra ăn uống,1,2023-04-26 22:07:48
TSK00351,ASN00092,Kiểm tra rỉ dịch,1,2022-01-05 20:05:14
TSK00352,ASN00092,Vệ sinh vết mổ,0,
TSK00353,ASN00093,Theo dõi sốt,0,
TSK00354,ASN00093,Kiểm tra sưng tấy,0,
TSK00355,ASN00093,Đánh giá mức độ đau,1,2021-07-27 17:23:03
TSK00356,ASN00093,Vệ sinh vết mổ,0,
TSK00357,ASN00093,Kiểm tra ăn uống,0,
TSK00358,ASN00094,Đo nhiệt độ cơ thể,1,2021-11-16 06:06:20
TSK00359,ASN00094,Kiểm tra độ liền da,1,2021-02-19 03:04:28
TSK00360,ASN00094,Kiểm tra rỉ dịch,1,2023-07-29 19:38:38
TSK00361,ASN00095,Theo dõi sốt,0,
TSK00362,ASN00095,Kiểm tra nhịp thở,0,
TSK00363,ASN00095,Vệ sinh vết mổ,0,
TSK00364,ASN00095,Kiểm tra đi vệ sinh,1,2023-07-04 16:13:43
TSK00365,ASN00096,Kiểm tra độ liền da,1,2023-10-24 08:58:26
TSK00366,ASN00096,Kiểm tra sưng tấy,0,
TSK00367,ASN00096,Kiểm tra đi vệ sinh,1,2023-03-13 04:14:24
TSK00368,ASN00097,Kiểm tra độ liền da,0,
TSK00369,ASN00097,Vệ sinh vết mổ,1,2022-05-16 12:54:20
TSK00370,ASN00097,Kiểm tra đi vệ sinh,1,2023-07-04 02:30:06
TSK00371,ASN00097,Kiểm tra ăn uống,1,2024-05-08 00:47:02
TSK00372,ASN00098,Đo nhiệt độ cơ thể,1,2022-07-17 21:22:55
TSK00373,ASN00098,Theo dõi sốt,1,2023-01-25 10:24:46
