AssignmentID,SurgeryID,NurseID,AssignedDate,Note
ASN00340,SRV179784,E0236,2021-05-03,Chú ý dấu hiệu nhiễm trùng
ASN00341,SRV179784,E0253,2021-06-15,Cần theo dõi đặc biệt
ASN00342,SRV79212,E0255,2023-07-01,Theo dõi nhịp tim và hô hấp
ASN00343,SRV63033,E0128,2024-01-10,Bệnh nhân VIP - chăm sóc kỹ
ASN00344,SRV63033,E0145,2022-04-11,Theo dõi sát 24h đầu
ASN00345,SRV99560,E0229,2021-02-13,Chú ý dấu hiệu nhiễm trùng
ASN00346,SRV74165,E0200,2024-12-23,Bệnh nhân VIP - chăm sóc kỹ
ASN00347,SRV101609,E0180,2023-01-06,Theo dõi bình thường
ASN00348,SRV23790,E0151,2022-05-30,Ca khó - chú ý nhé
ASN00349,SRV23790,E0251,2022-10-14,Theo dõi bình thường
ASN00350,SRV14442,E0233,2022-11-10,Cần theo dõi đặc biệt
