PetID,CustomerID,PetName,Species,Breed,Birthday,Gender,HealthStatus
PET00092,CUS77213,Mưa,Chim,Chim Bồ Câu,2022-09-25,Đực,Đang điều trị
PET00093,CUS08443,Mưa,Thỏ,Thỏ Xám,2022-08-24,Cái,Chưa tiêm phòng
PET00094,CUS77291,Leo,Chó,Corgi,2021-12-16,Đực,Cần theo dõi
PET00095,CUS06921,Cưng,Mèo,Maine Coon,2018-06-29,Đực,Sau phẫu thuật
PET00096,CUS73441,Nấm,Chó,Poodle,2019-01-08,Cái,Đang điều trị
PET00097,CUS36814,Oreo,Chim,Chim Sáo,2019-03-25,Cái,Phục hồi chấn thương
PET00098,CUS70513,Bin,Thỏ,Thỏ Lùn Hà Lan,2022-01-04,Đực,Chưa tiêm phòng
PET00099,CUS23371,Na,Rùa,Rùa Tai Đỏ,2020-04-09,Cái,Khỏe mạnh
PET00100,CUS49428,Nem,Rùa,Rùa Cạn,2022-04-07,Cái,Chưa tiêm phòng
PET00101,CUS68826,Latte,Mèo,Mèo Mướp,2021-03-14,Cái,Khỏe mạnh
PET00102,CUS60622,Simba,Chó,Beagle,2018-10-08,Cái,Bệnh mãn tính
PET00103,CUS59207,Nem,Chó,Corgi,2021-09-03,Cái,Chưa tiêm phòng
PET00104,CUS07792,Nắng,Thỏ,Thỏ Holland Lop,2022-07-03,Đực,Sau phẫu thuật
PET00105,CUS33430,Đen,Thỏ,Thỏ Holland Lop,2019-01-19,Đực,Cần theo dõi
PET00106,CUS62838,Miu,Chó,Phốc sóc,2019-10-03,Đực,Sau phẫu thuật
PET00107,CUS49520,Xoài,Chim,Chim Sáo,2021-03-14,Cái,Phục hồi chấn thương
PET00108,CUS18340,Lucky,Hamster,Hamster Trung Quốc,2023-02-04,Cái,Khỏe mạnh
PET00109,CUS66945,Dừa,Rùa,Rùa Núi Vimg,2020-09-08,Đực,Phục hồi chấn thương
PET00110,CUS52278,Max,Hamster,Hamster Trung Quốc,2019-01-25,Đực,Tiêm phòng đầy đủ
PET00111,CUS39025,Bánh,Thỏ,Thỏ Lùn Hà Lan,2021-08-03,Cái,Khỏe mạnh
PET00112,CUS49636,Bin,Rùa,Rùa Sulcata,2020-12-15,Đực,Phục hồi chấn thương
PET00113,CUS18225,Milu,Chó,Labrador,2018-11-14,Cái,Sau phẫu thuật
PET00114,CUS57934,Na,Mèo,Sphynx,2019-12-14,Cái,Khỏe mạnh
PET00115,CUS35047,Simba,Hamster,Hamster Trung Quốc,2018-08-06,Đực,Cần theo dõi
PET00116,CUS21468,Rocky,Chim,Chim Bồ Câu,2021-12-10,Đực,Khỏe mạnh
PET00117,CUS64531,Khoai,Thỏ,Thỏ Xám,2022-07-24,Đực,Cần theo dõi
PET00118,CUS05936,Nem,Chó,Chihuahua,2018-10-21,Đực,Phục hồi chấn thương
PET00119,CUS00787,Bin,Mèo,Siamese,2021-08-04,Đực,Tiêm phòng đầy đủ
PET00120,CUS27760,Honey,Chim,Chim Yến Phụng,2023-08-21,Cái,Sau phẫu thuật
PET00121,CUS79307,Canh,Chim,Vẹt Xám Châu Phi,2021-04-23,Cái,Phục hồi chấn thương
PET00122,CUS11573,Honey,Thỏ,Thỏ Holland Lop,2022-08-16,Đực,Khỏe mạnh
PET00123,CUS23837,Ki,Mèo,Mèo Tam Thể,2020-02-24,Cái,Bệnh mãn tính
PET00124,CUS58475,Canh,Thỏ,Thỏ Lop,2019-11-29,Đực,Cần theo dõi
PET00125,CUS77501,Latte,Rùa,Rùa Núi Vimg,2022-12-16,Cái,Khỏe mạnh
PET00126,CUS00183,Dừa,Chó,Chihuahua,2022-05-30,Cái,Bệnh mãn tính
PET00127,CUS60774,Nấm,Chim,Chim Sáo,2022-03-06,Cái,Bệnh mãn tính
PET00128,CUS15353,Nắng,Hamster,Hamster Winter White,2018-09-16,Cái,Chưa tiêm phòng
PET00129,CUS45472,Cheese,Rùa,Rùa Tai Đỏ,2019-05-26,Cái,Khỏe mạnh
PET00130,CUS19847,Mun,Rùa,Rùa Sulcata,2023-05-09,Đực,Chưa tiêm phòng
PET00131,CUS54285,Bún,Chó,Phốc sóc,2019-01-27,Đực,Cần theo dõi
PET00132,CUS43448,Nấm,Chim,Vẹt Xám Châu Phi,2022-08-07,Đực,Tiêm phòng đầy đủ
PET00133,CUS32973,Milu,Rùa,Rùa Núi Vimg,2018-05-21,Đực,Sau phẫu thuật
PET00134,CUS60180,Sao,Chó,Beagle,2021-04-25,Đực,Sau phẫu thuật
PET00135,CUS51439,Sương,Thỏ,Thỏ Lop,2022-04-27,Đực,Cần theo dõi
PET00136,CUS16806,Mực,Chim,Chim Yến Phụng,2023-02-15,Cái,Bệnh mãn tính
PET00137,CUS19758,Mưa,Chó,Chó Phú Quốc,2021-06-20,Cái,Bệnh mãn tính
PET00138,CUS25901,Nala,Chó,Rottweiler,2023-07-21,Cái,Đang điều trị
PET00139,CUS30344,Chè,Chim,Chim Sáo,2019-10-01,Đực,Tiêm phòng đầy đủ
PET00140,CUS47063,Mun,Chim,Vẹt Xám Châu Phi,2020-09-13,Đực,Khỏe mạnh
PET00141,CUS76494,Sushi,Hamster,Hamster Winter White,2018-04-09,Cái,Cần theo dõi
PET00142,CUS70329,Charlie,Thỏ,Thỏ Lop,2022-09-04,Cái,Khỏe mạnh
PET00143,CUS47171,Cưng,Mèo,Sphynx,2020-04-06,Cái,Phục hồi chấn thương
PET00144,CUS59691,Simba,Mèo,Mèo Anh lông ngắn,2018-03-25,Cái,Sau phẫu thuật
PET00145,CUS74242,Gió,Chim,Chim Sáo,2022-06-19,Đực,Sau phẫu thuật
PET00146,CUS42476,Cún,Chim,Vẹt,2019-06-04,Cái,Phục hồi chấn thương
PET00147,CUS68230,Đen,Rùa,Rùa Sulcata,2018-09-06,Cái,Bệnh mãn tính
PET00148,CUS53510,Trăng,Chó,Poodle,2020-08-29,Cái,Phục hồi chấn thương
PET00149,CUS41845,Mây,Chó,Alaska,2018-04-04,Đực,Khỏe mạnh
PET00150,CUS74379,Dừa,Hamster,Hamster Roborovski,2022-05-18,Đực,Bệnh mãn tính
PET00151,CUS68155,Lu,Thỏ,Thỏ Holland Lop,2021-12-18,Đực,Bệnh mãn tính
PET00152,CUS27711,Sữa,Rùa,Rùa Núi Vimg,2018-01-29,Đực,Cần theo dõi
PET00153,CUS08021,Mèo Mập,Rùa,Rùa Cạn,2023-01-30,Cái,Tiêm phòng đầy đủ
PET00154,CUS36910,Simba,Thỏ,Thỏ Lùn Hà Lan,2019-11-25,Cái,Chưa tiêm phòng
PET00155,CUS75301,Simba,Thỏ,Thỏ Lop,2023-01-26,Đực,Bệnh mãn tính
PET00156,CUS61386,Cò,Hamster,Hamster Trung Quốc,2021-10-08,Đực,Chưa tiêm phòng
PET00157,CUS02589,Ki,Chim,Chim Yến Phụng,2018-01-31,Đực,Chưa tiêm phòng
PET00158,CUS22041,Vàng,Thỏ,Thỏ Holland Lop,2019-08-24,Cái,Đang điều trị
PET00159,CUS50225,Lu Lu,Chim,Vẹt Cockatiel,2019-01-05,Cái,Khỏe mạnh
PET00160,CUS13912,Chanh,Chó,Chó Nhật,2019-01-09,Đực,Đang điều trị
PET00161,CUS50921,Xôi,Mèo,Bengal,2024-05-17,Cái,Đang điều trị
PET00162,CUS45050,Cà Rốt,Hamster,Hamster Winter White,2020-07-14,Cái,Khỏe mạnh
PET00163,CUS76428,Canh,Rùa,Rùa Tai Đỏ,2022-07-12,Cái,Cần theo dõi
PET00164,CUS06294,Mây,Rùa,Rùa Cạn,2023-11-05,Cái,Đang điều trị
PET00165,CUS23141,Bông,Rùa,Rùa Núi Vimg,2023-08-26,Đực,Cần theo dõi
PET00166,CUS24107,Milu,Mèo,Mèo Mướp,2024-05-16,Cái,Bệnh mãn tính
PET00167,CUS25829,Xôi,Mèo,Ragdoll,2021-08-11,Cái,Chưa tiêm phòng
PET00168,CUS72011,Sugar,Hamster,Hamster Campbell,2022-04-28,Cái,Sau phẫu thuật
PET00169,CUS58474,Hoa,Hamster,Hamster Syria,2023-08-21,Đực,Tiêm phòng đầy đủ
PET00170,CUS41719,Mun,Chó,Cocker Spaniel,2019-09-18,Đực,Cần theo dõi
PET00171,CUS14528,Mực,Chim,Chim Yến Phụng,2023-08-30,Cái,Tiêm phòng đầy đủ
PET00172,CUS35802,Dừa,Mèo,Bengal,2022-10-14,Cái,Cần theo dõi
PET00173,CUS78196,Mèo Mập,Hamster,Hamster Winter White,2023-09-14,Đực,Bệnh mãn tính
PET00174,CUS11617,Lá,Chó,Cocker Spaniel,2021-12-21,Đực,Phục hồi chấn thương
PET00175,CUS34471,Milo,Thỏ,Thỏ Lop,2023-07-12,Cái,Khỏe mạnh
PET00176,CUS37168,Gấu,Thỏ,Thỏ Holland Lop,2020-02-26,Cái,Cần theo dõi
PET00177,CUS68467,Bún,Thỏ,Thỏ Angora,2023-01-08,Cái,Tiêm phòng đầy đủ
PET00178,CUS14143,Simba,Hamster,Hamster Syria,2021-04-05,Cái,Tiêm phòng đầy đủ
PET00179,CUS31595,Buddy,Chim,Vẹt Hoàng Yến,2022-05-10,Cái,Sau phẫu thuật
PET00180,CUS74762,Milo,Mèo,Bengal,2023-03-18,Đực,Khỏe mạnh
PET00181,CUS71151,Milo,Chó,Pitbull,2021-03-14,Đực,Khỏe mạnh
PET00182,CUS63103,Bông Bông,Chim,Vẹt Hoàng Yến,2021-03-26,Đực,Chưa tiêm phòng
PET00183,CUS01505,Cơm,Thỏ,Thỏ Vặn,2020-03-31,Đực,Bệnh mãn tính
PET00184,CUS22225,Bông Bông,Hamster,Hamster Winter White,2019-01-07,Cái,Khỏe mạnh
PET00185,CUS12596,Rocky,Hamster,Hamster Winter White,2022-02-10,Đực,Bệnh mãn tính
PET00186,CUS09691,Bông,Mèo,Mèo ta,2018-10-30,Đực,Khỏe mạnh
PET00187,CUS63422,Trà,Rùa,Rùa Sulcata,2019-06-27,Đực,Sau phẫu thuật
PET00188,CUS52937,Nấm,Chó,Chihuahua,2019-05-25,Đực,Bệnh mãn tính
PET00189,CUS24934,Cò,Chó,Corgi,2021-06-13,Cái,Cần theo dõi
PET00190,CUS73785,Mèo Mập,Mèo,Bengal,2018-03-18,Cái,Tiêm phòng đầy đủ
PET00191,CUS69322,Nắng,Mèo,Maine Coon,2020-07-08,Đực,Đang điều trị
PET00192,CUS50785,Mưa,Chó,Shiba Inu,2022-07-04,Cái,Bệnh mãn tính
PET00193,CUS60972,Max,Rùa,Rùa Tai Đỏ,2019-07-03,Đực,Cần theo dõi
PET00194,CUS54763,Butter,Thỏ,Thỏ Holland Lop,2024-04-02,Đực,Đang điều trị
PET00195,CUS79024,Leo,Hamster,Hamster Winter White,2021-07-21,Cái,Sau phẫu thuật
PET00196,CUS11043,Miu,Chó,Béc giê Đức,2020-01-08,Cái,Chưa tiêm phòng
PET00197,CUS66277,Sushi,Rùa,Rùa Tai Đỏ,2022-03-19,Cái,Cần theo dõi
PET00198,CUS47704,Mocha,Hamster,Hamster Roborovski,2023-06-06,Cái,Chưa tiêm phòng
PET00199,CUS02751,Leo,Thỏ,Thỏ Đen,2023-11-25,Đực,Bệnh mãn tính
PET00200,CUS43447,Butter,Chim,Chim Bồ Câu,2018-09-19,Cái,Tiêm phòng đầy đủ
PET00201,CUS47228,Cò,Rùa,Rùa Sulcata,2021-01-01,Cái,Chưa tiêm phòng
PET00202,CUS73830,Gió,Rùa,Rùa Tai Đỏ,2020-02-04,Cái,Tiêm phòng đầy đủ
PET00203,CUS55112,Pudding,Rùa,Rùa Núi Vimg,2020-02-16,Đực,Khỏe mạnh
PET00204,CUS48278,Bim,Rùa,Rùa Cạn,2018-10-25,Cái,Sau phẫu thuật
PET00205,CUS06555,Cam,Chim,Chim Bồ Câu,2023-03-19,Cái,Khỏe mạnh
PET00206,CUS71363,Bim,Rùa,Rùa Cạn,2019-06-29,Cái,Chưa tiêm phòng
PET00207,CUS38343,Cún,Mèo,Mèo Mướp,2019-07-04,Cái,Đang điều trị
PET00208,CUS18441,Trà,Rùa,Rùa Cạn,2018-06-10,Cái,Cần theo dõi
PET00209,CUS70246,Nấm,Mèo,Mèo Anh lông dài,2023-04-22,Cái,Tiêm phòng đầy đủ
PET00210,CUS51571,Dừa,Mèo,Mèo Nga,2019-03-12,Đực,Sau phẫu thuật
PET00211,CUS60230,Butter,Chó,Poodle,2019-08-19,Cái,Khỏe mạnh
PET00212,CUS42032,Sugar,Chó,Chó cỏ,2020-11-02,Cái,Sau phẫu thuật
PET00213,CUS29967,Mun,Rùa,Rùa Núi Vimg,2019-05-23,Đực,Bệnh mãn tính
PET00214,CUS44045,Canh,Chó,Corgi,2020-05-28,Cái,Tiêm phòng đầy đủ
PET00215,CUS53385,Ki,Mèo,Mèo Ba Tư,2024-03-05,Đực,Đang điều trị
PET00216,CUS45281,Rocky,Chó,Poodle,2019-01-02,Đực,Đang điều trị
PET00217,CUS29090,Simba,Rùa,Rùa Cạn,2019-07-02,Cái,Chưa tiêm phòng
PET00218,CUS40691,Hoa,Thỏ,Thỏ Lùn Hà Lan,2022-03-19,Đực,Phục hồi chấn thương
PET00219,CUS45211,Bé Bi,Thỏ,Thỏ Vặn,2022-03-20,Đực,Phục hồi chấn thương
PET00220,CUS58379,Đậu,Rùa,Rùa Cạn,2022-07-12,Đực,Sau phẫu thuật
PET00221,CUS11535,Cơm,Hamster,Hamster Roborovski,2019-08-09,Cái,Khỏe mạnh
PET00222,CUS07922,Lu,Chó,Chó Nhật,2020-08-26,Cái,Phục hồi chấn thương
PET00223,CUS56543,Nala,Thỏ,Thỏ Holland Lop,2023-07-26,Đực,Đang điều trị
PET00224,CUS77166,Bông Bông,Hamster,Hamster Syria,2024-05-22,Cái,Chưa tiêm phòng
PET00225,CUS75716,Simba,Rùa,Rùa Sulcata,2023-10-24,Cái,Bệnh mãn tính
PET00226,CUS22811,Mocha,Hamster,Hamster Syria,2022-08-28,Cái,Khỏe mạnh
PET00227,CUS10208,Cún,Rùa,Rùa Tai Đỏ,2021-12-03,Đực,Tiêm phòng đầy đủ
PET00228,CUS22347,Luna,Mèo,Munchkin,2021-05-13,Cái,Bệnh mãn tính
PET00229,CUS29165,Mực,Thỏ,Thỏ Xám,2018-01-22,Đực,Cần theo dõi
PET00230,CUS51607,Milu,Hamster,Hamster Trung Quốc,2019-10-20,Đực,Tiêm phòng đầy đủ
PET00231,CUS78741,Cà Rốt,Rùa,Rùa Núi Vimg,2020-12-18,Đực,Tiêm phòng đầy đủ
PET00232,CUS46450,Cà Rốt,Hamster,Hamster Syria,2018-04-17,Cái,Sau phẫu thuật
PET00233,CUS73248,Mưa,Chó,Labrador,2023-08-23,Cái,Tiêm phòng đầy đủ
PET00234,CUS26997,Trà,Mèo,Mèo Ba Tư,2022-07-09,Đực,Cần theo dõi
PET00235,CUS62446,Cưng,Hamster,Hamster Campbell,2020-12-17,Cái,Chưa tiêm phòng
PET00236,CUS53664,Vàng,Rùa,Rùa Sulcata,2018-09-09,Đực,Chưa tiêm phòng
PET00237,CUS75946,Canh,Chó,Poodle,2020-05-18,Cái,Khỏe mạnh
PET00238,CUS79311,Caramel,Thỏ,Thỏ Holland Lop,2023-10-19,Cái,Chưa tiêm phòng
PET00239,CUS28012,Khoai,Chó,Golden Retriever,2023-04-16,Đực,Tiêm phòng đầy đủ
PET00240,CUS41525,Mây,Chó,Shiba Inu,2021-05-10,Đực,Tiêm phòng đầy đủ
PET00241,CUS24563,Đen,Hamster,Hamster Roborovski,2022-01-10,Cái,Cần theo dõi
PET00242,CUS48470,Đen,Rùa,Rùa Núi Vimg,2023-06-26,Đực,Khỏe mạnh
PET00243,CUS13285,Trăng,Rùa,Rùa Cạn,2021-01-29,Đực,Phục hồi chấn thương
PET00244,CUS32967,Đen,Rùa,Rùa Tai Đỏ,2019-05-01,Đực,Sau phẫu thuật
PET00245,CUS26990,Mèo Mập,Chim,Chim Sáo,2021-01-11,Cái,Sau phẫu thuật
PET00246,CUS63696,Lucky,Rùa,Rùa Cạn,2023-06-13,Đực,Sau phẫu thuật
PET00247,CUS11558,Cà Rốt,Chim,Vẹt Hoàng Yến,2023-09-27,Cái,Chưa tiêm phòng
PET00248,CUS59597,Mochi,Chim,Vẹt Hoàng Yến,2023-01-07,Cái,Khỏe mạnh
PET00249,CUS41486,Trăng,Thỏ,Thỏ Angora,2023-07-11,Đực,Phục hồi chấn thương
PET00250,CUS65130,Mocha,Thỏ,Thỏ Vặn,2019-02-27,Cái,Cần theo dõi
PET00251,CUS15919,Cà Rốt,Mèo,Mèo Anh lông ngắn,2020-02-23,Cái,Đang điều trị
PET00252,CUS37752,Khoai,Mèo,Mèo ta,2018-08-29,Đực,Chưa tiêm phòng
PET00253,CUS37261,Mực,Mèo,Mèo ta,2019-10-02,Đực,Đang điều trị
PET00254,CUS57266,Pudding,Chó,Shiba Inu,2019-10-13,Cái,Đang điều trị
PET00255,CUS54347,Sao,Chó,Rottweiler,2023-01-20,Cái,Khỏe mạnh
PET00256,CUS41736,Milo,Hamster,Hamster Trung Quốc,2024-04-09,Cái,Sau phẫu thuật
PET00257,CUS48149,Mực,Chim,Vẹt Hoàng Yến,2020-11-26,Đực,Phục hồi chấn thương
PET00258,CUS74711,Ki,Rùa,Rùa Núi Vimg,2018-10-03,Đực,Bệnh mãn tính
PET00259,CUS75156,Bánh,Chim,Vẹt Xám Châu Phi,2022-12-17,Đực,Sau phẫu thuật
PET00260,CUS26881,Nem,Hamster,Hamster Campbell,2021-07-24,Đực,Đang điều trị
PET00261,CUS09793,Caramel,Rùa,Rùa Núi Vimg,2018-05-04,Đực,Bệnh mãn tính
PET00262,CUS78867,Cheese,Hamster,Hamster Winter White,2018-12-27,Cái,Tiêm phòng đầy đủ
PET00263,CUS08716,Hoa,Thỏ,Thỏ Xám,2022-02-01,Cái,Phục hồi chấn thương
PET00264,CUS44458,Simba,Thỏ,Thỏ Lop,2019-10-11,Đực,Khỏe mạnh
PET00265,CUS57724,Butter,Chó,Corgi,2022-05-02,Đực,Phục hồi chấn thương
PET00266,CUS51323,Bo,Thỏ,Thỏ Xám,2022-01-03,Đực,Chưa tiêm phòng
PET00267,CUS28261,Canh,Hamster,Hamster Winter White,2024-01-01,Đực,Phục hồi chấn thương
PET00268,CUS40901,Dừa,Chim,Vẹt Xám Châu Phi,2022-06-18,Đực,Khỏe mạnh
