BranchID,EmployeeID,StartDate,EndDate
B005,E0292,2020-10-22,2021-05-16
B010,E0240,2023-03-21,2023-08-06
B009,E0295,2022-01-17,2022-05-08
B002,E0437,2021-02-05,2021-11-27
B009,E0305,2020-08-18,2021-04-11
B006,E0116,2023-04-23,2023-06-22
B009,E0306,2023-10-13,2024-06-23
B010,E0346,2022-06-11,2023-01-22
B003,E0048,2021-12-13,2022-04-23
B001,E0168,2020-06-02,2021-03-06
B001,E0018,2022-09-04,2023-01-19
B006,E0416,2023-04-19,2023-11-22
B006,E0406,2021-09-03,2022-02-15
B004,E0399,2023-03-22,2023-10-19
B004,E0445,2020-11-23,2021-09-10
B009,E0185,2022-05-16,2022-10-20
B004,E0242,2021-06-30,2021-10-25
B005,E0101,2022-06-21,2022-12-01
B004,E0451,2022-03-08,2022-04-21
B005,E0326,2020-10-08,2021-06-06
B010,E0044,2023-03-02,2024-01-12
B002,E0084,2022-09-27,2023-03-05
B007,E0458,2021-08-10,2022-04-11
B008,E0087,2020-03-06,2020-09-27
B007,E0060,2023-07-18,2024-01-27
B008,E0423,2021-05-19,2021-09-26
B005,E0460,2022-01-21,2022-09-14
B006,E0269,2021-04-10,2022-02-05
B004,E0115,2023-04-30,2023-07-19
B002,E0474,2023-04-09,2023-07-22
B006,E0232,2021-07-09,2022-01-14
B009,E0367,2021-01-05,2021-10-10
B005,E0438,2020-10-31,2021-09-26
B005,E0006,2023-09-16,2024-02-14
B006,E0018,2021-08-04,2022-01-02
B003,E0103,2023-10-14,2024-03-25
B005,E0360,2020-11-16,2021-11-16
B004,E0450,2021-02-25,2021-06-09
B009,E0003,2022-07-03,2022-09-13
B009,E0499,2020-04-11,2020-07-12
B003,E0249,2022-07-06,2022-09-14
B007,E0297,2022-05-22,2022-12-21
B009,E0005,2021-09-04,2022-08-27
B008,E0351,2020-08-13,2020-12-31
B003,E0088,2021-04-30,2021-09-19
B004,E0155,2021-05-21,2021-11-07
B005,E0145,2020-04-23,2020-06-06
B003,E0216,2023-11-03,2024-09-09
B007,E0086,2020-12-18,2021-10-24
B009,E0131,2021-06-04,2022-06-02
B004,E0232,2023-02-19,2023-03-24
B003,E0364,2020-02-15,2020-11-22
B010,E0365,2022-03-29,2022-09-21
B003,E0301,2023-01-15,2023-03-31
B005,E0078,2022-08-09,2023-03-15
B003,E0342,2021-06-22,2021-08-09
B010,E0391,2022-11-24,2023-05-17
B007,E0206,2022-03-07,2023-01-29
B002,E0028,2020-08-27,2021-05-27
B006,E0238,2022-01-16,2022-10-26
B004,E0412,2020-03-21,2020-09-12
B007,E0059,2021-12-04,2022-07-02
B010,E0256,2020-10-16,2020-11-25
B004,E0028,2022-05-31,2022-08-28
B005,E0322,2020-01-11,2020-08-27
B001,E0291,2022-12-02,2023-05-29
B009,E0425,2023-06-07,2023-12-27
B008,E0316,2021-08-27,2022-02-14
B004,E0427,2022-11-26,2023-05-01
B003,E0162,2023-04-15,2024-02-08
B001,E0293,2023-07-02,2024-02-17
B006,E0347,2020-11-07,2021-05-27
B003,E0001,2023-08-21,2024-01-21
B010,E0291,2022-12-29,2023-09-01
B010,E0343,2023-09-10,2024-05-06
B008,E0093,2023-08-26,2023-12-28
B005,E0003,2021-08-10,2022-08-10
B009,E0269,2023-08-24,2023-11-18
B002,E0360,2022-12-17,2023-09-19
B006,E0273,2021-03-26,2021-08-09
B009,E0330,2022-11-23,2023-05-09
B007,E0007,2023-12-11,2024-09-02
B006,E0349,2021-12-29,2022-04-06
B006,E0032,2022-01-17,2022-10-18
B003,E0309,2020-06-04,2021-05-11
B002,E0058,2022-01-31,2022-08-18
B001,E0465,2023-03-16,2023-07-06
B003,E0190,2020-05-31,2020-07-23
B010,E0121,2023-04-24,2024-02-11
B001,E0137,2020-10-13,2021-04-11
B005,E0248,2021-05-17,2022-05-06
B002,E0189,2020-11-18,2021-01-06
B006,E0233,2020-12-13,2021-11-19
B008,E0465,2020-09-18,2021-07-31
B006,E0353,2022-12-28,2023-08-21
B009,E0068,2020-10-26,2020-12-14
B006,E0255,2021-11-11,2021-12-21
B004,E0326,2023-03-29,2023-10-13
B001,E0464,2021-07-27,2021-12-13
B002,E0386,2020-03-17,2020-10-13
B003,E0498,2020-07-23,2021-07-22
B001,E0202,2022-03-04,2022-09-02
B008,E0367,2022-11-20,2023-05-08
B003,E0037,2022-02-14,2022-06-26
B007,E0182,2020-10-20,2021-05-07
B006,E0439,2021-03-11,2022-01-05
B002,E0401,2023-12-10,2024-10-03
B005,E0176,2023-12-21,2024-05-05
B007,E0077,2023-02-16,2023-04-02
B007,E0030,2020-11-28,2021-09-27
B007,E0090,2020-10-23,2021-04-17
B005,E0025,2023-12-19,2024-05-15
B008,E0072,2020-02-22,2020-11-19
B005,E0388,2023-08-25,2024-04-21
B005,E0138,2022-11-14,2023-05-08
B001,E0204,2020-01-09,2020-12-08
B003,E0181,2023-02-20,2023-12-15
B008,E0044,2022-06-05,2022-09-19
B009,E0183,2023-04-11,2023-08-19
B002,E0113,2023-06-30,2023-08-03
B003,E0207,2023-11-17,2024-07-06
B005,E0044,2020-08-12,2021-04-11
B005,E0150,2021-09-22,2021-11-10
B001,E0365,2020-10-19,2021-10-04
B006,E0420,2022-05-25,2023-02-09
B001,E0060,2020-01-01,2020-10-01
B005,E0393,2021-02-15,2021-05-06
B001,E0005,2020-10-07,2021-09-07
B006,E0225,2021-08-04,2022-03-10
B002,E0169,2020-08-12,2021-03-30
B004,E0111,2021-09-17,2022-07-27
B003,E0109,2021-02-03,2021-08-21
B001,E0360,2020-01-08,2020-07-08
B002,E0315,2022-01-11,2022-07-30
B004,E0131,2022-02-16,2022-09-27
B009,E0495,2021-05-16,2021-12-09
B002,E0007,2021-04-16,2021-11-13
B004,E0479,2020-01-28,2020-12-27
B001,E0239,2021-11-02,2022-04-16
B005,E0500,2021-06-20,2022-05-12
B009,E0245,2023-09-26,2024-03-09
B005,E0116,2020-12-14,2021-11-10
B008,E0355,2020-08-26,2021-06-26
B007,E0226,2022-12-24,2023-10-02
B002,E0283,2020-10-25,2021-07-22
B002,E0458,2023-03-21,2023-07-12
B010,E0333,2021-09-29,2022-06-21
B006,E0383,2023-01-15,2023-04-29
B005,E0255,2023-09-18,2024-07-07
B009,E0299,2022-03-25,2023-03-07
B002,E0480,2021-07-12,2022-01-19
B007,E0197,2021-08-27,2022-08-11
B004,E0133,2023-02-04,2023-10-27
B002,E0118,2023-09-22,2024-06-26
B003,E0433,2021-04-23,2022-03-18
B002,E0124,2023-09-29,2024-03-06
B008,E0049,2021-09-22,2022-02-13
B002,E0380,2020-06-22,2020-08-01
B007,E0287,2020-05-29,2021-04-15
B005,E0008,2022-11-11,2023-07-30
B009,E0393,2022-11-04,2023-04-07
B005,E0126,2021-11-25,2022-08-16
B007,E0107,2023-04-08,2024-02-25
B009,E0468,2020-04-30,2020-06-13
B007,E0064,2020-07-02,2021-06-10
B005,E0029,2021-10-30,2022-04-01
B009,E0162,2022-11-04,2023-01-04
B005,E0262,2023-02-03,2023-04-18
B006,E0484,2020-06-29,2021-04-12
B008,E0442,2020-11-24,2021-07-26
B008,E0272,2020-01-31,2020-07-07
B003,E0385,2023-06-20,2024-02-20
B001,E0309,2023-10-05,2024-01-16
B004,E0277,2023-05-01,2023-10-23
B004,E0324,2023-10-07,2024-04-20
B009,E0474,2021-08-05,2021-11-29
B010,E0312,2021-02-13,2021-10-16
B005,E0217,2023-08-09,2023-12-07
B007,E0320,2020-04-14,2020-07-11
B006,E0346,2021-11-15,2022-01-08
B002,E0400,2021-12-20,2022-10-28
B005,E0329,2020-02-27,2020-07-10
B001,E0431,2021-01-18,2022-01-01
B009,E0488,2021-12-17,2022-08-18
B009,E0244,2021-09-15,2022-07-05
B007,E0017,2020-03-11,2021-01-12
B010,E0404,2022-09-20,2023-03-31
B003,E0330,2020-04-12,2020-10-29
B004,E0367,2022-04-01,2022-08-02
B009,E0197,2022-10-14,2023-09-18
B002,E0418,2023-06-15,2024-01-20
B006,E0268,2023-01-02,2023-03-16
B006,E0415,2021-03-03,2021-04-02
B002,E0448,2023-09-20,2023-10-24
B002,E0138,2021-06-16,2021-09-14
B009,E0452,2020-11-29,2021-05-20
B003,E0492,2023-09-24,2024-03-17
B004,E0037,2022-06-17,2022-11-19
B010,E0081,2020-04-04,2020-05-09
B006,E0151,2020-05-05,2020-07-20
B007,E0136,2020-03-10,2020-04-25
B002,E0354,2022-02-15,2022-08-12
B004,E0282,2023-10-22,2024-06-07
B003,E0468,2021-12-23,2022-01-22
B003,E0194,2023-02-28,2023-12-03
B008,E0231,2022-06-10,2023-05-13
B009,E0429,2021-01-11,2021-12-29
B006,E0235,2022-04-28,2022-12-13
B002,E0375,2023-11-01,2024-05-08
B010,E0086,2022-09-26,2023-07-06
B001,E0460,2021-10-24,2022-03-22
B008,E0217,2022-03-30,2022-06-25
B001,E0366,2020-06-21,2020-11-07
B004,E0292,2022-01-22,2022-04-03
B004,E0290,2021-04-10,2022-01-31
B004,E0307,2023-09-03,2023-12-22
B008,E0058,2023-12-23,2024-02-13
B010,E0028,2022-11-28,2023-03-27
B004,E0465,2023-09-03,2023-11-09
B005,E0274,2023-02-15,2023-08-21
B002,E0035,2022-03-20,2022-07-06
B008,E0075,2020-12-22,2021-10-26
B008,E0097,2023-01-20,2023-09-18
