DrugID,DrugName,DrugType
DRG0244,Captopril,Tim mạch
DRG0245,Gentamycin,Kháng sinh
DRG0246,Captopril,Tim mạch
DRG0247,Vitamin B Complex,Vitamin
DRG0248,Trimethoprim,Kháng sinh
DRG0249,Gentamycin,Kháng sinh
DRG0250,Theophylline,Hô hấp
DRG0251,Vitamin B Complex,Vitamin
DRG0252,Trimethoprim,Kháng sinh
DRG0253,Theophylline,Hô hấp
DRG0254,Salbutamol,Hô hấp
DRG0255,Carprofen,Giảm đau
DRG0256,Captopril,Tim mạch
DRG0257,Doxapram,Hô hấp
DRG0258,Meloxicam,Giảm đau
DRG0259,Doxapram,Hô hấp
DRG0260,Trimethoprim,Kháng sinh
DRG0261,Vitamin B Complex,Vitamin
DRG0262,Captopril,Tim mạch
DRG0263,Salbutamol,Hô hấp
DRG0264,Theophylline,Hô hấp
DRG0265,Oxytetracycline,Kháng sinh
DRG0266,Vitamin A+D,Vitamin
DRG0267,Captopril,Tim mạch
DRG0268,Midazolam,Thần kinh
DRG0269,Dipyrone,Giảm đau
DRG0270,Bromhexine,Hô hấp
DRG0271,Methylprednisolone,Chống viêm
DRG0272,Vitamin E,Vitamin
DRG0273,Carprofen,Giảm đau
DRG0274,Ketamine,Thần kinh
DRG0275,Digoxin,Tim mạch
DRG0276,Trimethoprim,Kháng sinh
DRG0277,Enrofloxacin,Kháng sinh
DRG0278,Taurine,Vitamin
DRG0279,Diazepam,Thần kinh
DRG0280,Metoclopramide,Tiêu hoá
DRG0281,Doxapram,Hô hấp
DRG0282,Phenobarbital,Thần kinh
DRG0283,Furosemide,Tim mạch
DRG0284,Prednisone,Chống viêm
DRG0285,Gentamycin,Kháng sinh
DRG0286,Ranitidine,Tiêu hoá
DRG0287,Ranitidine,Tiêu hoá
DRG0288,Midazolam,Thần kinh
DRG0289,Phenylbutazone,Giảm đau
DRG0290,Propranolol,Tim mạch
DRG0291,Taurine,Vitamin
DRG0292,Gentamycin,Kháng sinh
DRG0293,Vitamin A+D,Vitamin
DRG0294,Trimethoprim,Kháng sinh
DRG0295,Methylprednisolone,Chống viêm
DRG0296,Salbutamol,Hô hấp
DRG0297,Vitamin B Complex,Vitamin
DRG0298,Ranitidine,Tiêu hoá
DRG0299,Propofol,Thần kinh
DRG0300,Oxytetracycline,Kháng sinh
