PrescriptionID,DrugID,Quantity,UsageInstruction
PRSC054992,DRG0171,7,"Uống sau khi ăn, ngày 2 lần"
PRSC060928,DRG0238,3,"Uống sau khi ăn, ngày 2 lần"
PRSC010777,DRG0075,7,"Uống sau khi ăn, ngày 2 lần"
PRSC036373,DRG0224,3,"Uống sau khi ăn, ngày 2 lần"
PRSC031580,DRG0134,2,"Uống sau khi ăn, ngày 2 lần"
PRSC069211,DRG0029,4,"Uống sau khi ăn, ngày 2 lần"
PRSC097772,DRG0098,4,"Uống sau khi ăn, ngày 2 lần"
PRSC009154,DRG0253,1,"Uống sau khi ăn, ngày 2 lần"
PRSC093276,DRG0162,2,"Uống sau khi ăn, ngày 2 lần"
PRSC026733,DRG0079,3,"Uống sau khi ăn, ngày 2 lần"
PRSC048954,DRG0179,10,"Uống sau khi ăn, ngày 2 lần"
PRSC080986,DRG0013,9,"Uống sau khi ăn, ngày 2 lần"
PRSC026481,DRG0149,3,"Uống sau khi ăn, ngày 2 lần"
PRSC082172,DRG0295,10,"Uống sau khi ăn, ngày 2 lần"
PRSC030322,DRG0218,10,"Uống sau khi ăn, ngày 2 lần"
PRSC035707,DRG0261,5,"Uống sau khi ăn, ngày 2 lần"
PRSC041874,DRG0007,3,"Uống sau khi ăn, ngày 2 lần"
PRSC063413,DRG0178,8,"Uống sau khi ăn, ngày 2 lần"
PRSC090830,DRG0053,3,"Uống sau khi ăn, ngày 2 lần"
PRSC023138,DRG0111,8,"Uống sau khi ăn, ngày 2 lần"
PRSC037033,DRG0174,8,"Uống sau khi ăn, ngày 2 lần"
PRSC069185,DRG0062,3,"Uống sau khi ăn, ngày 2 lần"
PRSC016376,DRG0091,4,"Uống sau khi ăn, ngày 2 lần"
PRSC069915,DRG0243,7,"Uống sau khi ăn, ngày 2 lần"
PRSC036746,DRG0014,2,"Uống sau khi ăn, ngày 2 lần"
PRSC073377,DRG0208,7,"Uống sau khi ăn, ngày 2 lần"
PRSC015071,DRG0274,3,"Uống sau khi ăn, ngày 2 lần"
PRSC004727,DRG0186,9,"Uống sau khi ăn, ngày 2 lần"
PRSC038873,DRG0278,7,"Uống sau khi ăn, ngày 2 lần"
PRSC011461,DRG0294,9,"Uống sau khi ăn, ngày 2 lần"
PRSC018632,DRG0254,10,"Uống sau khi ăn, ngày 2 lần"
PRSC007695,DRG0097,1,"Uống sau khi ăn, ngày 2 lần"
PRSC005773,DRG0204,2,"Uống sau khi ăn, ngày 2 lần"
PRSC095377,DRG0014,6,"Uống sau khi ăn, ngày 2 lần"
PRSC004252,DRG0228,10,"Uống sau khi ăn, ngày 2 lần"
PRSC096586,DRG0089,10,"Uống sau khi ăn, ngày 2 lần"
PRSC025887,DRG0190,3,"Uống sau khi ăn, ngày 2 lần"
PRSC080869,DRG0130,2,"Uống sau khi ăn, ngày 2 lần"
PRSC088593,DRG0240,2,"Uống sau khi ăn, ngày 2 lần"
PRSC092273,DRG0018,7,"Uống sau khi ăn, ngày 2 lần"
PRSC051305,DRG0108,4,"Uống sau khi ăn, ngày 2 lần"
PRSC037088,DRG0090,1,"Uống sau khi ăn, ngày 2 lần"
PRSC062968,DRG0162,8,"Uống sau khi ăn, ngày 2 lần"
PRSC051717,DRG0156,6,"Uống sau khi ăn, ngày 2 lần"
PRSC081095,DRG0236,9,"Uống sau khi ăn, ngày 2 lần"
PRSC025441,DRG0273,4,"Uống sau khi ăn, ngày 2 lần"
PRSC037295,DRG0051,3,"Uống sau khi ăn, ngày 2 lần"
PRSC018643,DRG0158,2,"Uống sau khi ăn, ngày 2 lần"
PRSC006638,DRG0131,8,"Uống sau khi ăn, ngày 2 lần"
PRSC080059,DRG0103,7,"Uống sau khi ăn, ngày 2 lần"
PRSC083747,DRG0108,9,"Uống sau khi ăn, ngày 2 lần"
PRSC083895,DRG0201,4,"Uống sau khi ăn, ngày 2 lần"
PRSC057437,DRG0014,3,"Uống sau khi ăn, ngày 2 lần"
PRSC072350,DRG0238,3,"Uống sau khi ăn, ngày 2 lần"
PRSC037292,DRG0101,2,"Uống sau khi ăn, ngày 2 lần"
PRSC008548,DRG0212,9,"Uống sau khi ăn, ngày 2 lần"
PRSC002361,DRG0203,8,"Uống sau khi ăn, ngày 2 lần"
PRSC067479,DRG0021,9,"Uống sau khi ăn, ngày 2 lần"
PRSC096988,DRG0236,7,"Uống sau khi ăn, ngày 2 lần"
PRSC030396,DRG0213,1,"Uống sau khi ăn, ngày 2 lần"
PRSC008108,DRG0019,1,"Uống sau khi ăn, ngày 2 lần"
PRSC023787,DRG0153,10,"Uống sau khi ăn, ngày 2 lần"
PRSC033125,DRG0246,10,"Uống sau khi ăn, ngày 2 lần"
PRSC045738,DRG0248,1,"Uống sau khi ăn, ngày 2 lần"
PRSC025181,DRG0021,6,"Uống sau khi ăn, ngày 2 lần"
PRSC003307,DRG0277,5,"Uống sau khi ăn, ngày 2 lần"
PRSC057139,DRG0008,9,"Uống sau khi ăn, ngày 2 lần"
PRSC015791,DRG0229,6,"Uống sau khi ăn, ngày 2 lần"
PRSC087304,DRG0036,5,"Uống sau khi ăn, ngày 2 lần"
PRSC023082,DRG0075,7,"Uống sau khi ăn, ngày 2 lần"
PRSC028515,DRG0024,6,"Uống sau khi ăn, ngày 2 lần"
PRSC012229,DRG0243,1,"Uống sau khi ăn, ngày 2 lần"
PRSC031659,DRG0102,8,"Uống sau khi ăn, ngày 2 lần"
PRSC056216,DRG0271,2,"Uống sau khi ăn, ngày 2 lần"
PRSC058688,DRG0227,6,"Uống sau khi ăn, ngày 2 lần"
PRSC092110,DRG0255,2,"Uống sau khi ăn, ngày 2 lần"
PRSC008417,DRG0051,1,"Uống sau khi ăn, ngày 2 lần"
PRSC073947,DRG0126,7,"Uống sau khi ăn, ngày 2 lần"
PRSC021042,DRG0050,6,"Uống sau khi ăn, ngày 2 lần"
PRSC072078,DRG0231,1,"Uống sau khi ăn, ngày 2 lần"
PRSC028354,DRG0081,7,"Uống sau khi ăn, ngày 2 lần"
PRSC025159,DRG0261,9,"Uống sau khi ăn, ngày 2 lần"
PRSC051940,DRG0286,5,"Uống sau khi ăn, ngày 2 lần"
PRSC074072,DRG0161,8,"Uống sau khi ăn, ngày 2 lần"
PRSC061173,DRG0035,9,"Uống sau khi ăn, ngày 2 lần"
PRSC073288,DRG0001,1,"Uống sau khi ăn, ngày 2 lần"
PRSC064477,DRG0070,5,"Uống sau khi ăn, ngày 2 lần"
PRSC044415,DRG0004,4,"Uống sau khi ăn, ngày 2 lần"
PRSC032730,DRG0255,8,"Uống sau khi ăn, ngày 2 lần"
PRSC035565,DRG0093,8,"Uống sau khi ăn, ngày 2 lần"
PRSC022280,DRG0232,7,"Uống sau khi ăn, ngày 2 lần"
PRSC023482,DRG0145,2,"Uống sau khi ăn, ngày 2 lần"
PRSC086767,DRG0046,7,"Uống sau khi ăn, ngày 2 lần"
PRSC041428,DRG0080,7,"Uống sau khi ăn, ngày 2 lần"
PRSC098478,DRG0086,4,"Uống sau khi ăn, ngày 2 lần"
PRSC058164,DRG0264,4,"Uống sau khi ăn, ngày 2 lần"
PRSC087735,DRG0055,4,"Uống sau khi ăn, ngày 2 lần"
PRSC022435,DRG0284,6,"Uống sau khi ăn, ngày 2 lần"
PRSC000194,DRG0245,3,"Uống sau khi ăn, ngày 2 lần"
PRSC090962,DRG0256,5,"Uống sau khi ăn, ngày 2 lần"
PRSC063882,DRG0033,7,"Uống sau khi ăn, ngày 2 lần"
PRSC017142,DRG0121,7,"Uống sau khi ăn, ngày 2 lần"
PRSC083145,DRG0218,7,"Uống sau khi ăn, ngày 2 lần"
PRSC012894,DRG0258,6,"Uống sau khi ăn, ngày 2 lần"
PRSC084061,DRG0228,2,"Uống sau khi ăn, ngày 2 lần"
PRSC023668,DRG0037,10,"Uống sau khi ăn, ngày 2 lần"
PRSC011074,DRG0194,7,"Uống sau khi ăn, ngày 2 lần"
PRSC048872,DRG0004,3,"Uống sau khi ăn, ngày 2 lần"
PRSC098760,DRG0286,1,"Uống sau khi ăn, ngày 2 lần"
PRSC055351,DRG0225,9,"Uống sau khi ăn, ngày 2 lần"
PRSC072204,DRG0246,3,"Uống sau khi ăn, ngày 2 lần"
PRSC009813,DRG0012,5,"Uống sau khi ăn, ngày 2 lần"
PRSC041816,DRG0271,1,"Uống sau khi ăn, ngày 2 lần"
PRSC091443,DRG0092,3,"Uống sau khi ăn, ngày 2 lần"
PRSC016739,DRG0045,9,"Uống sau khi ăn, ngày 2 lần"
PRSC028883,DRG0127,9,"Uống sau khi ăn, ngày 2 lần"
PRSC022835,DRG0247,10,"Uống sau khi ăn, ngày 2 lần"
PRSC026390,DRG0021,8,"Uống sau khi ăn, ngày 2 lần"
PRSC000167,DRG0122,1,"Uống sau khi ăn, ngày 2 lần"
PRSC009313,DRG0089,3,"Uống sau khi ăn, ngày 2 lần"
PRSC002954,DRG0201,7,"Uống sau khi ăn, ngày 2 lần"
PRSC076551,DRG0125,4,"Uống sau khi ăn, ngày 2 lần"
PRSC032280,DRG0249,10,"Uống sau khi ăn, ngày 2 lần"
PRSC042830,DRG0253,10,"Uống sau khi ăn, ngày 2 lần"
PRSC050231,DRG0187,7,"Uống sau khi ăn, ngày 2 lần"
PRSC087924,DRG0183,9,"Uống sau khi ăn, ngày 2 lần"
PRSC015971,DRG0222,9,"Uống sau khi ăn, ngày 2 lần"
PRSC085831,DRG0189,2,"Uống sau khi ăn, ngày 2 lần"
PRSC035423,DRG0287,9,"Uống sau khi ăn, ngày 2 lần"
PRSC016492,DRG0258,7,"Uống sau khi ăn, ngày 2 lần"
PRSC067284,DRG0257,6,"Uống sau khi ăn, ngày 2 lần"
PRSC030780,DRG0263,9,"Uống sau khi ăn, ngày 2 lần"
PRSC051122,DRG0166,5,"Uống sau khi ăn, ngày 2 lần"
PRSC008056,DRG0085,9,"Uống sau khi ăn, ngày 2 lần"
PRSC055776,DRG0055,3,"Uống sau khi ăn, ngày 2 lần"
PRSC038723,DRG0038,3,"Uống sau khi ăn, ngày 2 lần"
PRSC062297,DRG0065,10,"Uống sau khi ăn, ngày 2 lần"
PRSC012296,DRG0173,10,"Uống sau khi ăn, ngày 2 lần"
PRSC022312,DRG0197,5,"Uống sau khi ăn, ngày 2 lần"
PRSC037964,DRG0195,2,"Uống sau khi ăn, ngày 2 lần"
PRSC056256,DRG0108,10,"Uống sau khi ăn, ngày 2 lần"
PRSC062610,DRG0145,2,"Uống sau khi ăn, ngày 2 lần"
PRSC039249,DRG0108,10,"Uống sau khi ăn, ngày 2 lần"
PRSC093181,DRG0039,7,"Uống sau khi ăn, ngày 2 lần"
PRSC065712,DRG0100,6,"Uống sau khi ăn, ngày 2 lần"
PRSC026415,DRG0087,4,"Uống sau khi ăn, ngày 2 lần"
PRSC084834,DRG0224,2,"Uống sau khi ăn, ngày 2 lần"
PRSC013942,DRG0206,3,"Uống sau khi ăn, ngày 2 lần"
PRSC091674,DRG0137,5,"Uống sau khi ăn, ngày 2 lần"
PRSC042898,DRG0048,6,"Uống sau khi ăn, ngày 2 lần"
PRSC019622,DRG0140,3,"Uống sau khi ăn, ngày 2 lần"
PRSC028517,DRG0227,3,"Uống sau khi ăn, ngày 2 lần"
PRSC079872,DRG0268,10,"Uống sau khi ăn, ngày 2 lần"
PRSC006670,DRG0096,1,"Uống sau khi ăn, ngày 2 lần"
PRSC078525,DRG0226,9,"Uống sau khi ăn, ngày 2 lần"
PRSC018806,DRG0090,1,"Uống sau khi ăn, ngày 2 lần"
PRSC005071,DRG0246,5,"Uống sau khi ăn, ngày 2 lần"
PRSC064587,DRG0268,3,"Uống sau khi ăn, ngày 2 lần"
PRSC006387,DRG0098,2,"Uống sau khi ăn, ngày 2 lần"
PRSC042388,DRG0097,3,"Uống sau khi ăn, ngày 2 lần"
PRSC063210,DRG0237,8,"Uống sau khi ăn, ngày 2 lần"
PRSC055339,DRG0237,4,"Uống sau khi ăn, ngày 2 lần"
PRSC057802,DRG0039,8,"Uống sau khi ăn, ngày 2 lần"
PRSC013122,DRG0228,6,"Uống sau khi ăn, ngày 2 lần"
PRSC066328,DRG0210,7,"Uống sau khi ăn, ngày 2 lần"
PRSC047262,DRG0286,4,"Uống sau khi ăn, ngày 2 lần"
PRSC033677,DRG0091,10,"Uống sau khi ăn, ngày 2 lần"
PRSC076989,DRG0098,9,"Uống sau khi ăn, ngày 2 lần"
PRSC064815,DRG0044,1,"Uống sau khi ăn, ngày 2 lần"
PRSC032858,DRG0194,8,"Uống sau khi ăn, ngày 2 lần"
PRSC008397,DRG0084,2,"Uống sau khi ăn, ngày 2 lần"
PRSC022143,DRG0100,5,"Uống sau khi ăn, ngày 2 lần"
PRSC028885,DRG0147,2,"Uống sau khi ăn, ngày 2 lần"
PRSC057846,DRG0020,7,"Uống sau khi ăn, ngày 2 lần"
PRSC004991,DRG0286,8,"Uống sau khi ăn, ngày 2 lần"
PRSC017795,DRG0281,2,"Uống sau khi ăn, ngày 2 lần"
PRSC032109,DRG0158,9,"Uống sau khi ăn, ngày 2 lần"
PRSC022616,DRG0261,6,"Uống sau khi ăn, ngày 2 lần"
PRSC036073,DRG0118,8,"Uống sau khi ăn, ngày 2 lần"
PRSC090730,DRG0214,8,"Uống sau khi ăn, ngày 2 lần"
PRSC070947,DRG0046,1,"Uống sau khi ăn, ngày 2 lần"
PRSC031881,DRG0055,8,"Uống sau khi ăn, ngày 2 lần"
PRSC009746,DRG0040,2,"Uống sau khi ăn, ngày 2 lần"
PRSC036971,DRG0140,1,"Uống sau khi ăn, ngày 2 lần"
PRSC081167,DRG0057,6,"Uống sau khi ăn, ngày 2 lần"
PRSC054380,DRG0295,7,"Uống sau khi ăn, ngày 2 lần"
PRSC008319,DRG0113,1,"Uống sau khi ăn, ngày 2 lần"
PRSC092173,DRG0198,9,"Uống sau khi ăn, ngày 2 lần"
PRSC047511,DRG0251,4,"Uống sau khi ăn, ngày 2 lần"
PRSC023079,DRG0137,7,"Uống sau khi ăn, ngày 2 lần"
PRSC056582,DRG0088,6,"Uống sau khi ăn, ngày 2 lần"
PRSC091969,DRG0032,9,"Uống sau khi ăn, ngày 2 lần"
PRSC003728,DRG0048,10,"Uống sau khi ăn, ngày 2 lần"
PRSC002586,DRG0120,4,"Uống sau khi ăn, ngày 2 lần"
PRSC004281,DRG0058,10,"Uống sau khi ăn, ngày 2 lần"
PRSC056295,DRG0098,4,"Uống sau khi ăn, ngày 2 lần"
PRSC059314,DRG0211,6,"Uống sau khi ăn, ngày 2 lần"
PRSC078488,DRG0160,10,"Uống sau khi ăn, ngày 2 lần"
PRSC077108,DRG0242,3,"Uống sau khi ăn, ngày 2 lần"
PRSC065093,DRG0118,7,"Uống sau khi ăn, ngày 2 lần"
PRSC049085,DRG0109,6,"Uống sau khi ăn, ngày 2 lần"
PRSC029836,DRG0051,9,"Uống sau khi ăn, ngày 2 lần"
PRSC051399,DRG0087,7,"Uống sau khi ăn, ngày 2 lần"
PRSC003515,DRG0062,8,"Uống sau khi ăn, ngày 2 lần"
PRSC067478,DRG0157,4,"Uống sau khi ăn, ngày 2 lần"
PRSC073367,DRG0115,5,"Uống sau khi ăn, ngày 2 lần"
PRSC033030,DRG0131,7,"Uống sau khi ăn, ngày 2 lần"
PRSC077163,DRG0141,10,"Uống sau khi ăn, ngày 2 lần"
PRSC046001,DRG0022,7,"Uống sau khi ăn, ngày 2 lần"
PRSC088374,DRG0002,4,"Uống sau khi ăn, ngày 2 lần"
PRSC053957,DRG0185,10,"Uống sau khi ăn, ngày 2 lần"
PRSC073297,DRG0002,6,"Uống sau khi ăn, ngày 2 lần"
PRSC079043,DRG0092,4,"Uống sau khi ăn, ngày 2 lần"
PRSC069739,DRG0085,4,"Uống sau khi ăn, ngày 2 lần"
PRSC026838,DRG0103,9,"Uống sau khi ăn, ngày 2 lần"
PRSC081965,DRG0147,3,"Uống sau khi ăn, ngày 2 lần"
PRSC020334,DRG0268,2,"Uống sau khi ăn, ngày 2 lần"
PRSC045649,DRG0121,2,"Uống sau khi ăn, ngày 2 lần"
PRSC033049,DRG0235,1,"Uống sau khi ăn, ngày 2 lần"
PRSC062381,DRG0084,3,"Uống sau khi ăn, ngày 2 lần"
PRSC093335,DRG0039,4,"Uống sau khi ăn, ngày 2 lần"
PRSC078678,DRG0026,6,"Uống sau khi ăn, ngày 2 lần"
PRSC064596,DRG0211,5,"Uống sau khi ăn, ngày 2 lần"
PRSC018884,DRG0102,3,"Uống sau khi ăn, ngày 2 lần"
PRSC056713,DRG0124,7,"Uống sau khi ăn, ngày 2 lần"
PRSC007557,DRG0088,9,"Uống sau khi ăn, ngày 2 lần"
PRSC094877,DRG0210,9,"Uống sau khi ăn, ngày 2 lần"
PRSC081563,DRG0216,1,"Uống sau khi ăn, ngày 2 lần"
PRSC042288,DRG0019,9,"Uống sau khi ăn, ngày 2 lần"
PRSC034432,DRG0281,6,"Uống sau khi ăn, ngày 2 lần"
PRSC015524,DRG0171,2,"Uống sau khi ăn, ngày 2 lần"
PRSC075404,DRG0022,5,"Uống sau khi ăn, ngày 2 lần"
PRSC070144,DRG0055,8,"Uống sau khi ăn, ngày 2 lần"
PRSC058147,DRG0067,7,"Uống sau khi ăn, ngày 2 lần"
PRSC097211,DRG0088,8,"Uống sau khi ăn, ngày 2 lần"
PRSC016831,DRG0266,5,"Uống sau khi ăn, ngày 2 lần"
PRSC003115,DRG0059,10,"Uống sau khi ăn, ngày 2 lần"
PRSC074077,DRG0124,5,"Uống sau khi ăn, ngày 2 lần"
PRSC096793,DRG0219,5,"Uống sau khi ăn, ngày 2 lần"
PRSC005682,DRG0076,2,"Uống sau khi ăn, ngày 2 lần"
PRSC089258,DRG0150,5,"Uống sau khi ăn, ngày 2 lần"
PRSC073403,DRG0077,9,"Uống sau khi ăn, ngày 2 lần"
PRSC052898,DRG0084,8,"Uống sau khi ăn, ngày 2 lần"
PRSC028128,DRG0272,3,"Uống sau khi ăn, ngày 2 lần"
PRSC089539,DRG0264,2,"Uống sau khi ăn, ngày 2 lần"
PRSC017035,DRG0242,5,"Uống sau khi ăn, ngày 2 lần"
PRSC093838,DRG0038,2,"Uống sau khi ăn, ngày 2 lần"
