EmployeeID,StartDate,EndDate,Reason,Status,MID
E0321,2024-07-17,2024-07-20,Nghỉ bệnh,Pending,E0372
E0154,2024-06-05,2024-06-08,Nghỉ phép,Pending,E0323
E0406,2024-01-21,2024-01-26,Nghỉ phép,Rejected,E0424
E0189,2024-06-06,2024-06-10,Nghỉ phép,Approved,E0285
E0208,2023-09-29,2023-10-03,Nghỉ phép,Approved,E0424
E0137,2023-01-11,2023-01-15,Nghỉ phép,Rejected,E0272
E0395,2024-11-27,2024-11-28,Việc gia đình,Pending,E0272
E0436,2024-07-20,2024-07-25,Nghỉ phép,Rejected,E0467
E0288,2024-07-18,2024-07-19,Việc gia đình,Approved,E0323
E0037,2024-02-20,2024-02-24,Việc gia đình,Pending,E0285
E0320,2024-07-21,2024-07-25,Nghỉ bệnh,Approved,E0327
E0298,2024-06-24,2024-06-26,Nghỉ phép,Pending,E0424
E0147,2023-12-08,2023-12-12,Nghỉ bệnh,Approved,E0372
E0150,2024-10-18,2024-10-19,Nghỉ phép,Rejected,E0348
E0143,2024-04-22,2024-04-27,Nghỉ phép,Pending,E0467
E0320,2023-07-29,2023-07-31,Nghỉ bệnh,Pending,E0306
E0375,2023-05-04,2023-05-09,Nghỉ phép,Approved,E0323
E0496,2023-10-06,2023-10-08,Việc gia đình,Pending,E0372
E0131,2023-10-11,2023-10-15,Nghỉ bệnh,Rejected,E0306
E0296,2023-03-16,2023-03-21,Nghỉ phép,Approved,E0467
E0341,2023-06-17,2023-06-22,Việc gia đình,Rejected,E0372
E0288,2023-06-12,2023-06-14,Nghỉ bệnh,Pending,E0272
E0362,2024-03-02,2024-03-07,Việc gia đình,Pending,E0424
E0146,2024-05-01,2024-05-05,Nghỉ bệnh,Approved,E0327
E0366,2023-11-23,2023-11-25,Nghỉ bệnh,Approved,E0467
E0209,2024-04-24,2024-04-29,Việc gia đình,Approved,E0306
E0050,2023-01-16,2023-01-20,Việc gia đình,Approved,E0325
E0105,2024-06-26,2024-06-27,Việc gia đình,Rejected,E0327
E0478,2023-10-27,2023-10-29,Nghỉ bệnh,Rejected,E0327
E0017,2023-08-11,2023-08-15,Nghỉ phép,Rejected,E0424
E0194,2024-12-28,2024-12-30,Nghỉ bệnh,Pending,E0327
E0419,2024-12-24,2024-12-29,Nghỉ bệnh,Approved,E0285
E0240,2023-02-19,2023-02-22,Nghỉ bệnh,Approved,E0306
E0070,2023-01-17,2023-01-22,Việc gia đình,Rejected,E0306
E0146,2024-09-16,2024-09-17,Việc gia đình,Pending,E0306
E0386,2024-04-04,2024-04-08,Nghỉ phép,Rejected,E0306
E0091,2023-10-07,2023-10-09,Nghỉ bệnh,Pending,E0348
E0319,2023-03-05,2023-03-07,Việc gia đình,Pending,E0325
E0405,2024-08-08,2024-08-10,Nghỉ phép,Rejected,E0424
E0113,2023-03-01,2023-03-04,Nghỉ bệnh,Pending,E0325
E0099,2023-04-21,2023-04-24,Nghỉ phép,Pending,E0327
E0065,2023-04-11,2023-04-16,Nghỉ phép,Approved,E0306
E0336,2024-10-05,2024-10-09,Việc gia đình,Rejected,E0285
E0100,2024-09-12,2024-09-13,Nghỉ bệnh,Pending,E0424
E0397,2023-09-25,2023-09-30,Nghỉ phép,Rejected,E0372
E0068,2024-02-11,2024-02-12,Nghỉ phép,Rejected,E0285
E0136,2024-10-23,2024-10-25,Việc gia đình,Pending,E0424
E0498,2024-08-24,2024-08-25,Nghỉ bệnh,Approved,E0327
E0195,2023-08-14,2023-08-16,Nghỉ bệnh,Approved,E0285
E0229,2024-10-16,2024-10-21,Nghỉ bệnh,Pending,E0285
E0074,2023-08-26,2023-08-27,Nghỉ phép,Pending,E0285
E0498,2024-06-01,2024-06-03,Nghỉ phép,Approved,E0327
E0482,2023-06-26,2023-07-01,Nghỉ bệnh,Approved,E0424
E0276,2024-11-13,2024-11-18,Nghỉ bệnh,Pending,E0323
E0402,2024-07-05,2024-07-06,Nghỉ phép,Pending,E0325
E0462,2024-03-07,2024-03-09,Việc gia đình,Pending,E0372
E0366,2023-12-03,2023-12-04,Nghỉ phép,Rejected,E0327
E0152,2023-05-07,2023-05-08,Việc gia đình,Pending,E0327
E0329,2023-11-10,2023-11-11,Việc gia đình,Pending,E0327
E0443,2024-02-06,2024-02-10,Nghỉ bệnh,Rejected,E0325
E0079,2023-02-06,2023-02-11,Nghỉ phép,Approved,E0272
E0464,2023-09-10,2023-09-12,Việc gia đình,Pending,E0348
E0219,2023-06-17,2023-06-20,Nghỉ phép,Approved,E0325
E0332,2024-06-26,2024-07-01,Nghỉ bệnh,Pending,E0424
E0500,2024-10-11,2024-10-12,Nghỉ phép,Rejected,E0285
E0001,2024-01-27,2024-01-30,Việc gia đình,Rejected,E0467
E0190,2024-12-10,2024-12-12,Việc gia đình,Approved,E0372
E0092,2023-02-02,2023-02-04,Nghỉ phép,Rejected,E0272
E0156,2023-07-29,2023-07-30,Nghỉ phép,Approved,E0285
E0453,2024-09-07,2024-09-12,Nghỉ phép,Approved,E0325
E0115,2024-02-26,2024-02-28,Việc gia đình,Rejected,E0285
E0481,2023-12-19,2023-12-20,Việc gia đình,Pending,E0467
E0203,2024-01-29,2024-01-30,Việc gia đình,Approved,E0325
E0140,2023-04-30,2023-05-04,Nghỉ bệnh,Pending,E0325
E0376,2023-06-14,2023-06-17,Nghỉ bệnh,Approved,E0285
E0433,2024-05-06,2024-05-07,Nghỉ bệnh,Pending,E0348
E0073,2023-09-04,2023-09-09,Việc gia đình,Approved,E0272
E0117,2023-10-31,2023-11-01,Việc gia đình,Pending,E0272
E0025,2023-07-02,2023-07-03,Nghỉ bệnh,Approved,E0424
E0267,2023-05-08,2023-05-10,Nghỉ phép,Rejected,E0323
E0233,2023-08-09,2023-08-13,Nghỉ phép,Rejected,E0285
E0374,2023-11-02,2023-11-03,Nghỉ phép,Approved,E0327
E0128,2023-06-23,2023-06-28,Nghỉ bệnh,Approved,E0467
E0079,2024-06-07,2024-06-10,Nghỉ phép,Pending,E0306
E0452,2024-02-24,2024-02-25,Nghỉ bệnh,Rejected,E0327
E0446,2023-01-30,2023-02-03,Nghỉ bệnh,Rejected,E0325
E0078,2024-08-01,2024-08-06,Nghỉ phép,Rejected,E0467
E0372,2024-01-08,2024-01-10,Việc gia đình,Approved,E0323
E0433,2023-03-14,2023-03-18,Nghỉ bệnh,Pending,E0372
E0054,2024-12-07,2024-12-10,Việc gia đình,Rejected,E0272
E0255,2024-05-09,2024-05-10,Nghỉ phép,Rejected,E0327
E0196,2024-02-28,2024-03-03,Nghỉ bệnh,Approved,E0327
E0446,2023-05-15,2023-05-18,Nghỉ phép,Pending,E0467
E0349,2023-08-30,2023-08-31,Việc gia đình,Approved,E0325
E0416,2023-04-06,2023-04-08,Việc gia đình,Rejected,E0272
E0179,2023-10-21,2023-10-24,Nghỉ bệnh,Rejected,E0325
E0473,2023-07-30,2023-08-01,Việc gia đình,Rejected,E0424
E0159,2024-10-09,2024-10-10,Nghỉ phép,Approved,E0325
E0255,2024-06-01,2024-06-02,Việc gia đình,Pending,E0372
E0334,2023-10-30,2023-11-03,Nghỉ bệnh,Rejected,E0285
E0265,2024-07-31,2024-08-01,Việc gia đình,Approved,E0424
E0105,2023-02-22,2023-02-25,Nghỉ phép,Pending,E0306
E0183,2023-11-15,2023-11-20,Nghỉ bệnh,Approved,E0285
E0432,2023-02-12,2023-02-13,Việc gia đình,Pending,E0348
E0051,2024-12-14,2024-12-18,Nghỉ phép,Pending,E0285
E0152,2024-09-26,2024-10-01,Nghỉ phép,Approved,E0424
E0321,2024-11-12,2024-11-13,Việc gia đình,Rejected,E0467
E0013,2024-05-09,2024-05-13,Việc gia đình,Approved,E0424
E0261,2023-03-04,2023-03-05,Nghỉ phép,Rejected,E0285
E0061,2024-03-12,2024-03-13,Nghỉ bệnh,Pending,E0327
E0281,2024-05-20,2024-05-24,Nghỉ bệnh,Pending,E0306
E0285,2023-12-05,2023-12-09,Nghỉ phép,Approved,E0272
E0016,2024-12-02,2024-12-03,Nghỉ bệnh,Rejected,E0325
E0432,2024-09-04,2024-09-06,Việc gia đình,Approved,E0272
E0256,2023-06-04,2023-06-06,Nghỉ phép,Rejected,E0272
E0211,2024-12-21,2024-12-23,Nghỉ phép,Rejected,E0325
E0478,2024-03-02,2024-03-06,Nghỉ bệnh,Pending,E0272
E0059,2023-06-02,2023-06-07,Nghỉ phép,Rejected,E0306
E0108,2023-08-05,2023-08-07,Nghỉ phép,Rejected,E0306
E0419,2023-01-23,2023-01-25,Nghỉ bệnh,Rejected,E0325
E0190,2023-03-03,2023-03-08,Nghỉ bệnh,Rejected,E0325
E0300,2023-09-12,2023-09-13,Nghỉ bệnh,Pending,E0306
E0399,2023-10-20,2023-10-25,Nghỉ bệnh,Approved,E0327
E0188,2024-03-22,2024-03-26,Nghỉ bệnh,Approved,E0467
E0233,2023-01-01,2023-01-06,Nghỉ bệnh,Rejected,E0372
E0198,2024-06-16,2024-06-17,Việc gia đình,Pending,E0424
E0081,2023-06-04,2023-06-09,Nghỉ bệnh,Rejected,E0325
E0083,2023-02-10,2023-02-11,Việc gia đình,Approved,E0327
E0310,2023-04-27,2023-05-01,Nghỉ phép,Pending,E0325
E0097,2024-04-15,2024-04-20,Nghỉ bệnh,Approved,E0306
E0004,2023-11-15,2023-11-19,Nghỉ bệnh,Pending,E0325
E0146,2023-11-04,2023-11-07,Việc gia đình,Rejected,E0467
E0203,2023-07-12,2023-07-13,Nghỉ bệnh,Approved,E0424
E0475,2024-05-07,2024-05-10,Việc gia đình,Rejected,E0372
E0307,2023-01-22,2023-01-23,Nghỉ phép,Rejected,E0285
E0489,2024-12-13,2024-12-17,Nghỉ phép,Pending,E0325
E0218,2024-02-11,2024-02-13,Nghỉ bệnh,Rejected,E0323
E0350,2024-09-15,2024-09-18,Việc gia đình,Rejected,E0306
E0086,2024-05-29,2024-06-02,Nghỉ phép,Rejected,E0272
E0131,2024-05-13,2024-05-16,Nghỉ bệnh,Approved,E0272
E0228,2024-04-21,2024-04-23,Việc gia đình,Approved,E0372
E0001,2023-10-03,2023-10-04,Nghỉ bệnh,Pending,E0272
E0102,2024-09-23,2024-09-27,Việc gia đình,Approved,E0325
E0009,2024-09-13,2024-09-14,Nghỉ phép,Approved,E0285
E0273,2023-09-13,2023-09-14,Nghỉ bệnh,Rejected,E0372
E0468,2024-06-28,2024-06-30,Nghỉ phép,Pending,E0327
E0055,2023-06-17,2023-06-21,Nghỉ phép,Rejected,E0272
E0245,2023-05-24,2023-05-28,Việc gia đình,Pending,E0424
E0181,2024-05-23,2024-05-28,Nghỉ phép,Rejected,E0327
E0384,2023-05-24,2023-05-27,Việc gia đình,Rejected,E0424
E0465,2023-01-17,2023-01-22,Việc gia đình,Rejected,E0424
E0451,2023-08-21,2023-08-25,Nghỉ bệnh,Rejected,E0467
E0005,2024-12-30,2025-01-02,Nghỉ bệnh,Rejected,E0327
E0389,2024-12-23,2024-12-24,Việc gia đình,Pending,E0424
E0281,2024-08-18,2024-08-20,Nghỉ phép,Pending,E0372
E0236,2023-06-10,2023-06-13,Việc gia đình,Pending,E0323
E0005,2024-12-22,2024-12-27,Nghỉ phép,Rejected,E0325
E0086,2024-11-29,2024-12-01,Nghỉ bệnh,Pending,E0325
E0495,2024-05-27,2024-05-30,Nghỉ phép,Pending,E0327
E0010,2023-11-17,2023-11-22,Nghỉ phép,Pending,E0372
E0281,2023-11-25,2023-11-26,Nghỉ bệnh,Rejected,E0272
E0310,2024-02-19,2024-02-21,Nghỉ bệnh,Pending,E0467
E0321,2023-09-06,2023-09-07,Việc gia đình,Approved,E0323
E0091,2023-07-27,2023-07-30,Việc gia đình,Pending,E0348
E0449,2024-02-03,2024-02-05,Nghỉ phép,Pending,E0327
E0339,2023-02-24,2023-03-01,Việc gia đình,Pending,E0327
E0032,2023-06-04,2023-06-09,Nghỉ phép,Pending,E0327
E0351,2023-02-13,2023-02-15,Việc gia đình,Rejected,E0325
E0177,2023-01-24,2023-01-28,Việc gia đình,Approved,E0323
E0005,2023-10-21,2023-10-23,Nghỉ bệnh,Pending,E0306
E0285,2023-05-19,2023-05-24,Nghỉ phép,Approved,E0467
E0066,2024-03-21,2024-03-25,Nghỉ bệnh,Rejected,E0467
E0204,2023-11-25,2023-11-28,Nghỉ bệnh,Rejected,E0348
E0187,2023-03-04,2023-03-07,Nghỉ bệnh,Approved,E0327
E0296,2024-05-24,2024-05-26,Việc gia đình,Rejected,E0285
E0095,2023-09-06,2023-09-11,Việc gia đình,Pending,E0323
E0022,2024-03-20,2024-03-23,Nghỉ phép,Pending,E0327
E0027,2023-07-28,2023-08-01,Nghỉ phép,Rejected,E0325
E0096,2024-09-10,2024-09-12,Nghỉ phép,Rejected,E0323
E0387,2024-09-01,2024-09-05,Nghỉ phép,Approved,E0372
E0167,2024-07-08,2024-07-11,Việc gia đình,Rejected,E0272
E0145,2024-02-25,2024-02-28,Nghỉ bệnh,Approved,E0348
E0121,2024-04-18,2024-04-19,Nghỉ phép,Pending,E0372
E0339,2024-12-04,2024-12-05,Việc gia đình,Pending,E0327
E0247,2024-03-07,2024-03-11,Nghỉ phép,Rejected,E0272
E0326,2023-09-10,2023-09-12,Nghỉ phép,Rejected,E0467
E0138,2023-12-26,2023-12-27,Nghỉ phép,Approved,E0348
E0230,2024-07-16,2024-07-21,Nghỉ bệnh,Rejected,E0306
E0050,2023-07-30,2023-08-02,Nghỉ phép,Approved,E0327
E0408,2024-01-11,2024-01-13,Nghỉ phép,Approved,E0372
E0319,2023-01-12,2023-01-15,Việc gia đình,Pending,E0306
E0327,2024-05-19,2024-05-20,Việc gia đình,Rejected,E0348
E0461,2024-09-30,2024-10-01,Việc gia đình,Pending,E0372
E0400,2024-04-29,2024-05-03,Nghỉ bệnh,Pending,E0306
E0370,2023-01-26,2023-01-29,Nghỉ bệnh,Pending,E0306
E0096,2023-03-21,2023-03-23,Nghỉ phép,Rejected,E0272
E0409,2024-09-04,2024-09-07,Nghỉ bệnh,Approved,E0285
E0498,2023-10-30,2023-11-01,Việc gia đình,Rejected,E0272
E0113,2024-03-20,2024-03-24,Việc gia đình,Rejected,E0323
E0377,2024-11-09,2024-11-13,Việc gia đình,Rejected,E0285
E0101,2024-06-25,2024-06-30,Nghỉ phép,Rejected,E0285
E0077,2023-07-28,2023-07-29,Nghỉ bệnh,Rejected,E0348
E0195,2024-04-13,2024-04-14,Nghỉ phép,Pending,E0306
E0409,2024-02-11,2024-02-16,Việc gia đình,Pending,E0467
E0282,2023-12-31,2024-01-01,Việc gia đình,Pending,E0327
E0266,2023-07-07,2023-07-10,Việc gia đình,Pending,E0272
E0409,2024-04-03,2024-04-06,Nghỉ phép,Approved,E0467
E0252,2024-07-18,2024-07-21,Nghỉ phép,Approved,E0348
E0133,2024-07-11,2024-07-14,Nghỉ phép,Rejected,E0325
E0050,2024-04-07,2024-04-10,Việc gia đình,Approved,E0323
E0091,2023-07-07,2023-07-12,Nghỉ phép,Pending,E0325
E0133,2024-08-13,2024-08-16,Việc gia đình,Approved,E0372
E0378,2024-07-30,2024-07-31,Việc gia đình,Rejected,E0467
E0098,2023-08-28,2023-08-31,Nghỉ phép,Approved,E0327
E0365,2024-06-07,2024-06-10,Nghỉ phép,Rejected,E0285
E0345,2023-02-14,2023-02-16,Nghỉ phép,Rejected,E0272
E0430,2023-11-22,2023-11-24,Nghỉ bệnh,Approved,E0467
E0218,2023-12-21,2023-12-25,Nghỉ bệnh,Rejected,E0325
E0399,2024-10-18,2024-10-19,Nghỉ phép,Approved,E0372
E0147,2023-03-15,2023-03-19,Nghỉ phép,Rejected,E0325
E0455,2024-03-09,2024-03-13,Việc gia đình,Approved,E0424
E0104,2023-08-28,2023-08-29,Việc gia đình,Rejected,E0467
E0216,2024-08-08,2024-08-11,Việc gia đình,Rejected,E0424
E0152,2023-05-10,2023-05-13,Việc gia đình,Approved,E0327
E0034,2023-11-09,2023-11-10,Nghỉ bệnh,Approved,E0348
E0343,2023-07-12,2023-07-17,Nghỉ phép,Approved,E0348
E0254,2024-10-06,2024-10-11,Nghỉ bệnh,Approved,E0372
E0102,2024-02-22,2024-02-25,Việc gia đình,Rejected,E0306
E0410,2024-08-08,2024-08-09,Nghỉ bệnh,Pending,E0327
E0445,2023-07-14,2023-07-17,Nghỉ phép,Pending,E0467
E0379,2023-10-07,2023-10-09,Việc gia đình,Pending,E0424
E0226,2023-09-25,2023-09-26,Nghỉ phép,Approved,E0327
E0133,2024-03-17,2024-03-22,Việc gia đình,Rejected,E0272
E0389,2023-10-13,2023-10-15,Nghỉ phép,Rejected,E0306
E0099,2023-11-08,2023-11-09,Nghỉ bệnh,Approved,E0323
E0209,2023-01-04,2023-01-08,Việc gia đình,Rejected,E0424
E0286,2023-08-02,2023-08-06,Nghỉ bệnh,Approved,E0424
E0257,2024-10-03,2024-10-07,Nghỉ phép,Approved,E0323
E0347,2024-12-15,2024-12-18,Nghỉ phép,Rejected,E0306
E0370,2023-05-16,2023-05-18,Nghỉ bệnh,Rejected,E0323
E0076,2023-09-03,2023-09-05,Nghỉ phép,Rejected,E0323
E0054,2024-10-12,2024-10-14,Nghỉ bệnh,Approved,E0327
E0298,2023-09-22,2023-09-26,Nghỉ phép,Rejected,E0424
E0071,2023-09-29,2023-09-30,Nghỉ phép,Approved,E0323
E0426,2023-06-04,2023-06-08,Nghỉ bệnh,Approved,E0323
E0311,2023-11-29,2023-12-04,Nghỉ phép,Pending,E0306
E0457,2023-02-09,2023-02-14,Nghỉ phép,Rejected,E0272
E0210,2023-01-18,2023-01-23,Việc gia đình,Rejected,E0272
E0340,2023-01-22,2023-01-25,Nghỉ phép,Approved,E0323
E0085,2023-07-08,2023-07-12,Nghỉ phép,Pending,E0372
E0125,2024-03-21,2024-03-22,Nghỉ bệnh,Rejected,E0372
E0330,2023-07-23,2023-07-27,Nghỉ bệnh,Rejected,E0285
E0320,2023-09-07,2023-09-08,Nghỉ phép,Rejected,E0306
E0488,2024-11-16,2024-11-18,Nghỉ bệnh,Pending,E0325
E0089,2023-10-30,2023-10-31,Nghỉ bệnh,Pending,E0372
E0337,2024-09-25,2024-09-29,Nghỉ bệnh,Pending,E0467
E0257,2024-11-13,2024-11-18,Nghỉ phép,Rejected,E0424
E0198,2023-12-27,2024-01-01,Nghỉ phép,Rejected,E0325
E0103,2024-02-20,2024-02-23,Việc gia đình,Pending,E0325
E0202,2024-11-28,2024-12-02,Nghỉ bệnh,Approved,E0424
E0051,2024-02-04,2024-02-06,Nghỉ phép,Pending,E0348
E0141,2024-12-07,2024-12-09,Nghỉ phép,Rejected,E0325
E0004,2023-02-19,2023-02-21,Việc gia đình,Approved,E0285
E0449,2023-07-10,2023-07-12,Nghỉ phép,Approved,E0306
E0156,2023-03-18,2023-03-19,Nghỉ phép,Approved,E0467
E0228,2023-10-26,2023-10-28,Nghỉ bệnh,Rejected,E0325
E0003,2023-08-08,2023-08-12,Việc gia đình,Rejected,E0272
E0457,2024-07-30,2024-07-31,Nghỉ bệnh,Rejected,E0306
E0163,2023-04-02,2023-04-04,Nghỉ bệnh,Rejected,E0272
E0167,2023-08-09,2023-08-11,Nghỉ phép,Rejected,E0285
E0187,2023-12-25,2023-12-28,Nghỉ phép,Pending,E0327
E0073,2023-01-15,2023-01-18,Nghỉ bệnh,Rejected,E0272
E0164,2024-02-13,2024-02-14,Việc gia đình,Approved,E0323
E0157,2024-08-08,2024-08-12,Nghỉ phép,Approved,E0272
E0405,2023-07-19,2023-07-22,Việc gia đình,Approved,E0325
E0185,2024-12-16,2024-12-18,Việc gia đình,Approved,E0306
E0166,2024-07-07,2024-07-11,Nghỉ phép,Approved,E0372
E0298,2024-04-14,2024-04-16,Nghỉ bệnh,Rejected,E0467
E0457,2023-10-11,2023-10-15,Nghỉ phép,Pending,E0424
E0253,2023-08-19,2023-08-21,Việc gia đình,Rejected,E0325
E0089,2024-01-08,2024-01-12,Nghỉ bệnh,Approved,E0372
E0244,2023-06-09,2023-06-10,Việc gia đình,Pending,E0272
E0395,2023-03-16,2023-03-18,Nghỉ bệnh,Pending,E0348
E0060,2024-10-01,2024-10-04,Nghỉ bệnh,Approved,E0467
E0112,2024-02-26,2024-03-01,Nghỉ bệnh,Approved,E0327
E0035,2023-04-25,2023-04-27,Việc gia đình,Pending,E0325
E0418,2024-04-20,2024-04-25,Nghỉ bệnh,Approved,E0348
