CertificateID,Name,IssueDate,IssueOrganization
CER0029,Bằng Đại học Thú y,2016-04-03,Đại học California
CER0030,Chứng chỉ X-quang Thú y,2020-06-03,Viện Nông nghiệp Australia
CER0031,Chứng chỉ Chẩn đoán lâm sàng,2018-07-02,Tổ chức Thú y Quốc tế (OIE)
CER0032,Bằng Tiến sĩ Thú y,2021-02-01,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0033,Chứng chỉ Anestesia Thú y,2014-01-29,Đại học California
CER0034,Chứng chỉ Siêu âm chẩn đoán,2017-12-16,Trung tâm Kiểm dịch Động vật
CER0035,Chứng chỉ Phòng chống bệnh truyền nhiễm,2017-08-20,Hiệp hội Thú y Việt Nam
CER0036,Chứng chỉ Chẩn đoán lâm sàng,2016-03-13,Trường Veterinary Medicine USA
CER0037,Bằng Tiến sĩ Thú y,2021-08-03,Bộ Nông nghiệp và Phát triển Nông thôn
CER0038,Bằng Đại học Thú y,2015-06-01,Bệnh viện Thú y Quốc gia
CER0039,Chứng chỉ Sinh sản Thú y,2020-12-16,Trường Veterinary Medicine USA
CER0040,Chứng chỉ X-quang Thú y,2020-09-05,Trường Đại học Kasetsart Thái Lan
CER0041,Chứng chỉ Nội khoa Thú y,2020-01-20,Trung tâm Kiểm dịch Động vật
CER0042,Bằng Tiến sĩ Thú y,2012-02-02,Hiệp hội Thú y Việt Nam
CER0043,Chứng chỉ X-quang Thú y,2019-01-26,Bệnh viện Thú y Quốc gia
CER0044,Chứng chỉ X-quang Thú y,2016-11-13,Trường Đại học Kasetsart Thái Lan
CER0045,Chứng chỉ Dịch tễ học Thú y,2018-04-12,Đại học California
CER0046,Chứng chỉ Bệnh học Thú y,2021-11-28,Tổ chức Thú y Quốc tế (OIE)
CER0047,Chứng chỉ Sinh sản Thú y,2022-05-06,Tổ chức Thú y Quốc tế (OIE)
CER0048,Chứng chỉ Dinh dưỡng Thú y,2020-03-06,Hiệp hội Thú y Việt Nam
CER0049,Chứng chỉ Quản lý bệnh viện Thú y,2015-08-22,Bộ Nông nghiệp và Phát triển Nông thôn
CER0050,Chứng chỉ Phẫu thuật Thú y,2014-04-27,Tổ chức Thú y Quốc tế (OIE)
CER0051,Chứng chỉ Phẫu thuật Thú y,2022-01-07,Trung tâm Kiểm dịch Động vật
CER0052,Chứng chỉ Nha y Thú y,2014-04-19,Bộ Nông nghiệp và Phát triển Nông thôn
CER0053,Chứng chỉ Nội khoa Thú y,2016-03-15,Bệnh viện Thú y Quốc gia
CER0054,Chứng chỉ Dịch tễ học Thú y,2021-10-07,Viện Nông nghiệp Australia
CER0055,Chứng chỉ Quản lý bệnh viện Thú y,2012-04-03,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0056,Chứng chỉ Siêu âm chẩn đoán,2016-08-23,Bộ Nông nghiệp và Phát triển Nông thôn
CER0057,Chứng chỉ Dinh dưỡng Thú y,2014-01-09,Hiệp hội Thú y Việt Nam
CER0058,Bằng Tiến sĩ Thú y,2021-12-24,Viện Pasteur Nha Trang
CER0059,Chứng chỉ Phòng chống bệnh truyền nhiễm,2011-01-08,Trường Đại học Nông Lâm TP.HCM
CER0060,Chứng chỉ Bệnh học Thú y,2016-07-21,Bệnh viện Thú y Quốc gia
CER0061,Chứng chỉ Phẫu thuật Tim mạch,2021-01-04,Trường Đại học Thú y Hà Nội
CER0062,Bằng Tiến sĩ Thú y,2022-11-16,Hiệp hội Thú y Việt Nam
CER0063,Chứng chỉ Nội khoa Thú y,2020-09-26,Đại học California
CER0064,Chứng chỉ Anestesia Thú y,2014-02-19,Trường Đại học Nông Lâm TP.HCM
CER0065,Chứng chỉ Phòng chống bệnh truyền nhiễm,2020-09-18,Trường Đại học Thú y Hà Nội
CER0066,Bằng Đại học Thú y,2018-12-27,Đại học California
CER0067,Bằng Đại học Thú y,2022-12-10,Trường Đại học Kasetsart Thái Lan
CER0068,Bằng Thạc sĩ Thú y,2013-05-27,Viện Pasteur Nha Trang
CER0069,Chứng chỉ Dịch tễ học Thú y,2016-10-25,Trường Đại học Thú y Hà Nội
CER0070,Chứng chỉ X-quang Thú y,2012-08-28,Trường Veterinary Medicine USA
CER0071,Chứng chỉ Sinh sản Thú y,2023-08-07,Viện Nông nghiệp Australia
CER0072,Chứng chỉ Chẩn đoán lâm sàng,2015-01-23,Trung tâm Kiểm dịch Động vật
CER0073,Chứng chỉ Ngoại khoa Thú y,2018-07-14,Đại học California
CER0074,Chứng chỉ Bệnh da liễu Thú y,2016-09-01,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0075,Chứng chỉ Dịch tễ học Thú y,2019-08-14,Hiệp hội Thú y Việt Nam
CER0076,Chứng chỉ Dịch tễ học Thú y,2023-12-06,Trường Đại học Nông Lâm TP.HCM
CER0077,Chứng chỉ Chẩn đoán lâm sàng,2012-03-23,Trung tâm Kiểm dịch Động vật
CER0078,Chứng chỉ Siêu âm chẩn đoán,2014-09-25,Hiệp hội Thú y Việt Nam
CER0079,Bằng Đại học Thú y,2013-07-10,Bộ Nông nghiệp và Phát triển Nông thôn
CER0080,Chứng chỉ Nha y Thú y,2022-05-19,Trường Đại học Thú y Hà Nội
CER0081,Chứng chỉ Nha y Thú y,2010-01-22,Đại học Cornell
CER0082,Chứng chỉ Bệnh da liễu Thú y,2023-04-27,Đại học California
CER0083,Chứng chỉ Quản lý bệnh viện Thú y,2010-09-25,Bộ Nông nghiệp và Phát triển Nông thôn
CER0084,Chứng chỉ Quản lý bệnh viện Thú y,2016-05-05,Bệnh viện Thú y Quốc gia
CER0085,Chứng chỉ Bệnh da liễu Thú y,2011-08-07,Trường Đại học Kasetsart Thái Lan
CER0086,Chứng chỉ X-quang Thú y,2015-12-08,Trung tâm Kiểm dịch Động vật
CER0087,Chứng chỉ Dịch tễ học Thú y,2014-06-09,Đại học Cornell
CER0088,Chứng chỉ Phẫu thuật Thú y,2022-03-20,Bộ Nông nghiệp và Phát triển Nông thôn
CER0089,Chứng chỉ Phẫu thuật Tim mạch,2015-12-17,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0090,Chứng chỉ Phẫu thuật Tim mạch,2011-08-08,Trường Đại học Nông Lâm TP.HCM
CER0091,Chứng chỉ Nha y Thú y,2016-11-24,Viện Nông nghiệp Australia
CER0092,Chứng chỉ Dịch tễ học Thú y,2016-06-22,Đại học California
CER0093,Chứng chỉ Phẫu thuật Thú y,2020-07-06,Bệnh viện Thú y Quốc gia
CER0094,Chứng chỉ Quản lý bệnh viện Thú y,2019-01-11,Hiệp hội Thú y Việt Nam
CER0095,Chứng chỉ Ngoại khoa Thú y,2022-02-10,Đại học California
CER0096,Chứng chỉ Bệnh da liễu Thú y,2011-10-21,Viện Nông nghiệp Australia
CER0097,Bằng Thạc sĩ Thú y,2019-09-10,Bệnh viện Thú y Quốc gia
CER0098,Chứng chỉ Anestesia Thú y,2023-07-17,Hiệp hội Thú y Việt Nam
CER0099,Bằng Tiến sĩ Thú y,2012-01-19,Bộ Nông nghiệp và Phát triển Nông thôn
CER0100,Chứng chỉ Dịch tễ học Thú y,2023-03-03,Trường Đại học Nông Lâm TP.HCM
CER0101,Chứng chỉ Phòng chống bệnh truyền nhiễm,2022-12-04,Trường Đại học Nông Lâm TP.HCM
CER0102,Chứng chỉ Nha y Thú y,2020-07-21,Trường Veterinary Medicine USA
CER0103,Chứng chỉ Bệnh da liễu Thú y,2016-03-28,Viện Pasteur Nha Trang
CER0104,Chứng chỉ Dịch tễ học Thú y,2019-10-11,Trường Đại học Kasetsart Thái Lan
CER0105,Chứng chỉ Nội khoa Thú y,2012-01-18,Đại học California
CER0106,Chứng chỉ Dinh dưỡng Thú y,2019-02-28,Tổ chức Thú y Quốc tế (OIE)
CER0107,Chứng chỉ Anestesia Thú y,2012-05-06,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0108,Chứng chỉ Nha y Thú y,2017-05-25,Đại học Cornell
CER0109,Chứng chỉ Nội khoa Thú y,2016-06-19,Trường Đại học Kasetsart Thái Lan
CER0110,Chứng chỉ Pháp y Thú y,2022-05-04,Trường Đại học Nông Lâm TP.HCM
CER0111,Chứng chỉ Bệnh da liễu Thú y,2011-12-23,Tổ chức Thú y Quốc tế (OIE)
CER0112,Chứng chỉ Phòng chống bệnh truyền nhiễm,2017-04-02,Trường Đại học Thú y Hà Nội
CER0113,Chứng chỉ Pháp y Thú y,2021-07-17,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0114,Bằng Tiến sĩ Thú y,2022-03-03,Đại học California
CER0115,Chứng chỉ Sinh sản Thú y,2011-03-21,Bộ Nông nghiệp và Phát triển Nông thôn
CER0116,Chứng chỉ Ngoại khoa Thú y,2018-02-11,Viện Nông nghiệp Australia
CER0117,Chứng chỉ Nội khoa Thú y,2019-12-01,Trung tâm Kiểm dịch Động vật
CER0118,Bằng Thạc sĩ Thú y,2014-07-26,Hiệp hội Thú y Việt Nam
CER0119,Chứng chỉ Bệnh học Thú y,2012-12-09,Hiệp hội Thú y Việt Nam
CER0120,Chứng chỉ Bệnh da liễu Thú y,2020-11-14,Trường Đại học Thú y Hà Nội
CER0121,Bằng Tiến sĩ Thú y,2023-08-28,Trung tâm Kiểm dịch Động vật
CER0122,Chứng chỉ X-quang Thú y,2013-07-21,Hiệp hội Thú y Việt Nam
CER0123,Chứng chỉ Bệnh học Thú y,2010-04-23,Trường Veterinary Medicine USA
CER0124,Chứng chỉ Sinh sản Thú y,2012-02-03,Bộ Nông nghiệp và Phát triển Nông thôn
CER0125,Chứng chỉ Phẫu thuật Thú y,2020-05-08,Trường Đại học Thú y Hà Nội
CER0126,Chứng chỉ Phẫu thuật Tim mạch,2021-03-06,Bệnh viện Thú y Quốc gia
CER0127,Chứng chỉ Quản lý bệnh viện Thú y,2021-05-31,Bệnh viện Thú y Quốc gia
CER0128,Chứng chỉ Phòng chống bệnh truyền nhiễm,2019-04-27,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0129,Chứng chỉ Nội khoa Thú y,2020-08-04,Bộ Nông nghiệp và Phát triển Nông thôn
CER0130,Chứng chỉ Bệnh da liễu Thú y,2022-05-13,Viện Pasteur Nha Trang
CER0131,Chứng chỉ Pháp y Thú y,2014-04-11,Viện Nông nghiệp Australia
CER0132,Chứng chỉ Ngoại khoa Thú y,2013-01-23,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0133,Bằng Đại học Thú y,2016-03-13,Trung tâm Kiểm dịch Động vật
CER0134,Chứng chỉ Sinh sản Thú y,2017-08-16,Trung tâm Kiểm dịch Động vật
CER0135,Chứng chỉ Ngoại khoa Thú y,2015-12-29,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0136,Bằng Tiến sĩ Thú y,2016-05-06,Bệnh viện Thú y Quốc gia
CER0137,Chứng chỉ Quản lý bệnh viện Thú y,2023-03-02,Viện Nông nghiệp Australia
CER0138,Chứng chỉ Nội khoa Thú y,2013-05-02,Đại học California
CER0139,Chứng chỉ Bệnh học Thú y,2020-11-11,Tổ chức Thú y Quốc tế (OIE)
CER0140,Chứng chỉ Anestesia Thú y,2022-05-19,Trung tâm Kiểm dịch Động vật
CER0141,Chứng chỉ Bệnh học Thú y,2018-06-18,Đại học California
CER0142,Chứng chỉ Anestesia Thú y,2014-03-26,Bệnh viện Thú y Quốc gia
CER0143,Chứng chỉ X-quang Thú y,2022-10-29,Đại học Cornell
CER0144,Chứng chỉ X-quang Thú y,2019-03-20,Trường Đại học Nông Lâm TP.HCM
CER0145,Chứng chỉ Anestesia Thú y,2020-08-10,Bệnh viện Thú y Quốc gia
CER0146,Chứng chỉ Pháp y Thú y,2018-08-29,Trường Đại học Kasetsart Thái Lan
CER0147,Chứng chỉ Phẫu thuật Tim mạch,2021-02-09,Trường Đại học Nông Lâm TP.HCM
CER0148,Chứng chỉ Phẫu thuật Tim mạch,2021-04-07,Viện Nông nghiệp Australia
CER0149,Chứng chỉ Anestesia Thú y,2012-04-02,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0150,Chứng chỉ Bệnh da liễu Thú y,2012-03-27,Trường Veterinary Medicine USA
CER0151,Chứng chỉ Bệnh da liễu Thú y,2010-05-06,Bệnh viện Thú y Quốc gia
CER0152,Chứng chỉ Phẫu thuật Tim mạch,2019-03-13,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0153,Chứng chỉ Phẫu thuật Tim mạch,2011-09-05,Đại học California
CER0154,Chứng chỉ Phòng chống bệnh truyền nhiễm,2017-08-05,Viện Nông nghiệp Australia
CER0155,Chứng chỉ Pháp y Thú y,2011-10-20,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0156,Chứng chỉ Anestesia Thú y,2021-12-20,Đại học Cornell
CER0157,Chứng chỉ Anestesia Thú y,2020-12-11,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0158,Chứng chỉ Bệnh học Thú y,2010-10-22,Viện Nông nghiệp Australia
CER0159,Bằng Đại học Thú y,2015-04-08,Trường Đại học Kasetsart Thái Lan
CER0160,Chứng chỉ Quản lý bệnh viện Thú y,2015-02-07,Bệnh viện Thú y Quốc gia
CER0161,Bằng Đại học Thú y,2019-09-26,Trường Đại học Thú y Hà Nội
CER0162,Chứng chỉ Phẫu thuật Thú y,2019-12-14,Viện Pasteur Nha Trang
CER0163,Chứng chỉ Quản lý bệnh viện Thú y,2010-08-26,Trường Đại học Nông Lâm TP.HCM
CER0164,Chứng chỉ Anestesia Thú y,2011-04-05,Hiệp hội Thú y Việt Nam
CER0165,Chứng chỉ Dinh dưỡng Thú y,2018-05-29,Đại học Cornell
CER0166,Chứng chỉ Phẫu thuật Tim mạch,2015-06-24,Trường Veterinary Medicine USA
CER0167,Chứng chỉ Sinh sản Thú y,2022-09-11,Trường Đại học Kasetsart Thái Lan
CER0168,Chứng chỉ Nha y Thú y,2013-10-24,Viện Pasteur Nha Trang
CER0169,Bằng Đại học Thú y,2023-09-02,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0170,Chứng chỉ Pháp y Thú y,2023-11-25,Trường Đại học Kasetsart Thái Lan
CER0171,Chứng chỉ X-quang Thú y,2021-02-28,Viện Nông nghiệp Australia
CER0172,Chứng chỉ Phẫu thuật Tim mạch,2015-03-18,Đại học California
CER0173,Chứng chỉ Phòng chống bệnh truyền nhiễm,2020-04-22,Hiệp hội Thú y Việt Nam
CER0174,Bằng Tiến sĩ Thú y,2020-06-08,Hiệp hội Thú y Việt Nam
CER0175,Chứng chỉ Bệnh học Thú y,2013-07-18,Trường Đại học Thú y Hà Nội
CER0176,Chứng chỉ Bệnh da liễu Thú y,2017-10-01,Viện Nông nghiệp Australia
CER0177,Chứng chỉ Quản lý bệnh viện Thú y,2019-07-08,Bệnh viện Thú y Quốc gia
CER0178,Chứng chỉ Phòng chống bệnh truyền nhiễm,2020-03-31,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0179,Chứng chỉ Quản lý bệnh viện Thú y,2014-06-20,Đại học Cornell
CER0180,Chứng chỉ Nội khoa Thú y,2012-05-23,Bộ Nông nghiệp và Phát triển Nông thôn
CER0181,Chứng chỉ Pháp y Thú y,2022-10-30,Tổ chức Thú y Quốc tế (OIE)
CER0182,Chứng chỉ Dịch tễ học Thú y,2016-08-20,Bệnh viện Thú y Quốc gia
CER0183,Chứng chỉ Quản lý bệnh viện Thú y,2010-06-29,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0184,Chứng chỉ Pháp y Thú y,2016-02-27,Trường Đại học Nông Lâm TP.HCM
CER0185,Chứng chỉ Dịch tễ học Thú y,2011-02-06,Viện Nông nghiệp Australia
CER0186,Chứng chỉ Nội khoa Thú y,2016-06-02,Trung tâm Kiểm dịch Động vật
CER0187,Chứng chỉ X-quang Thú y,2023-08-14,Trung tâm Kiểm dịch Động vật
CER0188,Chứng chỉ Dinh dưỡng Thú y,2014-11-30,Trường Đại học Kasetsart Thái Lan
CER0189,Chứng chỉ Siêu âm chẩn đoán,2023-12-05,Hiệp hội Thú y Việt Nam
CER0190,Chứng chỉ Phẫu thuật Tim mạch,2012-03-06,Trường Đại học Kasetsart Thái Lan
CER0191,Bằng Thạc sĩ Thú y,2016-12-05,Trung tâm Kiểm dịch Động vật
CER0192,Chứng chỉ Bệnh da liễu Thú y,2010-10-01,Viện Nông nghiệp Australia
CER0193,Chứng chỉ Dinh dưỡng Thú y,2012-12-12,Trường Đại học Thú y Hà Nội
CER0194,Chứng chỉ Quản lý bệnh viện Thú y,2017-04-30,Bệnh viện Thú y Quốc gia
CER0195,Chứng chỉ Sinh sản Thú y,2013-12-09,Bộ Nông nghiệp và Phát triển Nông thôn
CER0196,Chứng chỉ Phẫu thuật Tim mạch,2022-02-05,Tổ chức Thú y Quốc tế (OIE)
CER0197,Chứng chỉ Ngoại khoa Thú y,2021-04-03,Hiệp hội Thú y Việt Nam
CER0198,Chứng chỉ Nha y Thú y,2015-10-07,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0199,Chứng chỉ Nội khoa Thú y,2016-08-14,Bệnh viện Thú y Quốc gia
CER0200,Chứng chỉ Anestesia Thú y,2012-08-01,Đại học California
CER0201,Bằng Đại học Thú y,2013-02-27,Trung tâm Kiểm dịch Động vật
CER0202,Chứng chỉ X-quang Thú y,2018-11-30,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0203,Chứng chỉ Bệnh học Thú y,2018-03-16,Trường Đại học Thú y Hà Nội
CER0204,Chứng chỉ Pháp y Thú y,2010-04-25,Hiệp hội Thú y Việt Nam
CER0205,Chứng chỉ Bệnh học Thú y,2012-10-09,Đại học California
CER0206,Chứng chỉ Dinh dưỡng Thú y,2015-11-18,Viện Nông nghiệp Australia
CER0207,Chứng chỉ Pháp y Thú y,2018-05-02,Trường Đại học Thú y Hà Nội
CER0208,Chứng chỉ X-quang Thú y,2020-07-29,Trường Đại học Nông Lâm TP.HCM
CER0209,Chứng chỉ Chẩn đoán lâm sàng,2022-08-05,Tổ chức Thú y Quốc tế (OIE)
CER0210,Chứng chỉ Chẩn đoán lâm sàng,2014-12-19,Trường Đại học Kasetsart Thái Lan
CER0211,Bằng Đại học Thú y,2020-05-31,Bệnh viện Thú y Quốc gia
CER0212,Chứng chỉ Quản lý bệnh viện Thú y,2019-02-27,Trường Đại học Thú y Hà Nội
CER0213,Chứng chỉ Phẫu thuật Tim mạch,2011-01-07,Trường Đại học Nông Lâm TP.HCM
CER0214,Chứng chỉ Quản lý bệnh viện Thú y,2021-01-18,Trường Đại học Thú y Hà Nội
CER0215,Chứng chỉ Phẫu thuật Thú y,2015-04-08,Trường Veterinary Medicine USA
CER0216,Chứng chỉ Phẫu thuật Tim mạch,2018-09-19,Đại học California
CER0217,Chứng chỉ Dinh dưỡng Thú y,2022-02-12,Đại học Cornell
CER0218,Chứng chỉ Dịch tễ học Thú y,2013-06-19,Đại học Cornell
CER0219,Chứng chỉ Phẫu thuật Thú y,2020-12-22,Viện Nông nghiệp Australia
CER0220,Chứng chỉ Sinh sản Thú y,2016-04-10,Trường Đại học Nông Lâm TP.HCM
CER0221,Chứng chỉ Dinh dưỡng Thú y,2014-11-15,Đại học California
CER0222,Chứng chỉ Bệnh da liễu Thú y,2015-04-19,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0223,Chứng chỉ Dinh dưỡng Thú y,2012-03-24,Trường Đại học Kasetsart Thái Lan
CER0224,Chứng chỉ Dinh dưỡng Thú y,2022-03-19,Trường Đại học Kasetsart Thái Lan
CER0225,Chứng chỉ Dinh dưỡng Thú y,2011-05-12,Đại học Cornell
CER0226,Chứng chỉ Phòng chống bệnh truyền nhiễm,2014-04-04,Trường Đại học Thú y Hà Nội
CER0227,Chứng chỉ Bệnh da liễu Thú y,2012-01-21,Trường Đại học Kasetsart Thái Lan
CER0228,Chứng chỉ Siêu âm chẩn đoán,2023-05-24,Trường Đại học Nông Lâm TP.HCM
CER0229,Bằng Thạc sĩ Thú y,2017-06-25,Bộ Nông nghiệp và Phát triển Nông thôn
CER0230,Chứng chỉ Phẫu thuật Tim mạch,2022-08-31,Bộ Nông nghiệp và Phát triển Nông thôn
CER0231,Bằng Đại học Thú y,2022-06-07,Bộ Nông nghiệp và Phát triển Nông thôn
CER0232,Chứng chỉ Dịch tễ học Thú y,2014-11-05,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0233,Chứng chỉ X-quang Thú y,2017-05-15,Trung tâm Kiểm dịch Động vật
CER0234,Chứng chỉ Phẫu thuật Tim mạch,2023-05-15,Trường Đại học Nông Lâm TP.HCM
CER0235,Chứng chỉ Phòng chống bệnh truyền nhiễm,2013-03-31,Viện Pasteur Nha Trang
CER0236,Chứng chỉ Bệnh học Thú y,2015-08-16,Trung tâm Kiểm dịch Động vật
CER0237,Chứng chỉ Nha y Thú y,2012-06-19,Trường Đại học Kasetsart Thái Lan
CER0238,Bằng Tiến sĩ Thú y,2012-12-15,Trường Đại học Nông Lâm TP.HCM
CER0239,Chứng chỉ Dinh dưỡng Thú y,2015-05-04,Viện Nông nghiệp Australia
CER0240,Chứng chỉ Anestesia Thú y,2010-05-10,Viện Pasteur Nha Trang
CER0241,Chứng chỉ Phòng chống bệnh truyền nhiễm,2011-03-06,Viện Pasteur Nha Trang
CER0242,Chứng chỉ Sinh sản Thú y,2021-10-19,Trường Đại học Thú y Hà Nội
CER0243,Bằng Đại học Thú y,2020-09-06,Đại học California
CER0244,Chứng chỉ Dinh dưỡng Thú y,2021-07-06,Viện Nông nghiệp Australia
CER0245,Chứng chỉ Phẫu thuật Thú y,2020-02-20,Trường Veterinary Medicine USA
CER0246,Chứng chỉ X-quang Thú y,2023-10-18,Trường Đại học Nông Lâm TP.HCM
CER0247,Chứng chỉ Ngoại khoa Thú y,2016-10-06,Đại học California
CER0248,Bằng Tiến sĩ Thú y,2011-05-14,Đại học California
CER0249,Chứng chỉ Pháp y Thú y,2019-07-25,Trường Đại học Kasetsart Thái Lan
CER0250,Chứng chỉ Phẫu thuật Thú y,2020-12-30,Bệnh viện Thú y Quốc gia
CER0251,Chứng chỉ Bệnh da liễu Thú y,2011-08-26,Trường Đại học Thú y Hà Nội
CER0252,Chứng chỉ Anestesia Thú y,2023-08-24,Viện Pasteur Nha Trang
CER0253,Bằng Đại học Thú y,2012-10-30,Hiệp hội Thú y Việt Nam
CER0254,Chứng chỉ Chẩn đoán lâm sàng,2023-02-17,Trường Veterinary Medicine USA
CER0255,Chứng chỉ Anestesia Thú y,2018-07-18,Viện Nông nghiệp Australia
CER0256,Chứng chỉ Ngoại khoa Thú y,2016-08-12,Đại học California
CER0257,Chứng chỉ Ngoại khoa Thú y,2023-07-31,Đại học Cornell
CER0258,Chứng chỉ Phẫu thuật Thú y,2012-07-26,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0259,Chứng chỉ Bệnh học Thú y,2014-10-28,Đại học Cornell
CER0260,Chứng chỉ Bệnh da liễu Thú y,2015-02-15,Đại học Cornell
CER0261,Chứng chỉ Anestesia Thú y,2020-03-04,Đại học Cornell
CER0262,Chứng chỉ Sinh sản Thú y,2012-02-18,Tổ chức Thú y Quốc tế (OIE)
CER0263,Chứng chỉ Sinh sản Thú y,2017-01-04,Trường Đại học Kasetsart Thái Lan
CER0264,Chứng chỉ Phòng chống bệnh truyền nhiễm,2018-05-25,Viện Pasteur Nha Trang
CER0265,Chứng chỉ Nội khoa Thú y,2011-07-04,Trường Đại học Thú y Hà Nội
CER0266,Bằng Đại học Thú y,2012-02-03,Đại học Cornell
CER0267,Chứng chỉ Phẫu thuật Thú y,2018-05-11,Trung tâm Kiểm dịch Động vật
CER0268,Chứng chỉ Phẫu thuật Tim mạch,2022-06-24,Trường Đại học Nông Lâm TP.HCM
CER0269,Chứng chỉ Dịch tễ học Thú y,2022-08-06,Trường Veterinary Medicine USA
CER0270,Chứng chỉ Anestesia Thú y,2012-09-28,Đại học Cornell
CER0271,Chứng chỉ Dinh dưỡng Thú y,2019-06-27,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0272,Bằng Thạc sĩ Thú y,2016-06-14,Viện Nông nghiệp Australia
CER0273,Chứng chỉ Quản lý bệnh viện Thú y,2017-11-20,Trường Đại học Thú y Hà Nội
CER0274,Chứng chỉ Dịch tễ học Thú y,2021-05-19,Bộ Nông nghiệp và Phát triển Nông thôn
CER0275,Chứng chỉ Phẫu thuật Tim mạch,2020-10-25,Bộ Nông nghiệp và Phát triển Nông thôn
CER0276,Chứng chỉ Phẫu thuật Thú y,2017-11-08,Hiệp hội Thú y Châu Á-Thái Bình Dương
CER0277,Chứng chỉ Bệnh học Thú y,2018-03-31,Trường Đại học Thú y Hà Nội
CER0278,Chứng chỉ Phòng chống bệnh truyền nhiễm,2022-11-17,Bộ Nông nghiệp và Phát triển Nông thôn
CER0279,Chứng chỉ Sinh sản Thú y,2022-08-01,Trung tâm Kiểm dịch Động vật
CER0280,Chứng chỉ Chẩn đoán lâm sàng,2023-10-06,Trường Đại học Kasetsart Thái Lan
