DegreeID,Major,School,GraduationYear
DEG087,Y tá Thú y,ĐH Thú y Hà Nội,2022
DEG088,Chuyên gia Phẫu thuật,ĐH Hồng Đức,2013
DEG089,Kỹ thuật viên Thú y,ĐH Đà Nẵng,2007
DEG090,Quản lý Bệnh viện Thú y,ĐH Nông nghiệp Hà Nội,2016
DEG091,Chuyên gia Nha khoa,ĐH Cần Thơ,2019
DEG092,Chuyên gia Sinh sản,ĐH Hồng Đức,2014
DEG093,Chuyên gia Dược phẩm,ĐH Hồng Đức,2005
DEG094,Chuyên gia Siêu âm,ĐH Hồng Đức,2014
DEG095,Quản lý Bệnh viện Thú y,ĐH Thú y Hà Nội,2009
DEG096,Chuyên gia Nha khoa,ĐH Thú y Hà Nội,2008
DEG097,Chuyên gia X-quang,ĐH Hồng Đức,2009
DEG098,Chuyên gia Nha khoa,ĐH Huế,2011
DEG099,Chuyên gia X-quang,ĐH Đà Nẵng,2011
DEG100,Chuyên gia Siêu âm,ĐH Huế,2021
DEG101,Chuyên gia Ngoại khoa,ĐH Huế,2006
DEG102,Y tá Thú y,ĐH Tây Nguyên,2013
DEG103,Bác sĩ Thú y,ĐH Nông Lâm TP.HCM,2015
DEG104,Chuyên gia Phòng chống dịch,ĐH Cần Thơ,2013
DEG105,Kỹ thuật viên Thú y,ĐH An Giang,2022
DEG106,Chuyên gia X-quang,ĐH Tây Nguyên,2022
DEG107,Bác sĩ Thú y,ĐH Thú y Hà Nội,2007
DEG108,Quản lý Bệnh viện Thú y,ĐH Cần Thơ,2022
DEG109,Bác sĩ Thú y,ĐH Đà Nẵng,2023
DEG110,Chuyên gia Dinh dưỡng,ĐH Cần Thơ,2018
DEG111,Kỹ thuật viên Thú y,ĐH Nông Lâm TP.HCM,2014
DEG112,Chuyên gia Da liễu,ĐH Nông Lâm TP.HCM,2016
DEG113,Chuyên gia Phẫu thuật,ĐH Nông nghiệp Hà Nội,2008
DEG114,Chuyên gia Da liễu,ĐH Hồng Đức,2018
DEG115,Chuyên gia Dược phẩm,ĐH Cần Thơ,2012
DEG116,Chuyên gia Sinh sản,ĐH Cần Thơ,2010
DEG117,Quản lý Bệnh viện Thú y,ĐH Tây Nguyên,2005
DEG118,Kỹ thuật viên Thú y,ĐH Đà Nẵng,2018
DEG119,Chuyên gia Phòng chống dịch,ĐH Nông nghiệp Hà Nội,2013
DEG120,Kỹ thuật viên Thú y,ĐH Thú y Hà Nội,2017
DEG121,Chuyên gia Sinh sản,ĐH Nông Lâm TP.HCM,2020
DEG122,Chuyên gia Phẫu thuật,ĐH Nông nghiệp Hà Nội,2019
DEG123,Chuyên gia Da liễu,ĐH Huế,2012
DEG124,Chuyên gia Phẫu thuật,ĐH Nông Lâm TP.HCM,2011
DEG125,Chuyên gia Nội khoa,ĐH Đà Nẵng,2013
DEG126,Chuyên gia Sinh sản,ĐH Thú y Hà Nội,2013
DEG127,Chuyên gia Da liễu,ĐH Hồng Đức,2017
DEG128,Chuyên gia Siêu âm,ĐH Hồng Đức,2015
DEG129,Bác sĩ Thú y,ĐH Thú y Hà Nội,2013
DEG130,Kỹ thuật viên Thú y,ĐH Thái Nguyên,2013
DEG131,Bác sĩ Thú y,ĐH Thú y Hà Nội,2018
DEG132,Chuyên gia Da liễu,ĐH Đà Nẵng,2018
DEG133,Chuyên gia Dược phẩm,ĐH Hồng Đức,2008
DEG134,Chuyên gia Nội khoa,ĐH Thái Nguyên,2011
DEG135,Chuyên gia Nha khoa,ĐH Nông Lâm TP.HCM,2018
DEG136,Bác sĩ Thú y,ĐH Hồng Đức,2022
DEG137,Chuyên gia Siêu âm,ĐH Nông nghiệp Hà Nội,2016
DEG138,Chuyên gia Nội khoa,ĐH Thú y Hà Nội,2015
DEG139,Chuyên gia Dược phẩm,ĐH Đà Nẵng,2008
DEG140,Chuyên gia X-quang,ĐH Huế,2021
DEG141,Chuyên gia Nha khoa,ĐH Tây Nguyên,2015
DEG142,Chuyên gia Nội khoa,ĐH Huế,2022
DEG143,Kỹ thuật viên Thú y,ĐH Nông nghiệp Hà Nội,2018
DEG144,Chuyên gia Siêu âm,ĐH Tây Nguyên,2010
DEG145,Chuyên gia Dược phẩm,ĐH Thái Nguyên,2014
DEG146,Chuyên gia Nội khoa,ĐH Hồng Đức,2005
DEG147,Chuyên gia Nha khoa,ĐH Huế,2011
DEG148,Chuyên gia Nội khoa,ĐH Thái Nguyên,2015
DEG149,Chuyên gia Ngoại khoa,ĐH An Giang,2019
DEG150,Chuyên gia Siêu âm,ĐH Nông nghiệp Hà Nội,2021
DEG151,Chuyên gia Ngoại khoa,ĐH Cần Thơ,2007
DEG152,Chuyên gia Nha khoa,ĐH Hồng Đức,2015
DEG153,Y tá Thú y,ĐH Nông nghiệp Hà Nội,2014
DEG154,Chuyên gia Phẫu thuật,ĐH Nông nghiệp Hà Nội,2009
DEG155,Bác sĩ Thú y,ĐH Nông Lâm TP.HCM,2012
DEG156,Chuyên gia Ngoại khoa,ĐH Thái Nguyên,2007
DEG157,Chuyên gia Ngoại khoa,ĐH Tây Nguyên,2023
DEG158,Chuyên gia Phẫu thuật,ĐH Tây Nguyên,2020
DEG159,Chuyên gia Nội khoa,ĐH Nông nghiệp Hà Nội,2009
DEG160,Chuyên gia Siêu âm,ĐH Nông Lâm TP.HCM,2008
DEG161,Chuyên gia Phòng chống dịch,ĐH Tây Nguyên,2012
DEG162,Kỹ thuật viên Thú y,ĐH Hồng Đức,2019
DEG163,Bác sĩ Thú y,ĐH Hồng Đức,2012
DEG164,Quản lý Bệnh viện Thú y,ĐH Thú y Hà Nội,2019
DEG165,Kỹ thuật viên Thú y,ĐH An Giang,2021
DEG166,Chuyên gia Dinh dưỡng,ĐH Thái Nguyên,2015
DEG167,Chuyên gia Phòng chống dịch,ĐH An Giang,2021
DEG168,Chuyên gia Nội khoa,ĐH Hồng Đức,2019
DEG169,Quản lý Bệnh viện Thú y,ĐH Cần Thơ,2020
DEG170,Chuyên gia Ngoại khoa,ĐH Huế,2012
DEG171,Chuyên gia Sinh sản,ĐH Huế,2021
DEG172,Chuyên gia Ngoại khoa,ĐH Nông nghiệp Hà Nội,2013
DEG173,Chuyên gia Ngoại khoa,ĐH Thú y Hà Nội,2014
DEG174,Chuyên gia Phẫu thuật,ĐH Huế,2015
DEG175,Chuyên gia Da liễu,ĐH Hồng Đức,2007
DEG176,Kỹ thuật viên Thú y,ĐH Cần Thơ,2012
DEG177,Chuyên gia Nội khoa,ĐH Cần Thơ,2011
DEG178,Y tá Thú y,ĐH Tây Nguyên,2018
DEG179,Chuyên gia Da liễu,ĐH Hồng Đức,2019
DEG180,Chuyên gia Nội khoa,ĐH Nông Lâm TP.HCM,2011
DEG181,Chuyên gia Sinh sản,ĐH Tây Nguyên,2017
DEG182,Quản lý Bệnh viện Thú y,ĐH Thái Nguyên,2005
DEG183,Chuyên gia Sinh sản,ĐH Thái Nguyên,2017
DEG184,Chuyên gia Ngoại khoa,ĐH Nông Lâm TP.HCM,2016
DEG185,Chuyên gia Nha khoa,ĐH Tây Nguyên,2018
DEG186,Chuyên gia Dinh dưỡng,ĐH Hồng Đức,2012
DEG187,Chuyên gia Ngoại khoa,ĐH Nông nghiệp Hà Nội,2013
DEG188,Chuyên gia Nội khoa,ĐH An Giang,2005
DEG189,Chuyên gia Nội khoa,ĐH Đà Nẵng,2017
DEG190,Chuyên gia X-quang,ĐH Cần Thơ,2019
DEG191,Quản lý Bệnh viện Thú y,ĐH Cần Thơ,2022
DEG192,Bác sĩ Thú y,ĐH Tây Nguyên,2023
DEG193,Chuyên gia Dược phẩm,ĐH Nông Lâm TP.HCM,2007
DEG194,Chuyên gia Siêu âm,ĐH Tây Nguyên,2009
DEG195,Chuyên gia Sinh sản,ĐH An Giang,2010
DEG196,Bác sĩ Thú y,ĐH Huế,2017
DEG197,Chuyên gia Da liễu,ĐH Nông nghiệp Hà Nội,2019
DEG198,Chuyên gia Da liễu,ĐH Đà Nẵng,2017
DEG199,Chuyên gia Nha khoa,ĐH Tây Nguyên,2013
DEG200,Chuyên gia Sinh sản,ĐH Thú y Hà Nội,2020
