InvoiceID,CustomerID,CID,CardID,CreatedDate,CreatedTime,TotalPrice,PaymentMoney,PaymentTypeID
INV000046,CUS23986,E0034,CARD46689,2024-06-15,14:00:00,622025,622025,PM01
INV000047,CUS22665,E0396,CARD42536,2023-10-17,18:00:00,2647102,2647102,PM02
INV000048,CUS14024,E0185,CARD29982,2023-03-27,14:00:00,2928897,2928897,PM01
INV000049,CUS00707,E0139,CARD11928,2024-04-04,08:00:00,2423337,2423337,PM04
INV000050,CUS58305,E0473,CARD43904,2022-10-31,11:00:00,476784,476784,PM02
INV000051,CUS57050,E0459,CARD18741,2023-12-15,08:00:00,2753750,2753750,PM01
INV000052,CUS13163,E0204,CARD44806,2022-05-06,14:00:00,1805781,1805781,PM04
INV000053,CUS00739,E0161,CARD01353,2023-11-19,14:00:00,1663999,1663999,PM03
INV000054,CUS39302,E0393,CARD04722,2024-01-12,14:00:00,918970,918970,PM02
INV000055,CUS63378,E0417,CARD48799,2022-09-28,14:00:00,1132635,1132635,PM02
INV000056,CUS33029,E0081,CARD11099,2022-11-18,14:00:00,2833854,2833854,PM01
INV000057,CUS37624,E0154,CARD49381,2024-08-20,08:00:00,634926,634926,PM02
INV000058,CUS76198,E0324,CARD24776,2023-06-29,08:00:00,1110351,1110351,PM01
INV000059,CUS72832,E0153,CARD44343,2022-01-31,11:00:00,443769,443769,PM03
INV000060,CUS10559,E0196,CARD10974,2022-03-20,14:00:00,2011604,2011604,PM04
INV000061,CUS79853,E0038,CARD09226,2022-01-07,11:00:00,2813799,2813799,PM03
INV000062,CUS42467,E0456,CARD12056,2024-08-13,18:00:00,690758,690758,PM01
INV000063,CUS58979,E0333,CARD13984,2024-11-15,11:00:00,1417580,1417580,PM01
INV000064,CUS35846,E0329,CARD35092,2024-05-12,11:00:00,1853789,1853789,PM03
INV000065,CUS05713,E0028,CARD15711,2022-06-30,08:00:00,2011091,2011091,PM02
INV000066,CUS72440,E0071,CARD43561,2024-01-27,11:00:00,293428,293428,PM02
INV000067,CUS46083,E0334,CARD08736,2024-10-20,14:00:00,2080027,2080027,PM04
INV000068,CUS64824,E0012,CARD20915,2024-01-10,14:00:00,1988917,1988917,PM03
INV000069,CUS71464,E0095,CARD17093,2024-01-14,18:00:00,2304638,2304638,PM02
INV000070,CUS45497,E0105,CARD43365,2022-06-21,11:00:00,1737681,1737681,PM02
INV000071,CUS33647,E0046,CARD28170,2023-04-06,18:00:00,2982523,2982523,PM04
INV000072,CUS01938,E0364,CARD39977,2023-03-23,18:00:00,2545483,2545483,PM01
INV000073,CUS10026,E0081,CARD18549,2024-03-28,14:00:00,2641205,2641205,PM04
INV000074,CUS67545,E0020,CARD48247,2024-07-03,11:00:00,2601552,2601552,PM02
INV000075,CUS10380,E0377,CARD32698,2024-05-04,11:00:00,475686,475686,PM04
INV000076,CUS27860,E0402,CARD16121,2023-11-11,11:00:00,1024421,1024421,PM01
INV000077,CUS44377,E0145,CARD37763,2024-07-17,08:00:00,1177441,1177441,PM02
INV000078,CUS37528,E0225,CARD26957,2023-12-11,11:00:00,2049725,2049725,PM01
INV000079,CUS24809,E0360,CARD33946,2023-07-15,18:00:00,1784999,1784999,PM03
INV000080,CUS79570,E0255,CARD44858,2023-08-09,14:00:00,250150,250150,PM02
INV000081,CUS63155,E0141,CARD04582,2023-08-14,08:00:00,1597278,1597278,PM04
INV000082,CUS27617,E0375,CARD15509,2023-04-15,14:00:00,844223,844223,PM04
INV000083,CUS31643,E0238,CARD33366,2023-03-17,11:00:00,889711,889711,PM03
INV000084,CUS46085,E0089,CARD35249,2023-08-14,08:00:00,1953378,1953378,PM04
INV000085,CUS40894,E0043,CARD00360,2024-11-27,11:00:00,2059771,2059771,PM03
INV000086,CUS73832,E0106,CARD28874,2024-08-16,18:00:00,1035774,1035774,PM02
INV000087,CUS38958,E0288,CARD18569,2024-05-15,18:00:00,460124,460124,PM04
INV000088,CUS36348,E0011,CARD29856,2023-04-10,08:00:00,2020449,2020449,PM03
INV000089,CUS28816,E0444,CARD27292,2022-05-09,18:00:00,1262455,1262455,PM03
INV000090,CUS60594,E0155,CARD31106,2022-06-20,18:00:00,941809,941809,PM02
INV000091,CUS39383,E0216,CARD33808,2023-06-04,11:00:00,2703109,2703109,PM01
INV000092,CUS19414,E0029,CARD08575,2024-05-04,08:00:00,899061,899061,PM04
INV000093,CUS36763,E0190,CARD40955,2022-01-17,14:00:00,2879532,2879532,PM02
INV000094,CUS73580,E0472,CARD37909,2024-02-20,11:00:00,1436310,1436310,PM01
INV000095,CUS35355,E0019,CARD05364,2024-10-16,11:00:00,2955332,2955332,PM04
INV000096,CUS16236,E0294,CARD17288,2023-04-21,14:00:00,418236,418236,PM03
INV000097,CUS67624,E0158,CARD11128,2023-09-08,18:00:00,1553800,1553800,PM02
INV000098,CUS17113,E0453,CARD17216,2022-12-27,11:00:00,2325255,2325255,PM04
INV000099,CUS00248,E0116,CARD38642,2022-03-23,11:00:00,2365775,2365775,PM02
INV000100,CUS61768,E0273,CARD13650,2023-04-17,14:00:00,2151285,2151285,PM03
INV000101,CUS08689,E0302,CARD27741,2024-09-02,11:00:00,2751343,2751343,PM03
INV000102,CUS67402,E0459,CARD16371,2022-08-17,18:00:00,2694322,2694322,PM01
INV000103,CUS22811,E0176,CARD41871,2023-02-05,11:00:00,2198531,2198531,PM03
INV000104,CUS24879,E0167,CARD41732,2024-10-11,18:00:00,1731805,1731805,PM04
INV000105,CUS41591,E0249,CARD46938,2023-02-10,11:00:00,1257761,1257761,PM03
INV000106,CUS71181,E0170,CARD11345,2022-03-23,11:00:00,1489861,1489861,PM01
INV000107,CUS51805,E0109,CARD09267,2024-09-18,18:00:00,1173977,1173977,PM03
INV000108,CUS73429,E0095,CARD21293,2022-11-14,18:00:00,2280411,2280411,PM02
INV000109,CUS66293,E0457,CARD19092,2023-06-06,18:00:00,1504299,1504299,PM03
INV000110,CUS69117,E0195,CARD18192,2023-05-05,11:00:00,307887,307887,PM02
INV000111,CUS27904,E0480,CARD03282,2024-09-01,18:00:00,768968,768968,PM03
INV000112,CUS49945,E0257,CARD28827,2023-03-02,18:00:00,1882423,1882423,PM04
INV000113,CUS29482,E0322,CARD21492,2022-02-23,11:00:00,564635,564635,PM01
INV000114,CUS19472,E0023,CARD14167,2023-06-18,08:00:00,910855,910855,PM01
INV000115,CUS45996,E0057,CARD13130,2023-02-20,08:00:00,2878410,2878410,PM04
INV000116,CUS34714,E0151,CARD33490,2024-12-05,18:00:00,1404233,1404233,PM02
INV000117,CUS32557,E0329,CARD38331,2023-01-04,18:00:00,2858956,2858956,PM02
INV000118,CUS17335,E0354,CARD41766,2022-02-25,11:00:00,374514,374514,PM03
INV000119,CUS09302,E0092,CARD34867,2023-03-31,11:00:00,955720,955720,PM02
INV000120,CUS09445,E0493,CARD35520,2024-03-27,11:00:00,1995678,1995678,PM01
INV000121,CUS23331,E0345,CARD13932,2022-12-07,14:00:00,1439421,1439421,PM01
INV000122,CUS03345,E0312,CARD31945,2023-01-01,11:00:00,1896837,1896837,PM01
INV000123,CUS41124,E0208,CARD30830,2024-05-30,18:00:00,1338642,1338642,PM01
INV000124,CUS57265,E0401,CARD12311,2023-04-13,11:00:00,1022751,1022751,PM04
INV000125,CUS61365,E0054,CARD41979,2024-04-01,14:00:00,1493049,1493049,PM04
INV000126,CUS40768,E0389,CARD41365,2024-09-11,14:00:00,2347679,2347679,PM03
INV000127,CUS23503,E0283,CARD15397,2022-06-18,08:00:00,467696,467696,PM04
INV000128,CUS73147,E0264,CARD07142,2022-08-04,08:00:00,331677,331677,PM01
INV000129,CUS03708,E0289,CARD15139,2024-05-04,14:00:00,1099220,1099220,PM03
INV000130,CUS40981,E0276,CARD47741,2022-08-15,11:00:00,225945,225945,PM02
INV000131,CUS69174,E0473,CARD12534,2024-11-11,08:00:00,2934088,2934088,PM01
INV000132,CUS33288,E0059,CARD30070,2023-06-28,11:00:00,464292,464292,PM04
INV000133,CUS12289,E0455,CARD24263,2024-07-04,14:00:00,263505,263505,PM04
INV000134,CUS49136,E0094,CARD13566,2024-11-23,14:00:00,2318943,2318943,PM01
INV000135,CUS62420,E0373,CARD00772,2023-05-15,14:00:00,832982,832982,PM01
INV000136,CUS24866,E0449,CARD34138,2023-12-31,14:00:00,356693,356693,PM03
INV000137,CUS55865,E0320,CARD02544,2022-04-16,08:00:00,2019588,2019588,PM03
INV000138,CUS24694,E0096,CARD31871,2022-10-19,08:00:00,1251357,1251357,PM04
INV000139,CUS51974,E0369,CARD30442,2022-04-21,14:00:00,429380,429380,PM02
INV000140,CUS50170,E0210,CARD48863,2024-10-31,11:00:00,1020241,1020241,PM01
INV000141,CUS49205,E0349,CARD48482,2023-08-26,08:00:00,1445823,1445823,PM02
INV000142,CUS05632,E0370,CARD05345,2022-09-15,18:00:00,1259589,1259589,PM01
INV000143,CUS08037,E0090,CARD13940,2023-09-06,11:00:00,434150,434150,PM01
INV000144,CUS56774,E0496,CARD35526,2024-06-29,11:00:00,2941319,2941319,PM02
INV000145,CUS75259,E0262,CARD10166,2024-05-18,14:00:00,768040,768040,PM01
INV000146,CUS57835,E0461,CARD42474,2022-07-05,18:00:00,411032,411032,PM04
INV000147,CUS73924,E0372,CARD30197,2024-11-09,08:00:00,2595707,2595707,PM03
INV000148,CUS21881,E0357,CARD31881,2024-01-12,18:00:00,1497094,1497094,PM02
INV000149,CUS21010,E0331,CARD13548,2023-04-21,18:00:00,1368846,1368846,PM01
INV000150,CUS69555,E0272,CARD03732,2022-03-18,08:00:00,2441074,2441074,PM02
INV000151,CUS02456,E0275,CARD44553,2024-11-10,18:00:00,975841,975841,PM02
INV000152,CUS41196,E0188,CARD38193,2024-05-30,08:00:00,1566049,1566049,PM01
INV000153,CUS55484,E0461,CARD17324,2023-12-04,08:00:00,1200502,1200502,PM01
INV000154,CUS05776,E0224,CARD15137,2023-10-06,18:00:00,630555,630555,PM03
INV000155,CUS11765,E0250,CARD24378,2022-09-10,18:00:00,1133013,1133013,PM01
INV000156,CUS31111,E0025,CARD23701,2023-10-28,14:00:00,2680378,2680378,PM03
INV000157,CUS75284,E0363,CARD27440,2023-12-14,11:00:00,937491,937491,PM04
INV000158,CUS41747,E0400,CARD11303,2022-09-28,08:00:00,1483284,1483284,PM04
INV000159,CUS71390,E0103,CARD06282,2023-09-30,08:00:00,361226,361226,PM04
INV000160,CUS17622,E0024,CARD28410,2024-12-15,11:00:00,80594,80594,PM01
INV000161,CUS35884,E0295,CARD18626,2022-06-11,08:00:00,1847779,1847779,PM02
INV000162,CUS04108,E0374,CARD20480,2022-04-12,11:00:00,2426005,2426005,PM04
INV000163,CUS75973,E0291,CARD26422,2022-07-09,14:00:00,2488279,2488279,PM01
INV000164,CUS04882,E0207,CARD49942,2022-08-27,18:00:00,2213016,2213016,PM02
INV000165,CUS47503,E0162,CARD27097,2023-01-02,11:00:00,1857252,1857252,PM01
INV000166,CUS74154,E0359,CARD26054,2024-09-30,18:00:00,2716429,2716429,PM04
INV000167,CUS02979,E0386,CARD28824,2023-01-21,08:00:00,860312,860312,PM01
INV000168,CUS32581,E0088,CARD12473,2022-07-04,08:00:00,2901855,2901855,PM03
INV000169,CUS65405,E0483,CARD44872,2022-03-18,14:00:00,840120,840120,PM01
INV000170,CUS64969,E0325,CARD10762,2022-05-09,08:00:00,1068657,1068657,PM02
INV000171,CUS14048,E0354,CARD24498,2024-07-25,14:00:00,2639259,2639259,PM02
INV000172,CUS32083,E0464,CARD16108,2023-02-27,18:00:00,821397,821397,PM02
INV000173,CUS76351,E0082,CARD40604,2023-08-12,11:00:00,835699,835699,PM01
INV000174,CUS00991,E0474,CARD38299,2022-01-17,11:00:00,583250,583250,PM01
INV000175,CUS46751,E0312,CARD16327,2023-08-04,08:00:00,813678,813678,PM02
INV000176,CUS28462,E0361,CARD10832,2022-02-07,18:00:00,1931135,1931135,PM04
INV000177,CUS23119,E0448,CARD15024,2023-06-21,14:00:00,162418,162418,PM02
INV000178,CUS55097,E0386,CARD41381,2023-10-31,14:00:00,636731,636731,PM01
INV000179,CUS74355,E0102,CARD01795,2022-06-14,18:00:00,497947,497947,PM02
INV000180,CUS47993,E0303,CARD21841,2023-02-19,11:00:00,1545834,1545834,PM02
INV000181,CUS68418,E0394,CARD33996,2022-07-11,11:00:00,864611,864611,PM01
INV000182,CUS37314,E0046,CARD05958,2024-01-05,08:00:00,1652238,1652238,PM02
INV000183,CUS14499,E0003,CARD03677,2024-01-07,18:00:00,991610,991610,PM01
INV000184,CUS07742,E0137,CARD28191,2024-06-04,08:00:00,1833600,1833600,PM03
INV000185,CUS62370,E0394,CARD32690,2023-01-31,11:00:00,2135068,2135068,PM01
INV000186,CUS31882,E0053,CARD31040,2024-10-18,08:00:00,2657495,2657495,PM02
INV000187,CUS02484,E0481,CARD30423,2022-04-15,14:00:00,1403418,1403418,PM02
INV000188,CUS27589,E0484,CARD19403,2023-11-02,18:00:00,2866238,2866238,PM01
INV000189,CUS43716,E0008,CARD27078,2024-10-11,18:00:00,2777417,2777417,PM02
INV000190,CUS78738,E0156,CARD05336,2022-05-29,08:00:00,2213181,2213181,PM02
INV000191,CUS57717,E0360,CARD37757,2022-10-22,18:00:00,1299728,1299728,PM02
INV000192,CUS21192,E0272,CARD41139,2022-01-04,14:00:00,350693,350693,PM01
INV000193,CUS16283,E0235,CARD36895,2023-02-18,08:00:00,2046363,2046363,PM01
INV000194,CUS39656,E0314,CARD27253,2023-07-23,11:00:00,322165,322165,PM01
INV000195,CUS68792,E0483,CARD49584,2023-08-11,08:00:00,2819453,2819453,PM04
INV000196,CUS10064,E0119,CARD29394,2023-05-31,11:00:00,2504104,2504104,PM03
INV000197,CUS37429,E0287,CARD47684,2024-12-24,18:00:00,1520804,1520804,PM02
INV000198,CUS50740,E0463,CARD44890,2022-07-21,08:00:00,2710174,2710174,PM04
INV000199,CUS31207,E0374,CARD03338,2024-07-24,08:00:00,2393357,2393357,PM01
INV000200,CUS78290,E0339,CARD19320,2022-03-01,08:00:00,1709240,1709240,PM02
INV000201,CUS35454,E0480,CARD47200,2023-04-14,18:00:00,2732030,2732030,PM04
INV000202,CUS51887,E0400,CARD09106,2022-02-28,14:00:00,2060901,2060901,PM01
INV000203,CUS19916,E0031,CARD02033,2024-09-29,14:00:00,1595301,1595301,PM04
INV000204,CUS62712,E0121,CARD42242,2024-08-16,14:00:00,1614424,1614424,PM04
INV000205,CUS52221,E0327,CARD29155,2022-06-10,08:00:00,2687093,2687093,PM02
INV000206,CUS76619,E0200,CARD17800,2022-05-05,11:00:00,2779468,2779468,PM03
INV000207,CUS41479,E0365,CARD15051,2022-12-10,14:00:00,1251597,1251597,PM03
INV000208,CUS57494,E0199,CARD28436,2024-08-09,18:00:00,1579247,1579247,PM03
INV000209,CUS20760,E0180,CARD25289,2022-09-22,08:00:00,888010,888010,PM04
INV000210,CUS62926,E0095,CARD01543,2022-01-07,08:00:00,1292634,1292634,PM04
INV000211,CUS27905,E0344,CARD20942,2023-01-07,14:00:00,1872563,1872563,PM01
INV000212,CUS02626,E0433,CARD06751,2023-12-05,14:00:00,2932755,2932755,PM02
INV000213,CUS45209,E0226,CARD07900,2023-09-29,18:00:00,957599,957599,PM01
INV000214,CUS30198,E0068,CARD25542,2022-02-03,08:00:00,1175384,1175384,PM04
INV000215,CUS54514,E0306,CARD15970,2022-07-02,14:00:00,976690,976690,PM03
INV000216,CUS67194,E0441,CARD27182,2022-07-22,14:00:00,2076099,2076099,PM01
INV000217,CUS26342,E0269,CARD05404,2024-05-06,08:00:00,738796,738796,PM03
INV000218,CUS28208,E0435,CARD22449,2024-08-20,14:00:00,76096,76096,PM04
INV000219,CUS38949,E0391,CARD16859,2024-01-17,14:00:00,2057616,2057616,PM01
INV000220,CUS64225,E0316,CARD07619,2022-12-03,18:00:00,1364856,1364856,PM03
INV000221,CUS17987,E0184,CARD00332,2024-01-03,11:00:00,735111,735111,PM02
INV000222,CUS73384,E0219,CARD15116,2022-02-14,08:00:00,808666,808666,PM02
INV000223,CUS56467,E0100,CARD01649,2024-09-05,08:00:00,853668,853668,PM02
INV000224,CUS75661,E0316,CARD49611,2022-08-16,18:00:00,603006,603006,PM04
INV000225,CUS47353,E0115,CARD30631,2022-01-08,18:00:00,146023,146023,PM03
INV000226,CUS36777,E0104,CARD17904,2024-07-05,14:00:00,1877291,1877291,PM03
INV000227,CUS76016,E0399,CARD44775,2023-07-11,14:00:00,767396,767396,PM01
INV000228,CUS34717,E0132,CARD45905,2023-06-03,08:00:00,2953400,2953400,PM01
INV000229,CUS65378,E0313,CARD49403,2023-12-29,14:00:00,1829064,1829064,PM01
INV000230,CUS47680,E0444,CARD01840,2023-04-04,11:00:00,1618667,1618667,PM03
INV000231,CUS30400,E0469,CARD41628,2024-12-01,08:00:00,1607041,1607041,PM01
INV000232,CUS55092,E0295,CARD25299,2022-11-26,18:00:00,2368808,2368808,PM03
INV000233,CUS02494,E0453,CARD04136,2022-05-09,18:00:00,1209548,1209548,PM02
INV000234,CUS59488,E0370,CARD30096,2024-03-17,11:00:00,2181327,2181327,PM02
INV000235,CUS67615,E0169,CARD15744,2023-04-22,08:00:00,556418,556418,PM01
INV000236,CUS71922,E0092,CARD01185,2023-12-19,11:00:00,2254215,2254215,PM01
INV000237,CUS76769,E0330,CARD01533,2023-02-13,08:00:00,488090,488090,PM03
INV000238,CUS23392,E0366,CARD27074,2023-07-02,11:00:00,2863364,2863364,PM02
INV000239,CUS29048,E0294,CARD23810,2022-08-28,14:00:00,936680,936680,PM01
INV000240,CUS02396,E0084,CARD04842,2024-03-21,08:00:00,1654123,1654123,PM01
INV000241,CUS38209,E0038,CARD47867,2023-07-09,11:00:00,1772859,1772859,PM02
INV000242,CUS33233,E0186,CARD16937,2023-01-26,11:00:00,1193744,1193744,PM01
INV000243,CUS23622,E0232,CARD19929,2023-05-14,08:00:00,2921959,2921959,PM01
INV000244,CUS52424,E0398,CARD11792,2024-09-29,18:00:00,484039,484039,PM04
INV000245,CUS57367,E0391,CARD10489,2024-08-25,14:00:00,388547,388547,PM01
INV000246,CUS08548,E0375,CARD27819,2022-03-31,14:00:00,2410916,2410916,PM02
INV000247,CUS17563,E0254,CARD01314,2022-06-29,14:00:00,1712952,1712952,PM01
INV000248,CUS26344,E0187,CARD21093,2023-07-14,08:00:00,2884111,2884111,PM03
INV000249,CUS24371,E0024,CARD28218,2024-03-23,11:00:00,2691328,2691328,PM03
INV000250,CUS46438,E0475,CARD21197,2023-08-27,08:00:00,2423513,2423513,PM04
INV000251,CUS28154,E0410,CARD15139,2022-05-06,14:00:00,2546048,2546048,PM04
INV000252,CUS03937,E0110,CARD06885,2023-12-06,18:00:00,2840448,2840448,PM03
INV000253,CUS38689,E0464,CARD15183,2024-06-22,18:00:00,587387,587387,PM03
INV000254,CUS68590,E0102,CARD31990,2024-09-25,11:00:00,2284319,2284319,PM02
INV000255,CUS42671,E0482,CARD07321,2022-08-23,18:00:00,2873698,2873698,PM03
INV000256,CUS40092,E0462,CARD20175,2022-04-13,11:00:00,1699033,1699033,PM03
INV000257,CUS64979,E0464,CARD08529,2022-09-02,14:00:00,1530213,1530213,PM03
INV000258,CUS26528,E0057,CARD12901,2023-05-23,11:00:00,1174382,1174382,PM02
INV000259,CUS71147,E0061,CARD37141,2022-06-15,08:00:00,1998705,1998705,PM02
INV000260,CUS38138,E0331,CARD31248,2024-02-01,08:00:00,2079571,2079571,PM02
INV000261,CUS03104,E0422,CARD46472,2024-01-22,11:00:00,1747535,1747535,PM02
INV000262,CUS18387,E0171,CARD29129,2024-01-31,14:00:00,406858,406858,PM02
INV000263,CUS65445,E0433,CARD47747,2023-05-24,08:00:00,1645392,1645392,PM02
INV000264,CUS21456,E0003,CARD10525,2023-06-16,18:00:00,898091,898091,PM04
INV000265,CUS30638,E0460,CARD48776,2022-09-29,14:00:00,2375331,2375331,PM02
INV000266,CUS76644,E0236,CARD14378,2023-05-10,18:00:00,85915,85915,PM01
INV000267,CUS28777,E0235,CARD31676,2024-10-13,14:00:00,2815427,2815427,PM04
INV000268,CUS48617,E0004,CARD09070,2024-05-26,14:00:00,1383420,1383420,PM01
INV000269,CUS67921,E0321,CARD40382,2023-02-14,14:00:00,324499,324499,PM04
INV000270,CUS21246,E0408,CARD35807,2022-03-16,08:00:00,1929333,1929333,PM04
INV000271,CUS38033,E0338,CARD41805,2022-04-26,14:00:00,81777,81777,PM03
INV000272,CUS77312,E0302,CARD32975,2024-02-01,08:00:00,786811,786811,PM03
INV000273,CUS61033,E0375,CARD41320,2024-09-15,14:00:00,2230250,2230250,PM02
INV000274,CUS11144,E0346,CARD33636,2022-06-05,18:00:00,1111579,1111579,PM01
INV000275,CUS68255,E0186,CARD26123,2023-05-14,08:00:00,1091310,1091310,PM02
INV000276,CUS11730,E0415,CARD14929,2023-07-23,11:00:00,801675,801675,PM02
INV000277,CUS60296,E0020,CARD20923,2022-06-26,18:00:00,1174731,1174731,PM02
INV000278,CUS25605,E0058,CARD46073,2022-10-25,18:00:00,274655,274655,PM02
INV000279,CUS79403,E0287,CARD17192,2024-07-09,14:00:00,1291092,1291092,PM04
INV000280,CUS09013,E0374,CARD08226,2022-12-09,14:00:00,2497335,2497335,PM01
INV000281,CUS18554,E0027,CARD16294,2022-03-01,08:00:00,2005235,2005235,PM03
INV000282,CUS53149,E0334,CARD00557,2024-04-06,11:00:00,940297,940297,PM03
INV000283,CUS65651,E0437,CARD27033,2022-10-02,08:00:00,2062687,2062687,PM01
INV000284,CUS33577,E0237,CARD24504,2022-02-06,14:00:00,2036804,2036804,PM04
INV000285,CUS64893,E0410,CARD08270,2024-10-06,11:00:00,537389,537389,PM03
INV000286,CUS07247,E0485,CARD19974,2023-06-20,08:00:00,1449166,1449166,PM01
INV000287,CUS18431,E0050,CARD31659,2022-08-19,11:00:00,2298159,2298159,PM01
INV000288,CUS12456,E0138,CARD22573,2022-05-13,08:00:00,455575,455575,PM03
INV000289,CUS61374,E0136,CARD24387,2024-09-25,18:00:00,580316,580316,PM01
INV000290,CUS00043,E0464,CARD03494,2023-08-25,11:00:00,463541,463541,PM01
INV000291,CUS30513,E0257,CARD43556,2023-08-16,18:00:00,597883,597883,PM03
INV000292,CUS52282,E0124,CARD12397,2024-06-04,14:00:00,2717167,2717167,PM02
INV000293,CUS68419,E0451,CARD16636,2024-06-09,18:00:00,2079377,2079377,PM02
INV000294,CUS04144,E0444,CARD21803,2024-06-11,18:00:00,1905080,1905080,PM03
INV000295,CUS28390,E0127,CARD31590,2022-03-23,11:00:00,896839,896839,PM01
INV000296,CUS18571,E0328,CARD36138,2023-08-10,14:00:00,2167069,2167069,PM01
INV000297,CUS00536,E0351,CARD16320,2022-09-28,08:00:00,1590283,1590283,PM02
INV000298,CUS07658,E0497,CARD28907,2023-09-19,18:00:00,245529,245529,PM03
INV000299,CUS37885,E0046,CARD06661,2023-12-18,08:00:00,2705649,2705649,PM01
INV000300,CUS16691,E0264,CARD14825,2024-07-18,08:00:00,691052,691052,PM01
INV000301,CUS05211,E0445,CARD40791,2022-02-14,11:00:00,1049793,1049793,PM04
INV000302,CUS27830,E0126,CARD11823,2022-08-17,11:00:00,1191734,1191734,PM03
INV000303,CUS10952,E0374,CARD27151,2024-02-02,14:00:00,2045763,2045763,PM01
INV000304,CUS46463,E0355,CARD25771,2024-05-05,08:00:00,2083705,2083705,PM03
INV000305,CUS62491,E0279,CARD19701,2024-04-15,18:00:00,1282403,1282403,PM01
INV000306,CUS75950,E0318,CARD25952,2023-12-19,14:00:00,1965125,1965125,PM03
