EmployeeID,WorkDate,WorkTime,Shift,MID
E0241,2024-07-21,13,Ca chiều,E0272
E0187,2024-08-07,7,Ca sáng,E0467
E0416,2024-05-17,7,Ca sáng,E0325
E0337,2024-08-12,7,Ca sáng,E0424
E0182,2024-08-10,7,Ca sáng,E0323
E0453,2024-12-29,7,Ca sáng,E0372
E0098,2024-05-25,7,Ca sáng,E0424
E0203,2024-08-03,18,Ca tối,E0323
E0462,2024-01-17,7,Ca sáng,E0285
E0486,2024-09-02,18,Ca tối,E0272
E0061,2024-08-03,13,Ca chiều,E0467
E0254,2024-12-15,18,Ca tối,E0424
E0167,2024-07-23,18,Ca tối,E0348
E0068,2024-02-26,7,Ca sáng,E0327
E0065,2024-03-20,13,Ca chiều,E0467
E0007,2024-12-16,7,Ca sáng,E0327
E0348,2024-06-24,13,Ca chiều,E0306
E0378,2024-01-05,13,Ca chiều,E0325
E0149,2024-05-24,13,Ca chiều,E0372
E0390,2024-08-07,7,Ca sáng,E0306
E0079,2024-09-18,7,Ca sáng,E0285
E0144,2024-02-28,13,Ca chiều,E0285
E0342,2024-08-07,7,Ca sáng,E0325
E0362,2024-02-22,18,Ca tối,E0467
E0313,2024-04-02,7,Ca sáng,E0306
E0323,2024-11-20,7,Ca sáng,E0285
E0062,2024-03-08,13,Ca chiều,E0327
E0141,2024-04-08,7,Ca sáng,E0348
E0010,2024-11-11,7,Ca sáng,E0372
E0443,2024-01-27,13,Ca chiều,E0348
E0269,2024-06-05,18,Ca tối,E0285
E0114,2024-06-21,13,Ca chiều,E0325
E0032,2024-09-18,13,Ca chiều,E0327
E0156,2024-02-26,13,Ca chiều,E0323
E0144,2024-06-28,18,Ca tối,E0348
E0127,2024-06-12,7,Ca sáng,E0424
E0021,2024-01-01,7,Ca sáng,E0323
E0109,2024-05-26,13,Ca chiều,E0272
E0466,2024-11-06,7,Ca sáng,E0348
E0095,2024-05-09,13,Ca chiều,E0323
E0172,2024-06-04,7,Ca sáng,E0372
E0343,2024-01-07,18,Ca tối,E0467
E0395,2024-03-07,13,Ca chiều,E0323
E0380,2024-07-04,18,Ca tối,E0306
E0271,2024-11-05,13,Ca chiều,E0285
E0333,2024-05-21,7,Ca sáng,E0306
E0197,2024-02-14,7,Ca sáng,E0424
E0323,2024-11-04,7,Ca sáng,E0327
E0301,2024-12-01,7,Ca sáng,E0285
E0361,2024-08-16,7,Ca sáng,E0372
E0483,2024-10-06,18,Ca tối,E0323
E0155,2024-08-30,7,Ca sáng,E0467
E0370,2024-03-19,7,Ca sáng,E0424
E0099,2024-08-02,18,Ca tối,E0272
E0457,2024-10-13,13,Ca chiều,E0323
E0230,2024-11-18,18,Ca tối,E0372
E0467,2024-08-11,7,Ca sáng,E0325
E0215,2024-09-25,18,Ca tối,E0327
E0086,2024-11-02,13,Ca chiều,E0424
E0149,2024-01-24,18,Ca tối,E0327
E0407,2024-12-21,7,Ca sáng,E0348
E0254,2024-12-16,18,Ca tối,E0467
E0498,2024-02-08,7,Ca sáng,E0325
E0385,2024-09-17,13,Ca chiều,E0467
E0400,2024-07-18,13,Ca chiều,E0306
E0140,2024-04-15,7,Ca sáng,E0327
E0082,2024-10-19,7,Ca sáng,E0306
E0357,2024-01-05,18,Ca tối,E0325
E0258,2024-12-28,18,Ca tối,E0467
E0133,2024-06-04,7,Ca sáng,E0272
E0363,2024-05-17,18,Ca tối,E0372
E0088,2024-04-24,7,Ca sáng,E0467
E0122,2024-05-29,7,Ca sáng,E0424
E0483,2024-05-22,7,Ca sáng,E0272
E0448,2024-01-27,18,Ca tối,E0285
E0422,2024-04-17,18,Ca tối,E0372
E0001,2024-11-28,13,Ca chiều,E0306
E0498,2024-07-07,13,Ca chiều,E0372
E0485,2024-12-27,18,Ca tối,E0272
E0370,2024-03-09,13,Ca chiều,E0306
E0151,2024-06-15,7,Ca sáng,E0327
E0422,2024-07-01,7,Ca sáng,E0272
E0091,2024-05-11,7,Ca sáng,E0467
E0337,2024-10-25,7,Ca sáng,E0348
E0485,2024-11-30,13,Ca chiều,E0306
E0283,2024-04-15,13,Ca chiều,E0285
E0167,2024-05-17,7,Ca sáng,E0306
E0323,2024-07-21,7,Ca sáng,E0325
E0119,2024-08-10,13,Ca chiều,E0424
E0462,2024-09-02,7,Ca sáng,E0325
E0093,2024-08-23,7,Ca sáng,E0424
E0097,2024-10-18,13,Ca chiều,E0424
E0332,2024-05-24,7,Ca sáng,E0272
E0084,2024-03-31,13,Ca chiều,E0306
E0097,2024-02-05,7,Ca sáng,E0372
E0219,2024-05-05,13,Ca chiều,E0348
E0052,2024-09-26,7,Ca sáng,E0327
E0309,2024-02-21,13,Ca chiều,E0348
E0011,2024-02-26,7,Ca sáng,E0327
E0068,2024-05-07,7,Ca sáng,E0272
E0074,2024-11-17,18,Ca tối,E0327
E0406,2024-01-05,7,Ca sáng,E0467
E0377,2024-06-22,18,Ca tối,E0372
E0104,2024-03-12,13,Ca chiều,E0306
E0457,2024-08-15,7,Ca sáng,E0272
E0170,2024-09-02,7,Ca sáng,E0285
E0029,2024-10-05,18,Ca tối,E0272
E0322,2024-10-05,7,Ca sáng,E0327
E0423,2024-01-23,7,Ca sáng,E0467
E0152,2024-02-22,18,Ca tối,E0348
E0073,2024-01-01,7,Ca sáng,E0327
E0117,2024-08-06,13,Ca chiều,E0424
E0181,2024-12-01,13,Ca chiều,E0285
E0472,2024-12-16,13,Ca chiều,E0372
E0252,2024-03-27,7,Ca sáng,E0285
E0053,2024-05-24,13,Ca chiều,E0372
E0316,2024-06-19,7,Ca sáng,E0323
E0473,2024-02-13,7,Ca sáng,E0306
E0078,2024-04-01,13,Ca chiều,E0467
E0172,2024-11-03,7,Ca sáng,E0348
E0077,2024-12-07,18,Ca tối,E0272
E0320,2024-05-26,13,Ca chiều,E0372
E0139,2024-09-12,18,Ca tối,E0323
E0478,2024-05-15,18,Ca tối,E0372
E0404,2024-01-02,7,Ca sáng,E0424
E0164,2024-03-16,13,Ca chiều,E0325
E0370,2024-09-01,7,Ca sáng,E0372
E0296,2024-08-06,18,Ca tối,E0272
E0075,2024-02-16,13,Ca chiều,E0424
E0094,2024-07-16,13,Ca chiều,E0323
E0254,2024-08-05,13,Ca chiều,E0348
E0309,2024-11-21,13,Ca chiều,E0424
E0411,2024-11-30,7,Ca sáng,E0348
E0215,2024-10-08,13,Ca chiều,E0467
E0274,2024-09-09,18,Ca tối,E0467
E0421,2024-04-27,13,Ca chiều,E0372
E0298,2024-08-03,18,Ca tối,E0306
E0398,2024-12-21,18,Ca tối,E0285
E0360,2024-02-14,7,Ca sáng,E0323
E0002,2024-04-14,7,Ca sáng,E0323
E0286,2024-08-30,7,Ca sáng,E0372
E0031,2024-06-27,13,Ca chiều,E0424
E0151,2024-08-23,7,Ca sáng,E0467
E0498,2024-08-03,7,Ca sáng,E0285
E0424,2024-04-24,7,Ca sáng,E0424
E0061,2024-12-22,18,Ca tối,E0424
E0194,2024-01-14,18,Ca tối,E0348
E0191,2024-01-28,18,Ca tối,E0372
E0340,2024-10-24,7,Ca sáng,E0325
E0429,2024-10-31,7,Ca sáng,E0327
E0076,2024-07-06,7,Ca sáng,E0372
E0126,2024-02-09,7,Ca sáng,E0306
E0426,2024-08-01,7,Ca sáng,E0424
E0241,2024-03-12,18,Ca tối,E0467
E0358,2024-06-02,13,Ca chiều,E0348
E0370,2024-06-21,13,Ca chiều,E0327
E0147,2024-02-26,7,Ca sáng,E0327
E0452,2024-11-24,7,Ca sáng,E0306
E0385,2024-03-29,18,Ca tối,E0424
E0006,2024-07-21,13,Ca chiều,E0325
E0284,2024-12-30,13,Ca chiều,E0306
E0257,2024-06-05,18,Ca tối,E0285
E0217,2024-03-21,13,Ca chiều,E0372
E0268,2024-07-12,7,Ca sáng,E0285
E0206,2024-11-12,7,Ca sáng,E0285
E0201,2024-04-04,18,Ca tối,E0467
E0310,2024-02-09,18,Ca tối,E0325
E0245,2024-06-09,18,Ca tối,E0348
E0424,2024-07-13,7,Ca sáng,E0327
E0412,2024-07-09,18,Ca tối,E0348
E0100,2024-05-18,7,Ca sáng,E0372
E0040,2024-07-04,18,Ca tối,E0323
E0015,2024-05-02,13,Ca chiều,E0424
E0278,2024-02-24,7,Ca sáng,E0285
E0306,2024-01-06,13,Ca chiều,E0285
E0283,2024-04-13,18,Ca tối,E0327
E0124,2024-05-17,7,Ca sáng,E0306
E0290,2024-01-23,18,Ca tối,E0325
E0024,2024-01-25,13,Ca chiều,E0372
E0484,2024-06-07,7,Ca sáng,E0323
E0385,2024-05-24,13,Ca chiều,E0467
E0100,2024-06-10,13,Ca chiều,E0323
E0499,2024-03-07,18,Ca tối,E0372
E0170,2024-07-27,18,Ca tối,E0467
E0052,2024-09-14,7,Ca sáng,E0327
E0301,2024-07-14,13,Ca chiều,E0306
E0445,2024-01-20,13,Ca chiều,E0424
E0078,2024-12-15,13,Ca chiều,E0372
E0454,2024-11-16,7,Ca sáng,E0285
E0453,2024-04-20,18,Ca tối,E0424
E0394,2024-03-23,18,Ca tối,E0467
E0374,2024-11-07,18,Ca tối,E0467
E0477,2024-06-23,13,Ca chiều,E0424
E0174,2024-05-28,13,Ca chiều,E0306
E0439,2024-08-08,7,Ca sáng,E0348
E0123,2024-04-16,18,Ca tối,E0306
E0039,2024-03-19,18,Ca tối,E0325
E0050,2024-01-08,7,Ca sáng,E0272
E0281,2024-02-14,13,Ca chiều,E0372
E0233,2024-06-09,7,Ca sáng,E0272
E0083,2024-02-04,13,Ca chiều,E0306
E0187,2024-06-29,7,Ca sáng,E0372
E0092,2024-12-29,13,Ca chiều,E0272
E0243,2024-05-11,13,Ca chiều,E0424
E0482,2024-03-04,18,Ca tối,E0325
E0021,2024-07-05,13,Ca chiều,E0348
E0210,2024-11-13,18,Ca tối,E0424
E0226,2024-07-06,18,Ca tối,E0306
E0488,2024-06-09,13,Ca chiều,E0372
E0350,2024-07-30,18,Ca tối,E0325
E0135,2024-12-15,7,Ca sáng,E0306
E0330,2024-01-30,18,Ca tối,E0285
E0359,2024-10-14,7,Ca sáng,E0424
E0437,2024-02-23,13,Ca chiều,E0348
E0082,2024-10-18,13,Ca chiều,E0372
E0115,2024-07-17,13,Ca chiều,E0372
E0179,2024-08-26,13,Ca chiều,E0467
E0461,2024-08-26,7,Ca sáng,E0372
E0093,2024-02-25,13,Ca chiều,E0348
E0103,2024-07-24,13,Ca chiều,E0372
E0163,2024-06-24,18,Ca tối,E0325
E0109,2024-12-25,18,Ca tối,E0325
E0059,2024-05-22,13,Ca chiều,E0327
E0280,2024-03-20,13,Ca chiều,E0424
E0328,2024-04-19,13,Ca chiều,E0306
E0017,2024-11-03,13,Ca chiều,E0327
E0480,2024-07-04,13,Ca chiều,E0325
E0110,2024-01-28,7,Ca sáng,E0327
E0488,2024-12-16,13,Ca chiều,E0272
E0130,2024-11-21,7,Ca sáng,E0372
E0073,2024-02-05,13,Ca chiều,E0348
E0042,2024-06-01,18,Ca tối,E0325
E0447,2024-08-02,18,Ca tối,E0285
E0343,2024-05-12,7,Ca sáng,E0327
E0048,2024-08-07,13,Ca chiều,E0272
E0085,2024-04-11,13,Ca chiều,E0348
E0247,2024-08-31,18,Ca tối,E0424
E0495,2024-12-22,13,Ca chiều,E0323
E0468,2024-12-20,18,Ca tối,E0348
E0422,2024-01-06,18,Ca tối,E0306
E0102,2024-02-09,18,Ca tối,E0306
E0316,2024-03-15,13,Ca chiều,E0323
E0008,2024-03-18,13,Ca chiều,E0424
E0256,2024-06-11,7,Ca sáng,E0348
E0135,2024-09-23,18,Ca tối,E0327
E0231,2024-03-05,18,Ca tối,E0325
E0328,2024-10-23,7,Ca sáng,E0327
E0112,2024-04-06,13,Ca chiều,E0467
E0397,2024-03-26,18,Ca tối,E0348
E0111,2024-06-27,7,Ca sáng,E0285
E0498,2024-12-13,18,Ca tối,E0327
E0190,2024-07-05,7,Ca sáng,E0272
E0460,2024-06-06,18,Ca tối,E0372
E0359,2024-09-12,18,Ca tối,E0325
E0212,2024-07-29,13,Ca chiều,E0323
E0425,2024-10-04,13,Ca chiều,E0467
E0499,2024-06-20,7,Ca sáng,E0424
E0235,2024-08-07,13,Ca chiều,E0424
E0284,2024-10-31,7,Ca sáng,E0467
E0224,2024-07-14,13,Ca chiều,E0348
E0325,2024-05-25,18,Ca tối,E0306
E0481,2024-02-20,7,Ca sáng,E0372
E0046,2024-11-28,7,Ca sáng,E0306
E0478,2024-07-29,7,Ca sáng,E0325
E0384,2024-11-15,18,Ca tối,E0372
E0325,2024-08-15,18,Ca tối,E0306
E0413,2024-01-17,18,Ca tối,E0272
E0437,2024-08-03,7,Ca sáng,E0285
E0398,2024-08-20,18,Ca tối,E0348
E0059,2024-04-10,13,Ca chiều,E0372
E0180,2024-08-25,13,Ca chiều,E0348
E0004,2024-07-10,7,Ca sáng,E0467
E0146,2024-05-17,18,Ca tối,E0272
E0158,2024-07-31,18,Ca tối,E0285
E0003,2024-07-31,7,Ca sáng,E0327
E0014,2024-03-19,13,Ca chiều,E0467
E0420,2024-11-03,13,Ca chiều,E0323
E0088,2024-10-19,13,Ca chiều,E0285
E0285,2024-07-19,7,Ca sáng,E0306
E0330,2024-07-20,7,Ca sáng,E0306
E0220,2024-03-06,18,Ca tối,E0348
E0373,2024-03-29,13,Ca chiều,E0323
E0265,2024-03-22,13,Ca chiều,E0285
E0051,2024-12-29,7,Ca sáng,E0467
E0061,2024-11-19,18,Ca tối,E0348
E0432,2024-11-17,13,Ca chiều,E0467
E0082,2024-06-14,7,Ca sáng,E0372
E0048,2024-01-14,13,Ca chiều,E0327
E0322,2024-10-30,7,Ca sáng,E0327
E0317,2024-12-28,18,Ca tối,E0372
E0293,2024-07-14,7,Ca sáng,E0424
E0233,2024-11-20,18,Ca tối,E0323
E0096,2024-05-02,18,Ca tối,E0285
E0153,2024-04-09,18,Ca tối,E0285
E0372,2024-07-12,13,Ca chiều,E0327
E0141,2024-02-12,7,Ca sáng,E0327
E0327,2024-10-23,7,Ca sáng,E0372
E0236,2024-11-01,7,Ca sáng,E0372
E0073,2024-05-24,13,Ca chiều,E0424
E0048,2024-02-09,13,Ca chiều,E0323
E0468,2024-04-16,13,Ca chiều,E0372
E0252,2024-01-12,13,Ca chiều,E0372
E0250,2024-11-16,7,Ca sáng,E0285
E0352,2024-08-02,13,Ca chiều,E0323
E0325,2024-08-18,7,Ca sáng,E0424
E0153,2024-01-06,7,Ca sáng,E0306
E0324,2024-11-06,7,Ca sáng,E0372
E0500,2024-06-24,13,Ca chiều,E0325
E0315,2024-11-03,18,Ca tối,E0327
E0082,2024-09-24,18,Ca tối,E0272
E0475,2024-03-03,7,Ca sáng,E0306
E0016,2024-10-01,7,Ca sáng,E0467
E0263,2024-03-19,7,Ca sáng,E0323
E0059,2024-04-21,7,Ca sáng,E0323
E0071,2024-04-22,7,Ca sáng,E0424
E0138,2024-05-20,13,Ca chiều,E0285
E0489,2024-02-17,13,Ca chiều,E0467
E0334,2024-05-30,13,Ca chiều,E0325
E0224,2024-09-19,13,Ca chiều,E0285
E0129,2024-03-29,7,Ca sáng,E0272
E0493,2024-07-20,7,Ca sáng,E0306
E0407,2024-10-27,13,Ca chiều,E0424
E0407,2024-04-15,18,Ca tối,E0325
E0222,2024-08-16,13,Ca chiều,E0306
E0383,2024-05-19,13,Ca chiều,E0306
E0056,2024-11-06,13,Ca chiều,E0348
E0103,2024-10-17,13,Ca chiều,E0323
E0460,2024-11-19,7,Ca sáng,E0325
E0086,2024-01-18,18,Ca tối,E0272
E0301,2024-07-28,13,Ca chiều,E0306
E0424,2024-11-26,18,Ca tối,E0323
E0204,2024-01-16,7,Ca sáng,E0424
E0415,2024-06-14,13,Ca chiều,E0424
E0184,2024-05-05,7,Ca sáng,E0285
E0337,2024-07-09,13,Ca chiều,E0424
E0400,2024-06-09,7,Ca sáng,E0327
E0164,2024-12-18,7,Ca sáng,E0323
E0110,2024-08-26,18,Ca tối,E0323
E0461,2024-04-29,18,Ca tối,E0372
E0198,2024-05-25,18,Ca tối,E0285
E0270,2024-04-21,7,Ca sáng,E0467
E0143,2024-11-07,18,Ca tối,E0372
E0294,2024-11-26,13,Ca chiều,E0348
E0163,2024-06-12,7,Ca sáng,E0285
E0026,2024-09-09,13,Ca chiều,E0327
E0141,2024-08-03,7,Ca sáng,E0372
E0232,2024-03-28,18,Ca tối,E0323
E0303,2024-07-15,7,Ca sáng,E0306
E0011,2024-05-25,7,Ca sáng,E0306
E0003,2024-08-24,13,Ca chiều,E0424
E0431,2024-07-25,7,Ca sáng,E0467
E0471,2024-09-27,7,Ca sáng,E0323
E0331,2024-01-09,7,Ca sáng,E0325
E0049,2024-07-31,18,Ca tối,E0272
E0141,2024-06-11,13,Ca chiều,E0348
E0041,2024-10-11,13,Ca chiều,E0325
E0314,2024-01-25,13,Ca chiều,E0272
E0357,2024-08-20,13,Ca chiều,E0372
E0432,2024-07-10,18,Ca tối,E0372
E0015,2024-04-24,7,Ca sáng,E0327
E0072,2024-02-23,13,Ca chiều,E0348
E0116,2024-03-28,7,Ca sáng,E0285
E0371,2024-07-07,18,Ca tối,E0327
E0479,2024-12-18,7,Ca sáng,E0272
E0453,2024-01-23,7,Ca sáng,E0327
E0485,2024-06-04,7,Ca sáng,E0272
E0169,2024-12-18,18,Ca tối,E0348
E0139,2024-12-23,7,Ca sáng,E0424
E0299,2024-08-23,7,Ca sáng,E0424
E0164,2024-03-16,18,Ca tối,E0348
E0327,2024-08-16,18,Ca tối,E0372
E0268,2024-09-27,7,Ca sáng,E0306
E0245,2024-12-04,13,Ca chiều,E0272
E0165,2024-09-04,7,Ca sáng,E0372
E0136,2024-05-31,18,Ca tối,E0372
E0181,2024-10-12,7,Ca sáng,E0285
E0356,2024-02-09,7,Ca sáng,E0325
E0031,2024-04-18,7,Ca sáng,E0285
E0240,2024-07-16,7,Ca sáng,E0325
E0054,2024-06-23,7,Ca sáng,E0306
E0390,2024-09-27,18,Ca tối,E0323
E0390,2024-06-08,18,Ca tối,E0325
E0336,2024-03-19,18,Ca tối,E0372
E0469,2024-03-07,7,Ca sáng,E0323
E0198,2024-08-19,18,Ca tối,E0467
E0104,2024-07-23,7,Ca sáng,E0372
E0143,2024-08-04,7,Ca sáng,E0272
E0488,2024-10-22,18,Ca tối,E0372
E0076,2024-08-24,7,Ca sáng,E0372
E0124,2024-01-09,13,Ca chiều,E0424
E0137,2024-01-15,13,Ca chiều,E0467
E0232,2024-06-29,13,Ca chiều,E0372
E0475,2024-10-08,7,Ca sáng,E0323
E0221,2024-04-18,7,Ca sáng,E0348
E0258,2024-08-08,18,Ca tối,E0323
E0028,2024-08-13,13,Ca chiều,E0323
E0051,2024-01-26,18,Ca tối,E0348
E0375,2024-08-04,7,Ca sáng,E0272
E0097,2024-07-25,7,Ca sáng,E0306
E0142,2024-09-28,18,Ca tối,E0325
E0266,2024-08-09,7,Ca sáng,E0327
E0331,2024-05-07,7,Ca sáng,E0285
E0059,2024-01-28,7,Ca sáng,E0306
E0137,2024-05-02,7,Ca sáng,E0467
E0052,2024-05-21,7,Ca sáng,E0306
E0359,2024-07-26,13,Ca chiều,E0348
E0052,2024-04-22,18,Ca tối,E0272
E0254,2024-04-15,7,Ca sáng,E0285
E0178,2024-11-22,13,Ca chiều,E0306
E0148,2024-01-02,7,Ca sáng,E0424
E0258,2024-12-24,18,Ca tối,E0325
E0379,2024-06-05,18,Ca tối,E0285
E0088,2024-06-10,18,Ca tối,E0372
E0086,2024-04-05,13,Ca chiều,E0325
E0073,2024-01-07,18,Ca tối,E0325
E0220,2024-06-20,7,Ca sáng,E0424
E0499,2024-05-15,7,Ca sáng,E0424
E0348,2024-01-05,18,Ca tối,E0323
E0497,2024-08-30,18,Ca tối,E0327
E0251,2024-05-06,13,Ca chiều,E0372
E0024,2024-01-09,18,Ca tối,E0272
E0428,2024-04-26,18,Ca tối,E0467
E0086,2024-03-16,7,Ca sáng,E0372
E0156,2024-06-20,13,Ca chiều,E0325
E0377,2024-06-28,18,Ca tối,E0272
E0340,2024-09-06,13,Ca chiều,E0323
E0235,2024-01-07,13,Ca chiều,E0272
E0364,2024-06-19,18,Ca tối,E0306
E0248,2024-02-27,13,Ca chiều,E0467
E0373,2024-11-23,7,Ca sáng,E0424
E0211,2024-04-22,18,Ca tối,E0424
E0183,2024-09-11,7,Ca sáng,E0285
E0296,2024-12-22,13,Ca chiều,E0323
E0106,2024-02-15,7,Ca sáng,E0348
E0328,2024-02-25,13,Ca chiều,E0467
E0461,2024-08-18,18,Ca tối,E0424
