DID,Specialization,EducationLevel,DegreeID,CerticateID
E0014,Da liễu thú y,ThS,DEG108,CER0091
E0056,Da liễu thú y,ĐH,DEG090,CER0075
E0072,Nội tổng quát,ThS,DEG003,CER0138
E0030,Da liễu thú y,ThS,DEG058,CER0141
E0045,Nội tổng quát,TS,DEG104,CER0226
E0079,Nội tổng quát,ThS,DEG110,CER0109
E0108,Ngoại khoa,ĐH,DEG014,CER0098
E0060,Da liễu thú y,ĐH,DEG180,CER0274
E0078,Nội tổng quát,ĐH,DEG178,CER0163
E0117,Ngoại khoa,ThS,DEG047,CER0042
E0001,Ngoại khoa,TS,DEG136,CER0100
E0008,Da liễu thú y,TS,DEG193,CER0298
E0035,Da liễu thú y,ĐH,DEG084,CER0125
E0103,Thú y chó mèo,ThS,DEG142,CER0277
E0027,Da liễu thú y,ĐH,DEG121,CER0009
E0037,Nội tổng quát,ThS,DEG062,CER0156
E0113,Ngoại khoa,ThS,DEG175,CER0059
E0028,Da liễu thú y,ĐH,DEG074,CER0281
E0100,Thú y chó mèo,ĐH,DEG166,CER0052
E0066,Ngoại khoa,ThS,DEG181,CER0029
E0087,Nội tổng quát,ThS,DEG140,CER0077
E0042,Ngoại khoa,ThS,DEG178,CER0102
E0083,Da liễu thú y,ThS,DEG126,CER0017
E0038,Nội tổng quát,TS,DEG192,CER0055
E0105,Nội tổng quát,ThS,DEG076,CER0219
E0107,Nội tổng quát,ThS,DEG103,CER0065
E0106,Thú y chó mèo,ĐH,DEG198,CER0123
E0098,Nội tổng quát,ThS,DEG048,CER0158
E0017,Da liễu thú y,ĐH,DEG014,CER0091
E0053,Da liễu thú y,ĐH,DEG075,CER0106
E0051,Nội tổng quát,TS,DEG128,CER0221
E0006,Da liễu thú y,ThS,DEG159,CER0247
E0063,Nội tổng quát,ThS,DEG073,CER0191
E0033,Thú y chó mèo,ĐH,DEG182,CER0050
E0011,Da liễu thú y,ĐH,DEG058,CER0041
E0111,Thú y chó mèo,ĐH,DEG147,CER0191
E0065,Nội tổng quát,ĐH,DEG054,CER0047
E0034,Ngoại khoa,TS,DEG065,CER0075
E0044,Ngoại khoa,TS,DEG190,CER0015
E0040,Ngoại khoa,ThS,DEG135,CER0171
E0074,Da liễu thú y,TS,DEG045,CER0169
E0009,Ngoại khoa,ĐH,DEG040,CER0148
E0019,Nội tổng quát,TS,DEG134,CER0239
E0029,Ngoại khoa,ĐH,DEG198,CER0168
E0115,Thú y chó mèo,TS,DEG116,CER0277
E0007,Nội tổng quát,ThS,DEG094,CER0187
E0050,Nội tổng quát,ĐH,DEG172,CER0203
E0062,Thú y chó mèo,ĐH,DEG003,CER0260
E0094,Nội tổng quát,TS,DEG162,CER0280
E0110,Nội tổng quát,TS,DEG070,CER0241
E0052,Ngoại khoa,ĐH,DEG001,CER0295
E0043,Ngoại khoa,ThS,DEG012,CER0089
E0055,Ngoại khoa,TS,DEG026,CER0219
E0114,Thú y chó mèo,ĐH,DEG007,CER0023
E0021,Thú y chó mèo,ĐH,DEG127,CER0044
E0025,Ngoại khoa,ĐH,DEG055,CER0205
E0119,Ngoại khoa,ĐH,DEG115,CER0086
