NID,Specialization,EducationLevel,DegreeID
E0177,Tiêm ngừa,ĐH,DEG162
E0210,Tiêm ngừa,CĐ,DEG024
E0188,Tiêm ngừa,CĐ,DEG034
E0186,Tiêm ngừa,ĐH,DEG033
E0214,Chăm sóc hậu phẫu,ĐH,DEG069
E0218,Chăm sóc hậu phẫu,ĐH,DEG107
E0154,Chăm sóc hậu phẫu,CĐ,DEG060
E0257,Chăm sóc hậu phẫu,CĐ,DEG114
E0174,Tiêm ngừa,ĐH,DEG047
E0141,Tiêm ngừa,CĐ,DEG141
E0149,Chăm sóc hậu phẫu,CĐ,DEG066
E0187,Tiêm ngừa,CĐ,DEG064
E0189,Chăm sóc nội trú,CĐ,DEG171
E0170,Tiêm ngừa,ĐH,DEG041
E0203,Chăm sóc hậu phẫu,CĐ,DEG079
E0209,Tiêm ngừa,ĐH,DEG149
E0258,Tiêm ngừa,CĐ,DEG134
E0265,Tiêm ngừa,CĐ,DEG019
E0165,Tiêm ngừa,CĐ,DEG168
E0256,Chăm sóc hậu phẫu,CĐ,DEG154
E0267,Chăm sóc hậu phẫu,ĐH,DEG051
E0215,Chăm sóc nội trú,ĐH,DEG191
E0246,Tiêm ngừa,CĐ,DEG101
E0200,Tiêm ngừa,ĐH,DEG172
E0270,Chăm sóc hậu phẫu,ĐH,DEG131
E0213,Chăm sóc hậu phẫu,CĐ,DEG046
E0219,Chăm sóc hậu phẫu,CĐ,DEG104
E0138,Chăm sóc hậu phẫu,ĐH,DEG128
E0129,Chăm sóc nội trú,ĐH,DEG015
E0167,Chăm sóc nội trú,ĐH,DEG107
E0185,Chăm sóc nội trú,ĐH,DEG050
E0229,Chăm sóc nội trú,CĐ,DEG086
E0201,Tiêm ngừa,ĐH,DEG028
E0180,Tiêm ngừa,CĐ,DEG153
E0195,Chăm sóc nội trú,CĐ,DEG154
E0175,Chăm sóc hậu phẫu,ĐH,DEG013
E0196,Chăm sóc nội trú,ĐH,DEG101
E0266,Chăm sóc nội trú,CĐ,DEG025
E0172,Chăm sóc nội trú,CĐ,DEG029
E0150,Tiêm ngừa,ĐH,DEG131
E0211,Tiêm ngừa,ĐH,DEG031
E0171,Chăm sóc nội trú,CĐ,DEG082
E0166,Chăm sóc hậu phẫu,CĐ,DEG166
E0131,Chăm sóc nội trú,CĐ,DEG099
E0197,Chăm sóc hậu phẫu,ĐH,DEG039
E0245,Chăm sóc hậu phẫu,ĐH,DEG161
E0223,Tiêm ngừa,ĐH,DEG036
E0268,Chăm sóc hậu phẫu,CĐ,DEG007
E0262,Tiêm ngừa,ĐH,DEG155
E0132,Tiêm ngừa,CĐ,DEG018
E0192,Tiêm ngừa,CĐ,DEG061
E0260,Tiêm ngừa,CĐ,DEG114
E0233,Chăm sóc hậu phẫu,CĐ,DEG029
E0136,Tiêm ngừa,CĐ,DEG093
E0237,Tiêm ngừa,CĐ,DEG014
E0157,Chăm sóc nội trú,CĐ,DEG101
E0250,Tiêm ngừa,CĐ,DEG063
E0152,Chăm sóc nội trú,ĐH,DEG031
E0191,Tiêm ngừa,ĐH,DEG127
E0143,Chăm sóc nội trú,ĐH,DEG014
E0127,Chăm sóc nội trú,CĐ,DEG139
E0182,Chăm sóc hậu phẫu,ĐH,DEG097
E0184,Chăm sóc nội trú,ĐH,DEG152
E0168,Chăm sóc nội trú,ĐH,DEG140
