SurgeryID,PetID,SurgeryStatus,SurgeryType,AnesthesiaType,SurgeryDate,DiagnosisNote
SRV0106,PET69870,Đã thực hiện,Mổ u,Gây tê,2023-10-23 09:24:23,Phẫu thuật theo chỉ định bác sĩ
SRV0143,PET81607,Đang theo dõi,Nội soi,Gây tê,2021-07-01 16:08:54,Phẫu thuật theo chỉ định bác sĩ
SRV0084,PET100097,Đang theo dõi,Thiến,Gây tê,2023-04-05 05:52:06,Phẫu thuật theo chỉ định bác sĩ
SRV0149,PET75990,Đã thực hiện,Thiến,Gây tê,2023-03-03 14:17:32,Phẫu thuật theo chỉ định bác sĩ
SRV0142,PET104353,Đang theo dõi,Mổ u,Gây mê toàn thân,2024-03-16 12:20:07,Phẫu thuật theo chỉ định bác sĩ
SRV0052,PET102202,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-12-18 02:30:09,Phẫu thuật theo chỉ định bác sĩ
SRV0100,PET71898,Đã thực hiện,Mổ bụng,Gây tê,2022-06-03 16:04:04,Phẫu thuật theo chỉ định bác sĩ
SRV0157,PET35965,Đang theo dõi,Nội soi,Gây mê toàn thân,2024-12-11 13:07:28,Phẫu thuật theo chỉ định bác sĩ
SRV0050,PET99735,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2024-06-08 09:54:47,Phẫu thuật theo chỉ định bác sĩ
SRV0120,PET71204,Đang theo dõi,Mổ u,Gây tê,2021-02-08 05:58:53,Phẫu thuật theo chỉ định bác sĩ
SRV0074,PET102201,Đã thực hiện,Mổ u,Gây mê toàn thân,2023-03-30 19:53:56,Phẫu thuật theo chỉ định bác sĩ
SRV0039,PET53857,Đang theo dõi,Thiến,Gây tê,2021-02-10 15:39:18,Phẫu thuật theo chỉ định bác sĩ
SRV0182,PET101634,Đang theo dõi,Mổ bụng,Gây tê,2023-09-06 07:42:26,Phẫu thuật theo chỉ định bác sĩ
SRV0101,PET75596,Đã thực hiện,Mổ bụng,Gây mê toàn thân,2021-03-17 11:16:38,Phẫu thuật theo chỉ định bác sĩ
SRV0076,PET00503,Đang theo dõi,Mổ bụng,Gây tê,2022-09-02 10:17:11,Phẫu thuật theo chỉ định bác sĩ
SRV0085,PET80545,Đang theo dõi,Nội soi,Gây mê toàn thân,2023-08-03 14:26:10,Phẫu thuật theo chỉ định bác sĩ
SRV0118,PET93793,Đã thực hiện,Thiến,Gây tê,2021-03-27 15:47:55,Phẫu thuật theo chỉ định bác sĩ
SRV0174,PET54915,Đã thực hiện,Mổ bụng,Gây tê,2024-11-10 04:31:25,Phẫu thuật theo chỉ định bác sĩ
SRV0197,PET70803,Đã thực hiện,Nội soi,Gây tê,2021-11-23 00:34:03,Phẫu thuật theo chỉ định bác sĩ
SRV0141,PET109305,Đã thực hiện,Mổ bụng,Gây tê,2021-04-22 04:19:25,Phẫu thuật theo chỉ định bác sĩ
SRV0072,PET25699,Đã thực hiện,Mổ bụng,Gây tê,2024-12-17 17:20:33,Phẫu thuật theo chỉ định bác sĩ
SRV0080,PET115023,Đang theo dõi,Nội soi,Gây mê toàn thân,2023-11-10 11:44:06,Phẫu thuật theo chỉ định bác sĩ
SRV0176,PET84721,Đã thực hiện,Nội soi,Gây tê,2022-07-18 20:25:11,Phẫu thuật theo chỉ định bác sĩ
SRV0117,PET28971,Đang theo dõi,Thiến,Gây mê toàn thân,2022-06-14 22:43:24,Phẫu thuật theo chỉ định bác sĩ
