EID,PetID,ExaminationDate,Symptoms,Diagnoses,FollowUpDate
SRV0058,PET92038,2021-11-16 21:20:29,Chảy máu cam liên tục - nước tiểu đỏ,Viêm đường hô hấp cấp tính,2021-12-15
SRV0158,PET49750,2021-09-25 22:50:22,Mắt đỏ - phù nề - khó mở mắt,Virus Parvovirus (parvo) - nguy hiểm,2021-10-17
SRV0130,PET82511,2021-03-05 20:48:39,Hôi miệng kinh khủng - nướu sưng tấy,Virus Parvovirus (parvo) - nguy hiểm,2021-03-18
SRV0059,PET55386,2023-10-08 02:35:28,Tê liệt mặt - miệng méo,Thiếu máu do sốc mất máu hoặc ký sinh,2023-10-15
SRV0018,PET56598,2021-09-21 02:22:28,Chảy máu cam liên tục - nước tiểu đỏ,Suy thận cấp - cần xét nghiệm ngay,2021-10-18
SRV0009,PET113460,2024-05-31 06:20:23,Lờ đờ - mất sinh lực,Nhiễm trùng vết mổ sau phẫu thuật,2024-06-01
SRV0168,PET116268,2024-06-17 15:11:08,Ngứa dữ dội - chảy máu tai từ gãi,Viêm đường hô hấp cấp tính,2024-07-07
SRV0004,PET48977,2022-03-09 10:50:30,Lờ đờ - mất sinh lực,Suy thận cấp - cần xét nghiệm ngay,2022-03-31
SRV0061,PET52311,2024-09-05 10:33:55,Ho kéo dài - khó thở - chảy nước mũi,Tổn thương thần kinh ngoại biên,2024-10-03
SRV0163,PET30332,2023-06-26 13:17:29,Chảy máu cam liên tục - nước tiểu đỏ,Tổn thương thần kinh ngoại biên,2023-06-30
SRV0001,PET37920,2022-04-07 00:48:45,Ho kéo dài - khó thở - chảy nước mũi,Virus Parvovirus (parvo) - nguy hiểm,2022-05-06
SRV0078,PET58385,2021-07-22 05:57:41,Lờ đờ - mất sinh lực,Viêm tụy cấp (Pancreatitis),2021-07-30
SRV0170,PET111469,2022-02-23 09:13:03,Chảy máu cam liên tục - nước tiểu đỏ,Suy thận cấp - cần xét nghiệm ngay,2022-03-20
SRV0178,PET75378,2022-08-06 03:24:35,Chảy máu cam liên tục - nước tiểu đỏ,Virus Parvovirus (parvo) - nguy hiểm,2022-09-01
SRV0098,PET31926,2022-02-12 11:06:01,Bụng căng như quả bóng - đau nhiều,Bệnh đĩa đệm (bệnh IVDD),2022-03-03
SRV0162,PET72027,2022-06-07 12:44:08,Lờ đờ - mất sinh lực,Bệnh nha chu giai đoạn cuối,2022-07-01
