DiscountID,DiscountName,StartDate,EndDate,TargetUser,Percentage,MID
DST0067,Giảm 50% dịch vụ grooming,2024-01-12,2024-03-03,Nhóm khách hàng đặc biệt,0.2,E0351
DST0068,Khuyến mãi cuối tuần,2023-10-08,2023-11-21,Tổ chức,0.05,E0290
DST0069,Khuyến mãi thanh viên mới,2024-04-10,2024-06-06,Tổ chức,0.25,E0417
DST0070,Giảm 50% dịch vụ grooming,2023-11-22,2023-12-11,Tổ chức,0.2,E0418
DST0071,Khuyến mãi tặng quà,2024-06-25,2024-07-07,Khách hàng mới,0.15,E0290
DST0072,Combo vaccine tiêm phòng,2023-01-15,2023-02-24,Doanh nghiệp,0.05,E0351
DST0073,Giảm giá thẻ thành viên,2023-10-20,2023-12-15,Thành viên Standard,0.25,E0374
DST0074,Giảm giá dịch vụ khám bệnh,2023-08-01,2023-09-28,Thành viên Standard,0.15,E0351
DST0075,Giảm giá dịch vụ khám bệnh,2023-04-18,2023-05-18,Doanh nghiệp,0.15,E0290
DST0076,Khuyến mãi tặng quà,2024-05-07,2024-07-02,Thành viên VIP,0.25,E0290
DST0077,Giảm giá dành cho tập thể,2023-01-03,2023-03-02,Khách hàng mới,0.25,E0491
DST0078,Khuyến mãi lên băng hàng tháng,2024-06-20,2024-06-28,Khách hàng mới,0.2,E0290
DST0079,Giảm 50% dịch vụ grooming,2023-01-20,2023-03-10,Khách hàng lần đầu,0.2,E0374
DST0080,Combo vaccine tiêm phòng,2023-07-28,2023-09-23,Tất cả khách hàng,0.05,E0374
