VaccineID,VaccineName,ExpiryDate,ProductionDate,VaccineType,Manufacturer,SideEffects
VAC0108,FIP (Feline Infectious Peritonitis),2024-12-26,2023-09-08,Vi khuẩn,Pfizer,Không có tác dụng phụ đáng kể
VAC0109,DHP(Distemper - Hepatitis- Parvovirus),2023-03-25,2022-07-15,Live attenuated,Zoetis,Sưng hạch bạch huyết tạm thời
VAC0110,Giardia Vaccine,2024-06-30,2023-02-02,Virus,Pfizer,Không có tác dụng phụ đáng kể
VAC0111,FELV (Feline Leukemia Virus),2023-06-25,2021-05-27,Vi khuẩn,Virbac,Phản ứng dị ứng nặng (rất hiếm)
VAC0112,Bordetella,2025-09-29,2023-11-16,Recombinant,Boehringer Ingelheim,Sốt cao - mất ăn trong vài ngày
VAC0113,Chlamydia,2020-09-04,2020-02-17,Virus,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0114,Chlamydia,2024-12-03,2022-10-19,Recombinant,Boehringer Ingelheim,Sốt cao - mất ăn trong vài ngày
VAC0115,Feline Panleukopenia,2021-01-09,2020-05-06,Hỗn hợp,Zoetis,Phát ban nhẹ tại vị trí tiêm
VAC0116,Feline Leukemia,2025-04-25,2023-12-15,Live attenuated,Ceva,Sưng hạch bạch huyết tạm thời
VAC0117,FIP (Feline Infectious Peritonitis),2023-01-28,2021-07-14,Hỗn hợp,MSD,Phản ứng dị ứng nặng (rất hiếm)
VAC0118,Chlamydia,2023-01-05,2021-10-05,Virus,Pfizer,Sưng hạch bạch huyết tạm thời
VAC0119,Feline Leukemia,2024-05-27,2022-11-10,Virus,Zoetis,Phản ứng dị ứng nhẹ (hiếm gặp)
VAC0120,Bordetella,2021-10-20,2020-07-28,Virus,Ceva,Phản ứng dị ứng nhẹ (hiếm gặp)
